鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
五股區,房地(土地+建物)+車位,新北市五股區新五路  二段  九揚華茲堡  Ｂ棟１３樓,32.32,住,,,1021005,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,220.76,4,2,2,有,無,20980000,104462.0,坡道平面,32.27,1290000,,RPRTMLNJKHKFFBF18CB,104_02
五股區,房地(土地+建物)+車位,新北市五股區新五路  二段  九揚華茲堡  Ｂ棟１２樓,33.03,住,,,1020628,土地3建物1車位2,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,252.7,4,2,2,有,無,22720000,105088.0,坡道平面,60.1,2480000,,RPVOMLOJKHKFFBF18CB,104_02
土城區,房地(土地+建物)+車位,新北市土城區中華路1段A5棟12樓,30.14,工,,,1030609,土地1建物1車位2,十二層,14,廠辦,見其他登記事項,鋼筋混凝土造,,225.63,0,0,0,無,無,25050000,132122.0,坡道平面,63.28,3600000,,RPXNMLPLKHKFFAF68EB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A1棟1樓,10.38,住,,,1011123,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.55,1,2,1,有,無,10940000,142102.0,坡道平面,31.23,1800000,,RPVOMLQLKHKFFDF78CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A1棟9樓,13.69,住,,,1011026,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.02,2,2,1,有,無,10210000,98597.0,坡道平面,31.23,1850000,,RPXOMLQLKHKFFDF98CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟1樓,18.5,住,,,1011123,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.24,2,2,1,有,無,18360000,143987.0,坡道平面,31.23,1800000,,RPPPMLQLKHKFFDF28CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟2樓,16.52,住,,,1011031,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.76,3,2,1,有,無,13110000,109864.0,坡道平面,21.27,1850000,,RPRPMLQLKHKFFDF48CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟3樓,16.52,住,,,1011218,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.64,3,2,1,有,無,12600000,105376.0,坡道平面,31.15,1800000,,RPSPMLQLKHKFFDF58CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟4樓,16.52,住,,,1011029,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.64,3,2,1,有,無,13270000,110450.0,坡道平面,31.15,1950000,,RPTPMLQLKHKFFDF68CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟6樓,16.52,住,,,1011023,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.64,3,2,1,有,無,13380000,112011.0,坡道平面,31.15,1900000,,RPUPMLQLKHKFFDF78CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟7樓,16.61,住,,,1020101,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.72,3,2,1,有,無,12900000,108303.0,坡道平面,31.23,1800000,,RPVPMLQLKHKFFDF88CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟8樓,16.52,住,,,1010930,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.64,3,2,1,有,無,12430000,103717.0,坡道平面,31.15,1800000,,RPWPMLQLKHKFFDF98CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟9樓,16.52,住,,,1010925,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.64,3,2,1,有,無,12340000,102839.0,坡道平面,31.15,1800000,,RPXPMLQLKHKFFDF09CB,104_02
汐止區,房地(土地+建物)+車位,新北市汐止區福德段799地號A2棟11樓,16.52,住,,,1011124,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.64,3,2,1,有,無,12460000,104010.0,坡道平面,31.15,1800000,,RPPQMLQLKHKFFDF38CB,104_02
