鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-02F,24.95,住,,,1031012,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.9,3,2,2,有,無,9700000,65228,坡道平面,25.42,1450000,,RPSOMLPJKHKFFBB57CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-03F,25.51,住,,,1030720,土地1建物1車位2,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.94,3,2,2,有,無,9850000,66018,坡道機械,34.46,1500000,,RPTOMLPJKHKFFBB67CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-04F,25.51,住,,,1030829,土地1建物1車位2,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.94,3,2,2,有,無,9700000,64832,坡道機械,34.46,1500000,,RPUOMLPJKHKFFBB77CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-05F,24.95,住,,,1030627,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.9,3,2,2,有,無,9850000,66414,坡道平面,25.42,1450000,,RPVOMLPJKHKFFBB87CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-06F,24.95,住,,,1030525,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.9,3,2,2,有,無,9850000,66809,坡道平面,25.42,1400000,,RPWOMLPJKHKFFBB97CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-07F,24.95,住,,,1030525,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.9,3,2,2,有,無,9900000,67204,坡道平面,25.42,1400000,,RPXOMLPJKHKFFBB08CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-08F,24.95,住,,,1030508,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.9,3,2,2,有,無,9950000,67600,坡道平面,25.42,1400000,,RPOPMLPJKHKFFBB27CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-11F,24.95,住,,,1030607,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.9,3,2,2,有,無,10050000,67995,坡道平面,25.42,1450000,,RPPPMLPJKHKFFBB37CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口F2-12F,24.95,住,,,1030518,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.9,3,2,2,有,無,9750000,66018,坡道平面,25.42,1400000,,RPQPMLPJKHKFFBB47CB,104_02
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段松安街口G1-03F,24.95,住,,,1030912,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.99,3,2,2,有,無,9950000,67552,坡道平面,25.42,1400000,,RPPQMLPJKHKFFBB47CB,104_02
