鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
苗栗市,土地,南勢坑段下南勢坑小段827-6地號,5317.0,,山坡地保育區,農牧用地,1030709,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,1599.0,,0.0,0,,RPVNMLOJJIJFFBK38CA,0.0,0.0,0.0,,,104_01
苗栗市,房地(土地+建物),苗栗縣苗栗巿建功里２３鄰忠孝路５之４號,25.8,住,,,1030811,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701222.0,93.72,3,2,2,有,無,2980000,31797.0,,0.0,0,附全新裝潢及全套傢俱,RPVNMLRJJIJFFBK68CA,88.0,0.0,5.72,,,104_01
苗栗市,房地(土地+建物),苗栗縣苗栗巿１０鄰中山路９７號四樓、五樓,84.0,住,,,1030925,土地1建物2車位0,四層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,254.44,3,2,2,有,無,5000000,19651.0,,0.0,0,,RPVNMLKKJIJFFBK08CA,0.0,0.0,0.0,,,104_01
苗栗市,房地(土地+建物),苗栗縣苗栗巿建功里２７鄰縣府路１１０號九樓,15.43,住,,,1031022,土地1建物1車位0,九層,十三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,881206.0,116.62,3,1,2,有,有,3660000,31384.0,,0.0,0,,RPSNMLLKJIJFFBK87CA,80.79,0.0,14.63,,,104_01
頭屋鄉,土地,仁隆段412-2地號,408.0,,山坡地保育區,農牧用地,1031020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1850000,4534.0,,0.0,0,,RPTNMLNKJIJFFBK18CA,0.0,0.0,0.0,,,104_01
苗栗市,房地(土地+建物),苗栗縣苗栗巿中苗里１１鄰中正路４２６號九樓之十二,4.58,住,,,1031014,土地1建物1車位0,九層,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,841229.0,38.5,1,1,1,有,有,930000,24156.0,,0.0,0,,RPWOMLPLJIJFFBK88CA,27.6,0.0,0.0,,,104_01
苑裡鎮,土地,福田段1149地號,1056.08,住,,,1031003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31946000,30250.0,,0.0,0,,RPSNMLOJJIJFFCK18CA,0.0,0.0,0.0,,,104_01
苑裡鎮,土地,福田段952-9地號,3.61,住,,,1031023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,76441,21175.0,,0.0,0,,RPQNMLPJJIJFFCK08CA,0.0,0.0,0.0,,,104_01
通霄鎮,土地,五南段601地號,293.68,,山坡地保育區,丙種建築用地,1030922,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1640000,5584.0,,0.0,0,,RPRNMLKLJIJFFCK87CA,0.0,0.0,0.0,,,104_01
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮田心里８鄰田心７３之１７號,116.26,,特定農業區,甲種建築用地,1031020,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030918.0,202.2,5,3,3,有,無,6200000,30663.0,,0.0,0,,RPWPMLQLJIJFFCK56CA,182.91,0.0,19.29,,,104_01
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮田心里８鄰田心７３之１５號,93.13,,特定農業區,甲種建築用地,1031020,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030918.0,184.67,5,3,3,有,無,5500000,29783.0,,0.0,0,,RPPQMLQLJIJFFCK58CA,167.85,0.0,16.82,,,104_01
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮田心里８鄰田心７３之１６號,88.63,,特定農業區,甲種建築用地,1031020,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030918.0,199.6,5,3,3,有,無,5780000,28958.0,,0.0,0,,RPWNMLRLJIJFFCK09CA,180.18,0.0,19.42,,,104_01
竹南鎮,土地,鹽館前段山子坪小段220-1地號,349.64,其他,,,1031020,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3050000,8723.0,,0.0,0,,RPSNMLOJJIJFFDK28CA,0.0,0.0,0.0,,,104_01
竹南鎮,土地,鹽館前段山子坪小段220-25地號,99.33,其他,,,1031020,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,12081.0,,0.0,0,,RPTNMLOJJIJFFDK38CA,0.0,0.0,0.0,,,104_01
後龍鎮,土地,合興段607地號,169.83,住,,,1031019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,2355.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLPJJIJFFDK28CA,0.0,0.0,0.0,,,104_01
銅鑼鄉,土地,老雞隆段323地號,229.33,,鄉村區,乙種建築用地,1031014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,7849.0,,0.0,0,,RPSNMLOJJIJFFEK38CA,0.0,0.0,0.0,,,104_01
銅鑼鄉,土地,老雞隆段323地號,38.22,,鄉村區,乙種建築用地,1031026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,7849.0,,0.0,0,,RPTNMLOJJIJFFEK48CA,0.0,0.0,0.0,,,104_01
三義鄉,房地(土地+建物),苗栗縣三義鄉勝興村１７鄰二十份３２７號,75.2,,鄉村區,乙種建築用地,1031027,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,680511.0,123.5,4,3,2,有,無,3900000,31579.0,,0.0,0,含增建或未登記建物。,RPRNMLPJJIJFFEK38CA,123.5,0.0,0.0,,,104_01
銅鑼鄉,土地,三座厝段373-2地號,2009.0,,特定農業區,農牧用地,1031008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2950546,1469.0,,0.0,0,,RPRNMLLKJIJFFEK08CA,0.0,0.0,0.0,,,104_01
銅鑼鄉,土地,三座厝段373-3地號,2009.0,,特定農業區,農牧用地,1031008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2950546,1469.0,,0.0,0,,RPSNMLLKJIJFFEK18CA,0.0,0.0,0.0,,,104_01
三義鄉,房地(土地+建物),苗栗縣三義鄉廣盛村5鄰廣盛9-5號,106.75,工,,,1030918,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,960912.0,182.93,4,2,3,有,無,6970000,38102.0,,0.0,0,,RPTNMLLKJIJFFEK28CA,162.68,6.75,13.5,,,104_01
銅鑼鄉,土地,三座厝段373地號,2010.0,,特定農業區,農牧用地,1031008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2951940,1469.0,,0.0,0,,RPPNMLLKJIJFFEK87CA,0.0,0.0,0.0,,,104_01
銅鑼鄉,土地,九湖北段935地號,3156.47,,山坡地保育區,農牧用地,1030918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,2091.0,,0.0,0,,RPRNMLSKJIJFFEK78CA,0.0,0.0,0.0,,,104_01
頭份市,房地(土地+建物),苗栗縣頭份鎮上興里12鄰永泰街8巷48號,82.8,,山坡地保育區,丙種建築用地,1030912,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,860827.0,141.71,4,2,3,有,有,3000000,21170.0,,0.0,0,,RPQNMLPJJIJFFFK38CA,118.54,23.17,0.0,,,104_01
頭份市,土地,興隆段上埔小段174-14地號,27.0,農,,,1031022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,335000,12407.0,,0.0,0,,RPVNMLNJJIJFFFK68CA,0.0,0.0,0.0,,,104_01
三灣鄉,土地,上坪段183地號,44.28,住,,,1031023,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,33875.0,,0.0,0,含地上未辦保存登記之建物。,RPRNMLQJJIJFFFK58CA,0.0,0.0,0.0,,,104_01
頭份市,房地(土地+建物),苗栗縣頭份鎮珊瑚里２鄰學府路２０巷３號,144.62,,山坡地保育區,丙種建築用地,1031021,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,830905.0,239.58,4,2,2,有,無,5000000,20870.0,,0.0,0,,RPXNMLQJJIJFFFK56CA,166.97,22.53,15.96,,,104_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份鎮成功里５鄰中興路５００號五樓,16.02,住,,,1030930,土地1建物1車位1,五層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,831212.0,116.01,3,1,2,有,有,3700000,31894.0,坡道平面,0.0,0,,RPPOMLQJJIJFFFK48CA,74.2,0.61,9.87,,,104_01
頭份市,土地,觀音段972地號,87.08,,鄉村區,乙種建築用地,1031016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390000,4479.0,,0.0,0,,RPSNMLLKJIJFFFK28CA,0.0,0.0,0.0,,,104_01
銅鑼鄉,土地,九湖北段764-3地號,118.81,,山坡地保育區,丙種建築用地,1031027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,356430,3000.0,,0.0,0,,RPRNMLOJJIJFFEK38DA,0.0,0.0,0.0,,,104_01
苑裡鎮,土地,芎蕉坑段377-12地號,2808.0,,山坡地保育區,農牧用地,1030830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4756752,1694.0,,0.0,0,,RPVNMLOKJIJFFCK68DA,0.0,0.0,0.0,,,104_01
苑裡鎮,土地,芎蕉坑段377-14地號,2557.0,,山坡地保育區,農牧用地,1030830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4331558,1694.0,,0.0,0,,RPWNMLOKJIJFFCK78DA,0.0,0.0,0.0,,,104_01
苑裡鎮,土地,芎蕉坑段369-6地號,2562.0,,山坡地保育區,農牧用地,1030930,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4340000,1694.0,,0.0,0,,RPXNMLOKJIJFFCK88DA,0.0,0.0,0.0,,,104_01
三灣鄉,土地,崁頂寮段96-3地號,7116.0,,山坡地保育區,林業用地,1031023,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7116000,1000.0,,0.0,0,,RPRNMLRJJIJFFFK78DA,0.0,0.0,0.0,,,104_01
頭份市,房地(土地+建物),苗栗縣頭份鎮合興里１１鄰合興街１０９巷２２弄１０號,91.23,住,,,1030927,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,950410.0,211.71,4,2,3,有,無,9000000,42511.0,,0.0,0,,RPWNMLLKJIJFFFK68CA,188.35,10.99,12.37,,,104_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份鎮蟠桃里１０鄰信六街８８號,69.6,住,,,1031007,土地1建物1車位1,全,四層,透天厝,見其他登記事項,見其他登記事項,970505.0,202.39,4,2,4,有,無,8200000,40516.0,一樓平面,0.0,0,,RPQNMLMKJIJFFFK18CA,185.81,7.52,9.06,,,104_01
頭份市,土地,頭份段一小段1044地號,4030.0,,一般農業區,農牧用地,1030929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,240000,60.0,,0.0,0,,RPUNMLNKJIJFFFK68CA,0.0,0.0,0.0,,,104_01
頭份市,土地,東民段564地號,114.4,住,,,1030910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5280000,46154.0,,0.0,0,,RPUNMLKKJIJFFFK38CA,0.0,0.0,0.0,,,104_01
頭份市,房地(土地+建物),苗栗縣頭份鎮蟠桃里３鄰自立街３１巷５３號,22.09,住,,,1031005,土地3建物1車位0,一層,六層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1000728.0,80.62,2,2,1,有,有,5500000,68221.0,,0.0,0,,RPTOMLQJJIJFFFK88CA,43.36,1.95,8.45,,,104_01
頭份市,土地,東興段341-3地號,2591.32,,山坡地保育區,農牧用地,1030902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9600000,3705.0,,0.0,0,,RPUNMLOJJIJFFFK68CA,0.0,0.0,0.0,,,104_01
頭份市,土地,八德段904地號,76.21,住,,,1031008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4495000,58982.0,,0.0,0,,RPUNMLPJJIJFFFK78CA,0.0,0.0,0.0,,,104_01
頭份市,土地,華夏段578地號,14.59,住,,,1031008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1219286,83570.0,,0.0,0,,RPVNMLPJJIJFFFK88CA,0.0,0.0,0.0,,,104_01
三灣鄉,土地,銅鑼圈段大銅鑼圈小段39-18地號,2500.0,,一般農業區,農牧用地,1030930,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,1080.0,,0.0,0,,RPQNMLQJJIJFFFK48CA,0.0,0.0,0.0,,,104_01
