鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
彰化市,房地(土地+建物),彰化縣彰化巿天祥路２１５巷２８號,21.54,住,,,1030917,土地1建物1車位0,一層，二層，騎樓,八層,店面(店鋪),住商用,鋼筋混凝土造,840825.0,129.9,0,0,2,有,無,4020000,30947.0,,0.0,0,,RPSOMLPJJIJFFAN48CA,96.85,6.3,6.39,,,104_01
芬園鄉,土地,新縣庄段393地號,2.19,,山坡地保育區,農牧用地,1030901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13200,6027.0,,0.0,0,,RPTNMLQJJIJFFAN58CA,0.0,0.0,0.0,,,104_01
芬園鄉,土地,新縣庄段393地號,153.25,,山坡地保育區,農牧用地,1030901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,927000,6049.0,,0.0,0,,RPUNMLQJJIJFFAN68CA,0.0,0.0,0.0,,,104_01
彰化市,房地(土地+建物),彰化縣彰化巿英士路１３３巷８號,112.0,,鄉村區,乙種建築用地,1031019,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,690801.0,134.74,6,2,3,有,無,5500000,40819.0,,0.0,0,含增建或未登記建物。,RPVNMLQJJIJFFAN78CA,134.74,0.0,0.0,,,104_01
芬園鄉,土地,清水段1322地號,1496.52,農,,,1030811,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,16705.0,,0.0,0,,RPWOMLQJJIJFFAN98CA,0.0,0.0,0.0,,,104_01
彰化市,房地(土地+建物),彰化縣彰化巿埔陽街５３巷２３弄２２號,96.87,住,,,1031023,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,961114.0,260.68,5,2,3,有,有,13500000,51788.0,,0.0,0,,RPQNMLRJJIJFFAN38CA,217.41,0.0,19.83,,,104_01
彰化市,房地(土地+建物),彰化縣彰化巿自強南路401號,94.0,住,,,1031019,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,930225.0,208.4,0,0,0,無,無,13800000,66219.0,,0.0,0,為尊重權利人隱私權主張，地政士無法入屋現場勘查，由權利人提供建物現況格局實際資訊，供地政士申報登錄。含增建或未登記建物。,RPPOMLQJJIJFFAN28CA,187.75,0.0,20.65,,,104_01
彰化市,房地(土地+建物),彰化縣彰化巿竹和路２２１號,96.0,住,,,1030829,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,780830.0,171.7,4,2,2,有,無,8500000,49505.0,,0.0,0,,RPWNMLMKJIJFFAN58CA,171.7,0.0,0.0,,,104_01
彰化市,房地(土地+建物)+車位,彰化縣彰化巿龍涎北路３０２號七樓之二,30.69,住,,,1031006,土地3建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810724.0,204.35,3,1,2,有,有,5300000,25936.0,坡道平面,0.0,0,,RPQNMLRKJIJFFAN48CA,124.0,0.0,13.03,,,104_01
秀水鄉,房地(土地+建物),彰化縣秀水鄉民生街６４２號,63.0,,特定農業區,甲種建築用地,1031016,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,730711.0,118.2,4,1,3,有,無,3800000,32149.0,,0.0,0,親友間之交易。含增建或未登記建物。,RPPNMLTKJIJFFAN58CA,118.2,0.0,0.0,,,104_01
芬園鄉,土地,民族段856地號,322.15,住,,,1030707,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6911124,21453.0,,0.0,0,,RPUNMLKLJIJFFAN28CA,0.0,0.0,0.0,,,104_01
彰化市,房地(土地+建物),彰化縣彰化巿彰新路一段２６巷８２號之２６,72.0,其他,,,1030912,土地2建物1車位0,一層,一層,其他,住家用,加強磚造,580731.0,51.01,1,1,1,有,無,1000000,19604.0,,0.0,0,,RPXNMLLLJIJFFAN68CA,51.01,0.0,0.0,,,104_01
彰化市,房地(土地+建物),彰化縣彰化巿中正路一段７５號,373.0,住,,,1031001,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,771105.0,1187.53,0,0,0,無,無,47580000,40066.0,,0.0,0,,RPTOMLLLJIJFFAN38CA,1172.48,15.05,0.0,,,104_01
彰化市,房地(土地+建物),彰化縣彰化巿建國東路２１０巷６弄１２號,101.18,住,,,1030920,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,831215.0,158.65,5,2,4,有,無,7750000,48850.0,,0.0,0,,RPXOMLSLJIJFFAN86CA,158.65,0.0,0.0,,,104_01
鹿港鎮,土地,鹿崙段1145地號,1245.71,,特定農業區,農牧用地,1031015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1743994,1400.0,,0.0,0,,RPPNMLKKJIJFFCN87CA,0.0,0.0,0.0,,,104_01
鹿港鎮,土地,鹿崙段1126地號,4149.71,,特定農業區,農牧用地,1031015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5809594,1400.0,,0.0,0,,RPQNMLKKJIJFFCN97CA,0.0,0.0,0.0,,,104_01
福興鄉,土地,秀安段2397-4地號,1954.0,,,,1030923,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16550300,8470.0,,0.0,0,,RPPNMLSLJIJFFCN78CA,0.0,0.0,0.0,,,104_01
福興鄉,土地,秀安段2397-2地號,78.0,,,,1030923,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660600,8469.0,,0.0,0,,RPQNMLSLJIJFFCN88CA,0.0,0.0,0.0,,,104_01
員林市,土地,源潭段13地號,154.25,,特定農業區,農牧用地,1030915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,480000,3112.0,,0.0,0,,RPSNMLOJJIJFFDN58CA,0.0,0.0,0.0,,,104_01
員林市,房地(土地+建物),彰化縣員林鎮育英路２２巷８號三樓之一,23.02,商,,,1030924,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,840821.0,174.82,4,2,1,有,有,4700000,26885.0,,0.0,0,,RPRNMLPJJIJFFDN58CA,110.32,2.03,13.23,,,104_01
員林市,房地(土地+建物),彰化縣員林鎮中山路二段１４７巷１２弄１７號,69.03,住,,,1031003,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,621229.0,90.3,4,3,3,有,無,2300000,25471.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLLKJIJFFDN28CA,90.3,0.0,0.0,,,104_01
員林市,土地,新西東段298地號,265.8,,特定農業區,甲種建築用地,1031022,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5900000,22197.0,,0.0,0,,RPWNMLLKJIJFFDN78CA,0.0,0.0,0.0,,,104_01
大村鄉,房地(土地+建物),彰化縣大村鄉旗興路一段３８９巷３３號,98.29,,特定農業區,甲種建築用地,1031014,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,840322.0,185.96,3,2,3,有,無,3600000,19359.0,,0.0,0,,RPPNMLMKJIJFFDN18CA,158.68,11.36,15.92,,,104_01
