鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
東石鄉,土地,圍潭段圍潭小段223地號,2156.0,,一般農業區,農牧用地,1040116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1597500,741.0,,0.0,0,,RPPNMLSJKHKFFBQ88CA,0.0,0.0,0.0,,,104_02
朴子市,房地(土地+建物),嘉義縣朴子市山通路３之１３號十二樓,16.87,住,,,1040108,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830910.0,98.57,3,2,2,有,有,2500000,25363.0,,0.0,0,,RPTNMLTJKHKFFBQ76CA,72.71,0.0,11.04,,,104_02
布袋鎮,土地,新生段23-35地號,321.0,商,,,1040106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3010100,9377.0,,0.0,0,,RPSNMLMKKHKFFBQ68CA,0.0,0.0,0.0,,,104_02
布袋鎮,房地(土地+建物),嘉義縣布袋鎮新西路２４７號,89.2,住,,,1031222,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,810718.0,112.47,5,2,3,有,無,2200000,19561.0,,0.0,0,,RPRNMLOLKHKFFBQ88CA,112.47,0.0,0.0,,,104_02
民雄鄉,房地(土地+建物),嘉義縣民雄鄉三興村７鄰神農路５３號,117.01,住,,,1040117,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,960118.0,215.79,4,2,2,有,無,9200000,42634.0,,0.0,0,,RPVNMLLKKHKFFCQ98CA,204.9,10.89,0.0,,,104_02
太保市,房地(土地+建物),嘉義縣太保巿過溝里過溝４５之１３號,82.0,住,,,1031230,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,811214.0,172.25,3,1,3,有,無,3900000,22642.0,,0.0,0,,RPVNMLMJKHKFFDQ09CA,138.44,33.81,0.0,,,104_02
太保市,土地,頂港子墘段頂港小段614地號,4493.0,,特定農業區,農牧用地,1040115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13703650,3050.0,,0.0,0,,RPTNMLNJKHKFFDQ98CA,0.0,0.0,0.0,,,104_02
水上鄉,房地(土地+建物),嘉義縣水上鄉靖和村南靖糖廠５９號,40.09,,鄉村區,乙種建築用地,1040118,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,740411.0,55.96,3,2,1,有,無,490000,8756.0,,0.0,0,,RPSNMLQJKHKFFDQ56CA,51.8,4.16,0.0,,,104_02
番路鄉,土地,公田段141-9地號,1633.0,,森林區,農牧用地,1040120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126000,77.0,,0.0,0,,RPUNMLNJKHKFFEQ56CA,0.0,0.0,0.0,,,104_02
梅山鄉,土地,大草埔段813-4地號,12554.0,,山坡地保育區,農牧用地,1040121,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,717.0,,0.0,0,,RPPNMLPJKHKFFEQ88CA,0.0,0.0,0.0,,,104_02
番路鄉,房地(土地+建物),嘉義縣番路鄉江西村６鄰平田２０號四樓六,6.51,住,,,1031225,土地2建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820401.0,48.26,1,1,1,有,無,950000,19685.0,,0.0,0,,RPQNMLMKKHKFFEQ78CA,33.68,0.0,5.15,,,104_02
六腳鄉,土地,港尾寮段160-2地號,350.5,,特定農業區,甲種建築用地,1040111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,3138.0,,0.0,0,,RPXNMLNKKHKFFBQ76DA,0.0,0.0,0.0,,,104_02
大林鎮,土地,新大埔美段2329地號,5054.64,,一般農業區,農牧用地,1040115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2950000,584.0,,0.0,0,,RPUNMLNJKHKFFCQ09DA,0.0,0.0,0.0,,,104_02
太保市,土地,新埤段新埤小段875地號,4159.0,,特定農業區,農牧用地,1040108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6230000,1498.0,,0.0,0,,RPPOMLNJKHKFFDQ78DA,0.0,0.0,0.0,,,104_02
