鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 A戶4樓,63.58,住,,,1030807,土地1建物1車位2,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,225.07,3,2,2,有,無,111800000,496734,坡道平面,0.0,5600000,因車位面積尚無法確認，故交易面積不含車位面積,RPQOMLNJJIKFFCA17CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 A戶5樓,63.77,住,,,1030716,土地1建物1車位2,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,225.67,3,2,2,有,無,112800000,499845,坡道平面,0.0,5600000,因車位面積尚無法確認，故交易面積不含車位面積,RPROMLNJJIKFFCA27CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 A戶6樓,65.23,住,,,1030622,土地1建物1車位2,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,231.02,3,2,2,有,無,118000000,510778,坡道平面,0.0,6500000,因車位面積尚無法確認，故交易面積不含車位面積,RPUOMLNJJIKFFCA57CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 A戶7+8樓,107.01,住,,,1030729,土地1建物1車位3,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,379.25,4,2,3,有,無,202600000,534212,坡道平面,0.0,9800000,7F+8F樓中樓因車位面積尚無法確認，故交易面積不含車位面積,RPVOMLNJJIKFFCA67CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 B戶2樓,63.58,住,,,1030817,土地1建物1車位2,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,225.08,3,2,2,有,無,107600000,478052,坡道平面,0.0,5400000,因車位面積尚無法確認，故交易面積不含車位面積,RPXOMLNJJIKFFCA87CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 B戶3樓,63.77,住,,,1030714,土地1建物1車位2,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,225.67,2,2,2,有,無,111380000,493553,坡道平面,0.0,5600000,因車位面積尚無法確認，故交易面積不含車位面積,RPOPMLNJJIKFFCA07CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 B戶4樓,65.23,住,,,1030806,土地1建物1車位2,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,231.04,3,2,2,有,無,113070000,489396,坡道平面,0.0,5800000,因車位面積尚無法確認，故交易面積不含車位面積,RPPPMLNJJIKFFCA17CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 B戶5樓,63.58,住,,,1030623,土地1建物1車位2,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,225.05,3,2,2,有,無,111800000,496778,坡道平面,0.0,5600000,因車位面積尚無法確認，故交易面積不含車位面積,RPRPMLNJJIKFFCA37CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段119-2、119-3地號 B戶6樓,66.15,住,,,1030622,土地1建物1車位2,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,234.05,3,2,2,有,無,118800000,507584,坡道平面,0.0,6500000,因車位面積尚無法確認，故交易面積不含車位面積,RPSPMLNJJIKFFCA47CB,105_01
中山區,房地(土地+建物)+車位,臺北市中山區金泰段122、122-1地號二樓A戶,61.4,住,,,1031018,土地1建物1車位2,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,228.94,3,2,2,有,無,105880000,462479,坡道機械,0.0,3100000,,RPQPMLMKJIKFFCA37DB,105_01
