鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟6樓,18.53,商,,,1030429,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.35,4,2,3,有,無,16500000,70949,坡道平面,20.16,1800000,,RPUNMLSKKHLFFAE38CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟7樓,18.53,商,,,1030402,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.35,4,2,3,有,無,16280000,70370,坡道平面,20.16,1700000,,RPVNMLSKKHLFFAE48CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟8樓,18.53,商,,,1031128,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,225.29,4,2,3,有,無,15980000,67716,坡道平面,18.1,1950000,,RPOOMLSKKHLFFAE87CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟10樓,18.53,商,,,1030727,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.35,4,2,3,有,無,15880000,68440,坡道平面,20.16,1700000,,RPROMLOJLHLFFAE77CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟11樓,18.53,商,,,1030727,土地1建物1車位1,,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.35,4,2,3,有,無,16040000,68729,坡道平面,20.16,1800000,,RPSOMLOJLHLFFAE87CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟12樓,18.53,商,,,1030224,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.35,4,2,3,有,無,16180000,70129,坡道平面,20.16,1650000,,RPTOMLOJLHLFFAE97CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟13樓,18.53,商,,,1031031,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.38,4,2,3,有,無,16000000,67561,坡道平面,20.16,2000000,,RPUOMLOJLHLFFAE08CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟14樓,18.53,商,,,1031117,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.45,4,2,3,有,無,16180000,68889,坡道平面,20.16,1900000,,RPXOMLOJLHLFFAE38CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B1棟15樓,18.53,商,,,1030323,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.45,4,2,3,有,無,16280000,70336,坡道平面,20.16,1700000,,RPOPMLOJLHLFFAE57CB,105_02
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路81號B2棟3樓,18.18,商,,,1030809,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,221.72,4,2,3,有,無,15100000,65318,坡道平面,18.1,1800000,,RPPPMLOJLHLFFAE67CB,105_02
