鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
萬丹鄉,土地,新林段1136地號,2972.0,,特定農業區,農牧用地,1050126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24060000,8096.0,,0.0,0,,RPPNMLNJKHLFFAT68CA,0.0,0.0,0.0,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿機場北路７８６號六樓,11.86,住,,,1050108,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,881204.0,82.12,2,2,1,有,有,1800000,21919.0,,0.0,0,,RPRNMLNJKHLFFAT88CA,53.88,0.0,9.03,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿崇德一路２２１巷１１號,67.0,住,,,1050108,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,780620.0,132.02,4,2,3,有,無,3200000,24239.0,,0.0,0,,RPUNMLNJKHLFFAT56CA,119.17,3.69,9.16,,,105_02
屏東市,土地,古松段381地號,2724.34,,一般農業區,農牧用地,1041231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,3671.0,,0.0,0,,RPUNMLMJKHLFFAT09CA,0.0,0.0,0.0,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿德豐街１１９之１１號　　　,10.74,住,,,1041229,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,821130.0,88.72,3,2,1,有,有,1600000,18034.0,,0.0,0,,RPWNMLMJKHLFFAT66CA,59.45,0.0,9.92,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿民貴一街３４號四樓,31.62,住,,,1050115,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040130.0,109.77,2,1,1,有,無,5600000,51016.0,,0.0,0,,RPSNMLPJKHLFFAT56CA,68.87,0.0,9.0,,,105_02
九如鄉,房地(土地+建物),屏東縣九如鄉光復街１６７巷１９號,158.53,住,,,1050125,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030902.0,213.65,4,2,3,有,無,7700000,36040.0,,0.0,0,,RPPNMLTJKHLFFAT66CA,199.3,0.0,14.34,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿建南路１００號,31.96,住,,,1050126,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,711030.0,79.6,3,2,2,有,無,1500000,18844.0,,0.0,0,,RPQOMLQKKHLFFAT66CA,79.6,0.0,0.0,,,105_02
九如鄉,土地,九仁段348地號,147.35,住,,,1050120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,8144.0,,0.0,0,親友、員工或其他特殊關係間之交易。其中一筆為道路用地，本交易含土地上未保存登記之鐵皮屋。,RPPNMLNLKHLFFAT88CA,0.0,0.0,0.0,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿華盛街２７號五樓之一,45.61,住,,,1050111,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,930909.0,181.01,3,2,2,有,有,3213804,17755.0,,0.0,0,,RPQOMLMLKHLFFAT98CA,102.59,0.0,11.69,,,105_02
屏東市,土地,龍華段1870地號,326.42,,鄉村區,乙種建築用地,1041225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2056477,6300.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOPMLLJLHLFFAT68CA,0.0,0.0,0.0,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿桂林街１３之２號,59.0,住,,,1050126,土地2建物1車位0,全,二層,透天厝,住家用,磚造,580130.0,94.92,0,0,2,無,無,4560000,48040.0,,0.0,0,房東與房客已十幾年關係間之交易。,RPPPMLLJLHLFFAT78CA,94.92,0.0,0.0,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿大武路８之２號,23.96,住,,,1050108,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,720330.0,72.08,3,2,2,有,無,1600000,22198.0,,0.0,0,,RPWOMLOJLHLFFAT07CA,72.08,0.0,0.0,,,105_02
屏東市,房地(土地+建物),屏東縣屏東巿公治街１１之１號等,159.0,住,,,1050121,土地1建物3車位0,全,三層,透天厝,,鋼筋混凝土造,,343.98,2,1,1,有,無,5220000,15175.0,,0.0,0,,RPXOMLOJLHLFFAT17CA,315.84,0.0,0.0,,,105_02
里港鄉,房地(土地+建物),屏東縣里港鄉鐵店路４１之４２號,69.0,住,,,1041231,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,690623.0,84.19,3,2,2,有,無,480000,5701.0,,0.0,0,整批案件出售,RPPNMLMLKHLFFBT88CA,84.19,0.0,0.0,,,105_02
鹽埔鄉,土地,北段192地號,323.19,住,,,1050118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3910800,12101.0,,0.0,0,,RPPNMLSKKHLFFBT76CA,0.0,0.0,0.0,,,105_02
竹田鄉,土地,新勢段775地號,3436.0,,特定農業區,農牧用地,1050122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,2328.0,,0.0,0,,RPUNMLOJKHLFFCT86CA,0.0,0.0,0.0,,,105_02
竹田鄉,土地,過溝段240地號,520.49,,特定農業區,農牧用地,1050105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,950000,1825.0,,0.0,0,,RPPNMLMKKHLFFCT88CA,0.0,0.0,0.0,,,105_02
東港鎮,土地,東港段1013-175地號,130.0,住,,,1041214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,396000,3046.0,,0.0,0,有民情風俗因素之交易。,RPQNMLMJKHLFFDT98CA,0.0,0.0,0.0,,,105_02
東港鎮,土地,新孝段989地號,175.16,住,,,1041225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,23978.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLNJKHLFFDT98CA,0.0,0.0,0.0,,,105_02
新園鄉,土地,五族段825地號,4589.29,,一般農業區,農牧用地,1050120,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5204729,1134.0,,0.0,0,,RPPNMLOJKHLFFDT09CA,0.0,0.0,0.0,,,105_02
東港鎮,土地,新帝段100地號,688.35,其他,,,1050115,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4038000,5866.0,,0.0,0,公共設施保留地之交易。,RPQOMLOJKHLFFDT66CA,0.0,0.0,0.0,,,105_02
恆春鎮,房地(土地+建物),屏東縣恆春鎮興北路２７號,111.0,,鄉村區,乙種建築用地,1041230,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,750906.0,116.88,2,2,2,有,無,2750000,23528.0,,0.0,0,,RPPNMLOJKHLFFET56CA,112.86,4.02,0.0,,,105_02
滿州鄉,土地,射麻裡段381地號,11818.0,,山坡地保育區,農牧用地,1050115,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3190860,270.0,,0.0,0,,RPQNMLOJKHLFFET66CA,0.0,0.0,0.0,,,105_02
恆春鎮,土地,鵝鑾鼻段83-1地號,932.0,,國家公園區,,1041231,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,3755.0,,0.0,0,,RPQNMLPJKHLFFET76CA,0.0,0.0,0.0,,,105_02
