鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶21樓,58.85,住,,,1030801,土地1建物1車位1,二十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,233.98,3,2,2,有,無,27000000,143554,坡道平面,53.56,1100000,,RPWNMLKMLHLFFBG38CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶4樓,32.41,住,,,1030720,土地1建物1車位0,四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,129.42,3,2,2,有,無,11710000,90481,,0.0,0,,RPXNMLKMLHLFFBG48CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶4樓,23.87,住,,,1030720,土地1建物1車位0,四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.97,1,1,1,有,無,8460000,90029,,0.0,0,,RPOOMLKMLHLFFBG67CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶26樓,61.26,住,,,1030712,土地1建物1車位1,二十六層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,244.12,3,2,2,有,無,29000000,146411,坡道平面,53.56,1100000,,RPPOMLKMLHLFFBG77CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶23樓,58.93,住,,,1030711,土地1建物1車位1,二十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,234.36,3,2,2,有,無,26530000,140653,坡道平面,53.56,1100000,,RPQOMLKMLHLFFBG87CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶13樓,56.61,住,,,1030715,土地1建物1車位1,十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,225.52,3,2,2,有,無,24900000,138404,坡道平面,53.56,1100000,,RPROMLKMLHLFFBG97CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶14樓,56.94,住,,,1030729,土地1建物1車位1,十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,227.17,3,2,2,有,無,24270000,133460,坡道平面,53.56,1100000,,RPSOMLKMLHLFFBG08CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶4樓,23.29,住,,,1030729,土地1建物1車位0,四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,91.9,1,1,1,有,無,8270000,89989,,0.0,0,,RPTOMLKMLHLFFBG18CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶24樓,59.1,住,,,1030714,土地1建物1車位1,二十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,235.07,3,2,2,有,無,27100000,143243,坡道平面,53.56,1100000,,RPUOMLKMLHLFFBG28CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶22樓,58.93,住,,,1030806,土地1建物1車位1,二十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,234.32,3,2,2,有,無,27500000,146050,坡道平面,53.56,1100000,,RPVOMLKMLHLFFBG38CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶24樓,23.46,住,,,1030712,土地1建物1車位1,二十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.12,1,1,1,有,無,11090000,252528,坡道平面,53.56,1100000,,RPWOMLKMLHLFFBG48CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶23樓,23.21,住,,,1030721,土地1建物1車位0,二十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,92.07,1,1,1,有,無,9920000,107744,,0.0,0,,RPXOMLKMLHLFFBG58CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶28樓,58.52,住,,,1030726,土地1建物1車位1,二十八層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,231.8,3,2,2,有,無,27730000,149405,坡道平面,53.56,1100000,,RPOPMLKMLHLFFBG77CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶17樓,24.04,住,,,1030731,土地1建物1車位0,十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,94.62,1,1,1,有,無,9580000,101247,,0.0,0,,RPPPMLKMLHLFFBG87CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶14樓,24.2,住,,,1030717,土地1建物1車位0,十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,95.46,1,1,1,有,無,9800000,102661,,0.0,0,,RPQPMLKMLHLFFBG97CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶5樓,23.54,住,,,1030727,土地1建物1車位0,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,92.81,1,1,1,有,無,8570000,92339,,0.0,0,,RPRPMLKMLHLFFBG08CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，A戶27樓,60.92,住,,,1030915,土地1建物1車位1,二十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,242.83,3,2,2,有,無,28480000,144661,坡道平面,53.56,1100000,,RPSPMLKMLHLFFBG18CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶15樓,24.12,住,,,1030726,土地1建物1車位0,十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,95.08,1,1,1,有,無,9500000,99916,,0.0,0,,RPTPMLKMLHLFFBG28CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶21樓,23.29,住,,,1030709,土地1建物1車位0,二十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,92.46,1,1,1,有,無,9780000,105775,,0.0,0,,RPUPMLKMLHLFFBG38CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶22樓,23.21,住,,,1030727,土地1建物1車位0,二十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,92.11,1,1,1,有,無,9940000,107914,,0.0,0,,RPVPMLKMLHLFFBG48CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶11樓,23.71,住,,,1030726,土地1建物1車位0,十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.25,1,1,1,有,無,9030000,96836,,0.0,0,,RPWPMLKMLHLFFBG58CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶7樓,23.87,住,,,1030726,土地1建物1車位0,七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.97,1,1,1,有,無,8820000,93860,,0.0,0,,RPXPMLKMLHLFFBG68CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶10樓,23.62,住,,,1030729,土地1建物1車位0,十層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.19,1,1,1,有,無,9200000,98723,,0.0,0,,RPOQMLKMLHLFFBG87CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶6樓,23.87,住,,,1030802,土地1建物1車位0,六層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.97,1,1,1,有,無,8750000,93115,,0.0,0,,RPPQMLKMLHLFFBG97CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶26樓,23.95,住,,,1030726,土地1建物1車位0,二十六層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,94.75,1,1,1,有,無,11100000,117150,,0.0,0,,RPQQMLKMLHLFFBG08CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶5樓,23.87,住,,,1030805,土地1建物1車位0,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.97,1,1,1,有,無,8680000,92370,,0.0,0,,RPRQMLKMLHLFFBG18CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶14樓,24.2,住,,,1030708,土地1建物1車位0,十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,95.47,1,1,1,有,無,9660000,101184,,0.0,0,,RPSQMLKMLHLFFBG28CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶13樓,23.95,住,,,1030726,土地1建物1車位0,十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,94.33,1,1,1,有,無,9280000,98378,,0.0,0,,RPTQMLKMLHLFFBG38CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶15樓,24.2,住,,,1030721,土地1建物1車位0,十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,95.47,1,1,1,有,無,9810000,102755,,0.0,0,,RPUQMLKMLHLFFBG48CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，B戶27樓,24.29,住,,,1030803,土地1建物1車位0,二十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,96.07,1,1,1,有,無,11300000,117623,,0.0,0,,RPVQMLKMLHLFFBG58CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶28樓,25.36,住,,,1030726,土地1建物1車位0,二十八層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,99.69,1,1,1,有,無,10940000,109740,,0.0,0,,RPWQMLKMLHLFFBG68CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，D戶3樓,23.95,住,,,1030801,土地1建物1車位0,三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,94.93,1,1,1,有,無,8720000,91857,,0.0,0,,RPXQMLKMLHLFFBG78CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶20樓,24.78,住,,,1030717,土地1建物1車位0,二十層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,97.76,1,1,1,有,無,10340000,105769,,0.0,0,,RPORMLKMLHLFFBG97CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶23樓,24.78,住,,,1030720,土地1建物1車位0,二十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,97.76,1,1,1,有,無,10560000,108020,,0.0,0,,RPPRMLKMLHLFFBG08CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶27樓,25.36,住,,,1030720,土地1建物1車位0,二十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,99.69,1,1,1,有,無,11890000,119270,,0.0,0,,RPQRMLKMLHLFFBG18CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶17樓,24.54,住,,,1030731,土地1建物1車位0,十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,96.62,1,1,1,有,無,9800000,101428,,0.0,0,,RPRRMLKMLHLFFBG28CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶22樓,24.78,住,,,1030805,土地1建物1車位0,二十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,97.76,1,1,1,有,無,10490000,107304,,0.0,0,,RPSRMLKMLHLFFBG38CB,105_02
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶29樓,38.13,住,,,1030720,土地1建物1車位1,二十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,150.16,3,2,2,有,無,18660000,181781,坡道平面,53.56,1100000,,RPTRMLKMLHLFFBG48CB,105_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮宜蘭縣烏石港段179地號，C戶19樓,24.78,住,,,1030720,土地1建物1車位0,十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,97.76,1,1,1,有,無,10260000,104951,,0.0,0,,RPURMLKMLHLFFBG58CB,105_02
