鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美十三街６２號二樓之一,51.93,住,,,1050104,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,900423.0,134.28,5,5,5,有,無,5200000,38725.0,,0.0,0,,RPSNMLOJKHLFFAU56CA,99.69,0.0,8.12,,,105_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街８６號,54.28,,鄉村區,乙種建築用地,1041231,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,880414.0,129.22,4,1,1,有,無,5200000,40241.0,,0.0,0,,RPUNMLOJKHLFFAU76CA,101.88,9.96,9.12,,,105_02
吉安鄉,房地(土地+建物),花蓮縣花蓮巿全民街４７號,51.92,,鄉村區,乙種建築用地,1050105,土地1建物2車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880414.0,127.51,4,2,2,有,無,3800000,29802.0,,0.0,0,,RPRNMLMJKHLFFAU88CA,101.88,7.9,9.12,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛六街２號三樓之九,29.95,住,,,1050121,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820909.0,115.78,2,2,2,有,無,3620000,31266.0,,0.0,0,,RPROMLMJKHLFFAU98CA,74.33,0.0,8.08,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿中華路416巷4弄8號,54.0,住,,,1050102,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,601005.0,83.85,3,2,2,有,無,5000000,59630.0,,0.0,0,,RPTOMLMJKHLFFAU56CA,83.85,0.0,0.0,,,105_02
吉安鄉,土地,南埔段2999地號,4550.0,,特定農業區,農牧用地,1050122,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22022000,4840.0,,0.0,0,,RPROMLPJKHLFFAU66CA,0.0,0.0,0.0,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿華興街120巷9弄5號,124.94,住,,,1050119,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,991008.0,185.94,4,2,4,有,無,12500000,67226.0,,0.0,0,,RPOOMLPKKHLFFAU09CA,165.68,0.0,20.26,,,105_02
秀林鄉,土地,下台地段859地號,2802.44,,一般農業區,農牧用地,1041226,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,642.0,,0.0,0,,RPPOMLPKKHLFFAU56CA,0.0,0.0,0.0,,,105_02
壽豐鄉,土地,光榮段710地號,381.88,,一般農業區,農牧用地,1041224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,2095.0,,0.0,0,,RPTNMLRKKHLFFAU07CA,0.0,0.0,0.0,,,105_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉山下路８之１號,1080.05,,一般農業區,農牧用地,1041004,土地1建物1車位0,二層，三層，屋頂突出物，一層,三層,農舍,農舍,鋼筋混凝土造,960416.0,245.38,5,2,5,有,無,19500000,,,0.0,0,,RPPNMLSKKHLFFAU76CA,225.47,0.0,19.91,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿國興一街９５號八樓之六,16.53,其他,,,1041231,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,810930.0,129.43,3,2,1,有,無,4080000,31523.0,,0.0,0,,RPOOMLTKKHLFFAU86CA,100.49,0.0,10.47,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿建國路二段800號,159.37,住,,,1041231,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1031015.0,367.4,4,3,5,有,無,20000000,54437.0,,0.0,0,,RPQOMLMLKHLFFAU09CA,348.72,0.0,18.68,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿豐村６０之７號,2896.76,農,,,1031231,土地2建物1車位0,一層,,農舍,農舍,鋼筋混凝土造,910726.0,202.13,6,2,2,有,無,8200000,,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLNLKHLFFAU07CA,202.13,0.0,0.0,,,105_02
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路２９８號,339.61,,一般農業區,甲種建築用地,1050105,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,610101.0,209.18,7,2,2,有,無,6800000,32508.0,,0.0,0,,RPQOMLNLKHLFFAU56CA,209.18,0.0,0.0,,,105_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慈惠五街２２號,126.75,住,,,1050111,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,981209.0,233.53,5,3,4,有,無,19000000,81360.0,,0.0,0,,RPUOMLOLKHLFFAU07CA,206.49,1.45,25.59,,,105_02
萬榮鄉,土地,新白陽段1457地號,517.54,,山坡地保育區,農牧用地,1041228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,116.0,,0.0,0,,RPQNMLMJKHLFFBU88CA,0.0,0.0,0.0,,,105_02
玉里鎮,土地,泰林段552地號,2020.99,,山坡地保育區,農牧用地,1050121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,495.0,,0.0,0,,RPRNMLLJKHLFFCU98CA,0.0,0.0,0.0,,,105_02
瑞穗鄉,土地,新舞鶴段1237地號,3584.75,,山坡地保育區,農牧用地,1041231,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,474.0,,0.0,0,,RPPNMLMJKHLFFCU88CA,0.0,0.0,0.0,,,105_02
