鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
中正區,車位,基隆市中正區觀海街62號等公共設施　　　　,0.0,,,,1050112,土地0建物0車位1,,,其他,,,,34.99,0,0,0,有,有,400000,,坡道平面,34.99,400000,,RPUNMLNJKHLFFBC57CA,0.0,0.0,0.0,,,105_02
中正區,車位,基隆市中正區觀海街62號等公共設施,0.0,,,,1050121,土地0建物0車位1,,,其他,,,,34.99,0,0,0,有,有,400000,,坡道平面,34.99,400000,,RPVNMLNJKHLFFBC67CA,0.0,0.0,0.0,,,105_02
信義區,房地(土地+建物),基隆市信義區教孝街７５號２樓之３,20.9,住,,,1050101,土地2建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820618.0,113.39,3,2,2,有,有,4150000,36599.0,,0.0,0,,RPOQMLNJKHLFFBC27CA,80.25,2.25,10.72,,,105_02
信義區,房地(土地+建物),基隆市信義區教忠街１９４巷２８號,151.74,住,,,1041216,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,930615.0,213.3,4,3,3,有,無,13600000,63760.0,,0.0,0,,RPTQMLNJKHLFFBC77CA,183.81,2.7,25.69,,,105_02
中正區,房地(土地+建物)+車位,基隆市中正區豐稔街１１２號十樓之１,35.26,住,,,1040519,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041020.0,223.09,4,2,2,有,有,11800000,57707.0,坡道平面,37.67,1100000,,RPSOMLQKKHLFFBC87CA,126.23,0.0,11.2,,,105_02
中正區,房地(土地+建物)+車位,基隆市中正區新豐街２６８號１３樓,22.13,住,,,1050109,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851129.0,156.5,1,1,2,有,有,4700000,30032.0,坡道平面,0.0,0,,RPSNMLOLKHLFFBC67CA,78.62,0.99,7.22,,,105_02
中正區,房地(土地+建物),基隆市中正區新豐街１６２巷７７號三樓,41.72,住,,,1050104,土地9建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980629.0,135.74,3,2,2,有,有,8000000,58936.0,,0.0,0,,RPTOMLLJLHLFFBC47CA,90.89,1.57,6.95,,,105_02
安樂區,房地(土地+建物),基隆市安樂區安和一街２０５之４號,54.85,住,,,1050107,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710911.0,89.79,3,2,2,有,無,5000000,55685.0,,0.0,0,,RPROMLMJKHLFFCC37CA,81.42,0.0,8.37,,,105_02
中山區,土地,德育段796地號,12.96,住,,,1050122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,34722.0,,0.0,0,未辦理保存登記之車位交易。現況土地係規劃成21個停車位使用。,RPQNMLNJKHLFFCC27CA,0.0,0.0,0.0,,,105_02
安樂區,房地(土地+建物)+車位,基隆市安樂區安和二街28號12樓,26.31,住,,,1050119,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040330.0,197.37,3,2,2,有,有,12000000,60800.0,坡道平面,38.87,0,,RPPNMLOJKHLFFCC27CA,99.43,3.12,11.42,,,105_02
