鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶2樓,35.16,住,,,1040201,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,9900000,71387,坡道平面,29.1,1300000,,RPUNMLNJJIKFFCC67CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷A戶4樓,34.97,住,,,1030509,土地2建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9300000,77198,,0.0,0,,RPTOMLNJJIKFFCC67CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶3樓,35.16,住,,,1030312,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10300000,74707,坡道平面,29.1,1300000,,RPUOMLNJJIKFFCC77CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶7樓,35.16,住,,,1040131,土地2建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10880000,79522,坡道平面,29.1,1300000,,RPOPMLNJJIKFFCC27CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶12樓,35.16,住,,,1040207,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,11050000,80103,坡道平面,29.1,1400000,,RPTPMLNJJIKFFCC77CB,105_01
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷A戶5樓,34.97,住,,,1040211,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9200000,76368,,0.0,0,,RPUPMLNJJIKFFCC87CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶8樓,35.16,住,,,1040214,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.17,3,2,2,有,無,10550000,77613,坡道平面,30.7,1200000,,RPWPMLNJJIKFFCC08CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶9樓,35.16,住,,,1040201,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10820000,79024,坡道平面,29.1,1300000,,RPXPMLNJJIKFFCC18CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶10樓,35.16,住,,,1040509,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10980000,78692,坡道平面,29.1,1500000,,RPOQMLNJJIKFFCC37CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶11樓,35.16,住,,,1040201,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10930000,79937,坡道平面,29.1,1300000,,RPPQMLNJJIKFFCC47CB,105_01
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷B戶2樓,37.28,住,,,1040131,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.95,3,2,2,有,無,10560000,72605,坡道平面,29.1,1350000,,RPRQMLNJJIKFFCC67CB,105_01
