鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
新竹市,房地(土地+建物),新竹市新竹市自由路９５巷１８弄３１號,127.0,商,,,1041001,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,920113.0,561.81,16,0,16,有,無,30000000,53399.0,,0.0,0,,RPWNMLNJJIKFFAO78CA,517.99,17.36,26.46,,,105_01
新竹市,房地(土地+建物)+車位,新竹市新竹市慈祥路８８號六樓之１,12.69,住,,,1040924,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000324.0,114.56,2,2,1,有,有,8350000,72881.0,坡道平面,22.53,0,,RPVOMLNJJIKFFAO78CA,56.42,3.78,3.22,,,105_01
新竹市,房地(土地+建物),新竹市新竹市東大路一段52巷20號3樓,77.67,住,,,1040815,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,99.54,9,0,9,有,無,4200000,42194.0,,0.0,0,1.含增建或未登記建物。2.因自來水問題，賣方同意折讓新台幣貳拾萬元整，自尾款中扣除。,RPOPMLNJJIKFFAO18CA,99.54,0.0,0.0,,,105_01
新竹市,土地,五福段1156地號,133.54,農,,,1041016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4850000,36319.0,,0.0,0,,RPSPMLNJJIKFFAO58CA,0.0,0.0,0.0,,,105_01
新竹市,房地(土地+建物),新竹市新竹市牛埔南路142巷8弄8號,20.32,住,,,1041006,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830112.0,111.53,3,2,2,有,有,5200000,46624.0,,0.0,0,,RPRRMLOJJIKFFAO78CA,72.7,10.39,0.0,,,105_01
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路１７９巷１６號１１樓之１,21.2,其他,,,1041016,土地2建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,890501.0,189.67,3,2,2,有,有,9150000,48242.0,坡道平面,0.0,0,,RPXRMLOJJIKFFAO76CA,98.93,1.18,15.07,,,105_01
新竹市,房地(土地+建物),新竹市新竹市華江街１１７巷６號,71.98,,鄉村區,乙種建築用地,1041020,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,701007.0,93.4,4,2,2,有,無,4150000,44433.0,,0.0,0,,RPSRMLPJJIKFFAO98CA,93.4,0.0,0.0,,,105_01
新竹市,房地(土地+建物),新竹市新竹市五福路二段８００號,114.59,,山坡地保育區,丙種建築用地,1041001,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,900430.0,263.09,13,0,13,有,有,15800000,60055.0,,0.0,0,,RPWNMLQJJIKFFAO09CA,216.02,27.36,19.71,,,105_01
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路三段３８５號６樓,20.0,住,,,1040924,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841002.0,130.39,3,2,2,有,無,4200000,32211.0,坡道平面,0.0,0,,RPPNMLKKJIKFFAO87CA,80.82,0.0,14.94,,,105_01
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路三段５６２號５樓之２,49.69,住,,,1040930,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,941025.0,140.69,3,2,2,有,有,5500000,39093.0,一樓平面,0.0,0,,RPVSMLKKJIKFFAO98CA,91.4,0.0,13.62,,,105_01
