鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
新竹市,房地(土地+建物)+車位,新竹市新竹市新竹市立鵬路A棟2樓,19.2,商,,,1030520,土地1建物1車位2,二層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,256.51,4,2,2,有,無,16220000,62610,坡道平面,34.98,2350000,,RPSPMLPJKHLFFAO98CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路A棟3樓,19.2,商,,,1021001,土地1建物1車位2,三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,256.52,4,2,2,有,無,16720000,65233,坡道平面,34.7,2250000,,RPTPMLPJKHLFFAO09CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟19樓,13.48,商,,,1020607,土地1建物1車位1,十九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.81,4,2,2,有,無,12670000,76322,坡道平面,18.18,1250000,,RPUPMLPJKHLFFAO56CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟15樓,13.48,商,,,1020606,土地1建物1車位1,十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.81,4,2,2,有,無,12170000,73648,坡道平面,18.18,1150000,,RPVPMLPJKHLFFAO66CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟20樓,13.48,商,,,1020715,土地1建物1車位1,二十層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,4,2,2,有,無,13470000,78998,坡道平面,18.18,1050000,,RPWPMLPJKHLFFAO76CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟17樓,13.42,商,,,1020606,土地1建物1車位1,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.52,4,2,2,有,無,12390000,74933,坡道平面,16.52,1150000,,RPXPMLPJKHLFFAO86CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟23樓,13.48,商,,,1020605,土地1建物1車位1,二十三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.81,4,2,2,有,無,13070000,79663,坡道平面,18.18,1150000,,RPOQMLPJKHLFFAO68CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟18樓,13.48,商,,,1020607,土地1建物1車位1,十八層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,4,2,2,有,無,13290000,77217,坡道平面,18.18,1150000,,RPPQMLPJKHLFFAO78CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟22樓,13.48,商,,,1031112,土地1建物1車位1,二十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,4,2,2,有,無,13630000,78743,坡道平面,18.18,1250000,,RPQQMLPJKHLFFAO88CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟16樓,13.48,商,,,1020605,土地1建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,4,2,2,有,無,12910000,74800,坡道平面,18.18,1150000,,RPRQMLPJKHLFFAO98CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟21樓,13.48,商,,,1020606,土地1建物1車位1,二十一層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.81,4,2,2,有,無,13040000,78460,坡道平面,18.18,1300000,,RPSQMLPJKHLFFAO09CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟24樓,13.48,商,,,1020606,土地1建物1車位1,二十四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,4,2,2,有,無,13570000,79634,坡道平面,18.18,1050000,,RPTQMLPJKHLFFAO56CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟5樓,13.48,商,,,1020605,土地1建物1車位1,五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.81,4,2,2,有,無,11350000,68168,坡道平面,18.18,1150000,,RPUQMLPJKHLFFAO66CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟9樓,13.48,商,,,1020605,土地1建物1車位1,九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.81,4,2,2,有,無,11800000,70841,坡道平面,18.18,1200000,,RPVQMLPJKHLFFAO76CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟13樓,13.48,商,,,1020605,土地1建物1車位1,十三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.81,4,2,2,有,無,11890000,71777,坡道平面,18.18,1150000,,RPWQMLPJKHLFFAO86CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟10樓,13.48,商,,,1020605,土地1建物1車位1,十層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,4,2,2,有,無,12340000,71810,坡道平面,18.18,1050000,,RPXQMLPJKHLFFAO96CB,105_02
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路E棟6樓,13.48,商,,,1020606,土地1建物1車位1,六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,4,2,2,有,無,11810000,68439,坡道平面,18.18,1050000,,RPORMLPJKHLFFAO78CB,105_02
