鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
金城鎮,土地,鳳翔段193-3地號,232.15,其他,,,1050125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7577649,32641.0,,0.0,0,,RPPNMLMJKHLFFAW88CA,0.0,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１５號,106.7,其他,,,1050115,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041130.0,159.08,4,2,4,有,無,9300000,58461.0,,0.0,0,,RPTNMLMJKHLFFAW66CA,153.23,0.0,5.85,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１３號,106.7,其他,,,1050115,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041130.0,159.08,4,2,4,有,無,8900000,55947.0,,0.0,0,,RPWNMLMJKHLFFAW96CA,153.23,0.0,5.85,,,105_02
金寧鄉,土地,寧安二劃段158地號,1000.0,農,,,1041230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,4300.0,,0.0,0,,RPUNMLNJKHLFFAW86CA,0.0,0.0,0.0,,,105_02
金湖鎮,土地,多年段710地號,602.69,農,,,1050120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,431.0,,0.0,0,,RPQNMLOJKHLFFAW56CA,0.0,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１０號二樓,60.06,其他,,,1050115,土地4建物1車位0,二層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1041130.0,102.16,3,2,2,有,無,6000000,58731.0,,0.0,0,,RPRNMLOJKHLFFAW66CA,89.06,0.0,5.97,,,105_02
金湖鎮,土地,夏興段1171地號,15.67,其他,,,1041229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,391666,24995.0,,0.0,0,,RPQNMLRKKHLFFAW96CA,0.0,0.0,0.0,,,105_02
金湖鎮,土地,夏興段1179地號,118.0,其他,,,1041229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2950000,25000.0,,0.0,0,,RPRNMLRKKHLFFAW07CA,0.0,0.0,0.0,,,105_02
金寧鄉,土地,寧湖二劃測段731地號,360.51,農,,,1050130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,4993.0,,0.0,0,,RPRNMLNJKHLFFAW66DA,0.0,0.0,0.0,,,105_02
金寧鄉,土地,寧古劃段740地號,505.0,其他,,,1050129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,2970.0,,0.0,0,,RPSNMLNJKHLFFAW76DA,0.0,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１１號,60.06,其他,,,1050115,土地4建物1車位0,一層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1041130.0,94.09,3,2,2,有,無,6000000,63769.0,,0.0,0,,RPSNMLOJKHLFFAW76CA,86.96,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１１號三樓,60.06,其他,,,1050115,土地4建物1車位0,三層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1041130.0,100.05,3,2,2,有,無,6000000,59970.0,,0.0,0,,RPTNMLOJKHLFFAW86CA,86.96,0.0,5.96,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１０號,60.06,其他,,,1050115,土地4建物1車位0,一層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1041130.0,96.19,3,2,2,有,無,6500000,67575.0,,0.0,0,,RPXNMLOJKHLFFAW27CA,89.06,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉后盤山５之２號三樓,57.0,其他,,,1050125,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),,,1041221.0,114.22,3,2,2,有,無,5500000,48153.0,,0.0,0,,RPOOMLOJKHLFFAW09CA,92.51,0.0,9.36,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１２號,106.7,其他,,,1050115,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041130.0,159.08,4,2,4,有,無,8900000,55947.0,,0.0,0,,RPWOMLNJKHLFFAW17CA,153.23,0.0,5.85,,,105_02
金沙鎮,土地,東珩段676地號,550.97,農,,,1050113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,2904.0,,0.0,0,,RPTNMLNJKHLFFAW76CA,0.0,0.0,0.0,,,105_02
金寧鄉,土地,東坑村段8地號,78.0,其他,,,1041231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1320000,16923.0,,0.0,0,,RPPNMLQKKHLFFAW76CA,0.0,0.0,0.0,,,105_02
金湖鎮,土地,太湖劃測段1821地號,9600.1,農,,,1050201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38400000,4000.0,,0.0,0,,RPPOMLOJKHLFFAW56CA,0.0,0.0,0.0,,,105_02
金湖鎮,土地,太湖劃測段1819地號,9600.14,農,,,1050201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38400000,4000.0,,0.0,0,,RPQOMLOJKHLFFAW66CA,0.0,0.0,0.0,,,105_02
金湖鎮,土地,夏興段1178-1地號,32.67,其他,,,1041229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,816666,24997.0,,0.0,0,,RPSNMLRKKHLFFAW17CA,0.0,0.0,0.0,,,105_02
金城鎮,土地,金門城段268-1地號,353.0,其他,,,1050202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,42493.0,,0.0,0,,RPPNMLPJKHLFFAW56CA,0.0,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１６號,119.39,其他,,,1050115,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041130.0,164.16,4,2,4,有,無,11000000,67008.0,,0.0,0,,RPSNMLPJKHLFFAW86CA,158.31,0.0,5.85,,,105_02
金湖鎮,土地,市港段31地號,78.41,住,,,1041229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,67593.0,,0.0,0,,RPPNMLRKKHLFFAW86CA,0.0,0.0,0.0,,,105_02
金城鎮,土地,庵前劃測段682地號,281.01,其他,,,1041230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1601757,5700.0,,0.0,0,,RPQNMLOJLHLFFAW66CA,0.0,0.0,0.0,,,105_02
金城鎮,土地,庵前劃測段681地號,1641.12,其他,,,1041230,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8681149,5290.0,,0.0,0,,RPRNMLOJLHLFFAW76CA,0.0,0.0,0.0,,,105_02
金城鎮,土地,庵前劃測段685地號,4785.01,其他,,,1041230,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27274557,5700.0,,0.0,0,,RPSNMLOJLHLFFAW86CA,0.0,0.0,0.0,,,105_02
金城鎮,土地,東沙段954地號,1116.82,其他,,,1040727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2060000,1845.0,,0.0,0,,RPQNMLMLKHLFFAW56CA,0.0,0.0,0.0,,,105_02
金寧鄉,土地,寧湖二劃測段946地號,50.96,其他,,,1041215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,58870.0,,0.0,0,,RPRNMLMLKHLFFAW66CA,0.0,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１７號,130.66,其他,,,1050115,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041130.0,165.21,5,2,4,有,無,10000000,60529.0,,0.0,0,,RPUNMLMLKHLFFAW96CA,159.02,0.0,6.19,,,105_02
金寧鄉,土地,寧古劃段777地號,1322.8,農,,,1050216,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1466854,1109.0,,0.0,0,,RPTNMLOJLHLFFAW96CA,0.0,0.0,0.0,,,105_02
金寧鄉,土地,湖尾段995地號,380.81,農,,,1050202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,4202.0,,0.0,0,,RPPNMLMLKHLFFAW09CA,0.0,0.0,0.0,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２２０之１８號,111.74,其他,,,1050115,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041130.0,159.08,5,2,4,有,無,10000000,62861.0,,0.0,0,,RPUNMLNLKHLFFAW07CA,153.23,0.0,5.85,,,105_02
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下220之20號,101.75,其他,,,1050115,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041130.0,164.16,5,2,4,有,無,10000000,60916.0,,0.0,0,,RPXNMLNLKHLFFAW37CA,158.31,0.0,5.85,,,105_02
金寧鄉,土地,上后垵段34地號,53.0,住,,,1050201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,13208.0,,0.0,0,,RPTNMLLJLHLFFAW66CA,0.0,0.0,0.0,,,105_02
金寧鄉,土地,長寮段125地號,2405.86,農,,,1050203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,2702.0,,0.0,0,,RPQNMLOLKHLFFAW76CA,0.0,0.0,0.0,,,105_02
金城鎮,房地(土地+建物),金門縣金城鎮民權路70巷11弄18號3樓,42.39,住,,,1050204,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1010509.0,96.49,3,1,2,有,無,8750000,90683.0,,0.0,0,,RPRNMLOLKHLFFAW86CA,76.76,0.0,8.01,,,105_02
烈嶼鄉,土地,東坑段408地號,180.14,住,,,1050216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,4996.0,,0.0,0,,RPQNMLQLKHLFFAW96CA,0.0,0.0,0.0,,,105_02
