鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄,26.13,住,Unnamed: 5,Unnamed: 6,1040224,土地4建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,182.23,3,1,2,有,無,37090000,229487,坡道平面,32.81,2800000,Unnamed: 26,RPOOMLOLJIMFFDA57CB,東騰藍,Unnamed: 29,來源資料夾
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第C1棟第4樓,43.35,住,,,1050912.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.64,2.0,1.0,1.0,有,無,22560000.0,208921.0,坡道平面,31.58,2700000.0,,RPOOMLRJKHMFFDA67CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B2棟第2樓,48.41,住,,,1051108.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.52,2.0,1.0,1.0,有,無,25080000.0,214027.0,坡道平面,31.58,2620000.0,,RPPOMLRJKHMFFDA77CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B2棟第1樓,48.26,住,,,1051127.0,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.99,2.0,1.0,1.0,有,無,27000000.0,248958.0,坡道平面,31.58,2500000.0,,RPQOMLRJKHMFFDA87CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B1棟第3樓,48.7,住,,,1051024.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.04,2.0,1.0,1.0,有,無,26430000.0,225014.0,坡道平面,31.58,2700000.0,,RPROMLRJKHMFFDA97CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B2棟第3樓,48.41,住,,,1051024.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.52,2.0,1.0,1.0,有,無,26300000.0,224890.0,坡道平面,31.58,2700000.0,,RPSOMLRJKHMFFDA08CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第C2棟第1樓,42.48,住,,,1051005.0,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.46,2.0,1.0,1.0,有,無,27120000.0,281077.0,坡道平面,31.58,2700000.0,,RPTOMLRJKHMFFDA18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B2棟第4樓,48.41,住,,,1051108.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.52,2.0,1.0,1.0,有,無,25400000.0,216791.0,坡道平面,31.58,2650000.0,,RPUOMLRJKHMFFDA28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第A1棟第3樓,46.1,住,,,1051103.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.15,2.0,1.0,1.0,有,無,25000000.0,223963.0,坡道平面,31.58,2700000.0,,RPVOMLRJKHMFFDA38CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第A1棟第5樓,46.1,住,,,1051107.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.15,2.0,1.0,1.0,有,無,25200000.0,225972.0,坡道平面,31.58,2700000.0,,RPWOMLRJKHMFFDA48CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第C2棟第2樓,47.11,住,,,1051019.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.23,2.0,1.0,1.0,有,無,25000000.0,221560.0,坡道平面,31.58,2700000.0,,RPXOMLRJKHMFFDA58CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
