鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,新莊區,房地(土地+建物)+車位,新北市新莊區新豐段1地號等1筆A1棟6樓,17.34,商,Unnamed: 5,Unnamed: 6,1060719,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,Unnamed: 14,151.97,0,0.1,0.2,無,無.1,13560000,89228,坡道平面,26.26,0.3,Unnamed: 26,RPVSMLPKJIMFFBF98CB,SUPER2,Unnamed: 29,來源資料夾
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路      １３５號旁C7-3,10.46,住,,,1020915.0,土地1建物1車位1,三層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.01,2.0,2.0,1.0,有,無,11650000.0,111489.0,坡道平面,39.97,1500000.0,,RPPNMLMJKHMFFBF47CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新莊區,房地(土地+建物),新北市新莊區雙鳳路      １３５號旁C7-4,11.68,住,,,1020930.0,土地1建物1車位0,四層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.5,2.0,2.0,1.0,有,無,9510000.0,102811.0,,0.0,0.0,,RPQNMLMJKHMFFBF57CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新莊區,房地(土地+建物),新北市新莊區雙鳳路135號旁C7-5,8.01,住,,,1020908.0,土地1建物1車位0,五層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.5,2.0,2.0,1.0,有,無,9990000.0,108000.0,,0.0,0.0,,RPRNMLMJKHMFFBF67CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路      １３５號旁C7-9,11.68,住,,,1020922.0,土地1建物1車位1,九層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.47,2.0,2.0,1.0,有,無,11300000.0,105946.0,坡道平面,39.97,1500000.0,,RPUNMLMJKHMFFBF97CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路135號C7-10,11.68,住,,,1021121.0,土地1建物1車位1,十層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.47,2.0,2.0,1.0,有,無,11550000.0,106486.0,坡道平面,39.97,1700000.0,,RPVNMLMJKHMFFBF08CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路135號旁C7-11,11.68,住,,,1021010.0,土地1建物1車位1,十一層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.47,2.0,2.0,1.0,有,無,12690000.0,119892.0,坡道平面,39.97,1600000.0,,RPWNMLMJKHMFFBF18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路135號旁C7-13,11.68,住,,,1021116.0,土地1建物1車位1,十三層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.47,2.0,2.0,1.0,有,無,12200000.0,114595.0,坡道平面,39.97,1600000.0,,RPXNMLMJKHMFFBF28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新莊區,房地(土地+建物),新北市新莊區雙鳳路135號旁C7-16,11.68,住,,,1030530.0,土地1建物1車位0,十六層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.5,2.0,2.0,1.0,有,無,11420000.0,123459.0,,0.0,0.0,,RPQOMLMJKHMFFBF67CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三峽區,房地(土地+建物)+車位,新北市三峽區中園段33地號A01-08F,29.58,住,,,1050626.0,土地1建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.7,3.0,2.0,2.0,有,無,8060000.0,56673.0,坡道平面,19.89,760000.0,員工戶,RPWOMLMJKHMFFIF98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三峽區,房地(土地+建物)+車位,新北市三峽區中埔里9鄰弘園街28號2樓之1B01-02F,29.3,住,,,1050612.0,土地1建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.38,3.0,2.0,2.0,有,無,8080000.0,53630.0,坡道平面,19.89,1350000.0,,RPOPMLMJKHMFFIF28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
