鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟3樓,23.19,商,,,1040930,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,196.8,4,2,2,有,無,8500000,47446,坡道平面,42.94,1200000,,RPUNMLSJKILFFCD48CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟4樓,23.69,商,,,1031112,土地1建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,237.67,4,2,2,有,無,9300000,48421,坡道平面,83.81,1850000,,RPVNMLSJKILFFCD58CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟5樓,23.69,商,,,1040216,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.74,4,2,2,有,無,9500000,48096,坡道平面,85.88,2100000,,RPWNMLSJKILFFCD68CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟6樓,23.69,商,,,1040209,土地1建物1車位2,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.74,4,2,2,有,無,9660000,47186,坡道平面,85.88,2400000,,RPXNMLSJKILFFCD78CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟7樓,23.69,商,,,1040119,土地1建物1車位2,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.74,4,2,2,有,無,9580000,48616,坡道平面,85.88,2100000,,RPOOMLSJKILFFCD97CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟8樓,23.69,商,,,1040127,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.74,4,2,2,有,無,9500000,46796,坡道平面,85.88,2300000,,RPPOMLSJKILFFCD08CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟9樓,23.19,商,,,1041218,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,194.07,4,2,2,有,無,8250000,46649,坡道平面,42.94,1200000,,RPROMLSJKILFFCD28CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟10樓,23.69,商,,,1050201,土地1建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.83,4,2,2,有,無,8760000,41312,坡道平面,85.88,2400000,,RPSOMLSJKILFFCD38CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟11樓,23.19,商,,,1040916,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,196.89,4,2,2,有,無,8500000,47743,坡道平面,42.94,1150000,,RPVOMLSJKILFFCD68CB,106_01
南區,房地(土地+建物)+車位,臺南市南區興昌路57號A1棟12樓,23.69,商,,,1040311,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.83,4,2,2,有,無,9880000,49237,坡道平面,85.88,2300000,,RPXOMLSJKILFFCD88CB,106_01
