鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,桃園區,房地(土地+建物),桃園市桃園區中山路1308巷320弄2號背面 A1-01F,22.51,住,Unnamed: 5,Unnamed: 6,1051216,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,88.99,0,0.1,0.2,無,無.1,5780000,64951,Unnamed: 23,0.0,0.3,Unnamed: 26,RPPPMLSLJIMFFAH58CB,鴻築微美,Unnamed: 29,來源資料夾
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-03F,27.14,住,,,1050605.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,7800000.0,43721.0,坡道平面,36.07,1300000.0,,RPXRMLOLKHMFFBH66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-02F,24.29,住,,,1050402.0,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3.0,2.0,2.0,有,無,6800000.0,42114.0,坡道平面,33.96,1150000.0,,RPSTMLOLKHMFFBH98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-10F,24.64,住,,,1050611.0,土地2建物1車位2,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.3,3.0,2.0,2.0,有,無,8550000.0,46586.0,坡道平面,72.14,2300000.0,,RPSUMLOLKHMFFBH09CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-02F,27.14,住,,,1050327.0,土地2建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.63,3.0,2.0,2.0,有,無,7580000.0,43250.0,坡道平面,33.96,1150000.0,,RPTUMLOLKHMFFBH56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-03F,27.14,住,,,1050605.0,土地2建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,7800000.0,43721.0,坡道平面,36.07,1300000.0,,RPUUMLOLKHMFFBH66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-04F,27.14,住,,,1050430.0,土地2建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.63,3.0,2.0,2.0,有,無,7600000.0,42712.0,坡道平面,33.96,1250000.0,,RPVUMLOLKHMFFBH76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-05F,27.14,住,,,1050507.0,土地2建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,7800000.0,43721.0,坡道平面,36.07,1300000.0,,RPXUMLOLKHMFFBH96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-06F,27.14,住,,,1050514.0,土地2建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,7770000.0,43856.0,坡道平面,36.07,1250000.0,,RPOVMLOLKHMFFBH78CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-08F,27.14,住,,,1050501.0,土地2建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.63,3.0,2.0,2.0,有,無,8000000.0,45739.0,坡道平面,33.96,1200000.0,,RPPVMLOLKHMFFBH88CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-09F,27.14,住,,,1050507.0,土地2建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,8150000.0,46075.0,坡道平面,36.07,1300000.0,,RPQVMLOLKHMFFBH98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-10F,27.14,住,,,1050521.0,土地2建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,8000000.0,45403.0,坡道平面,36.07,1250000.0,,RPRVMLOLKHMFFBH09CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-11F,27.14,住,,,1050528.0,土地2建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,8000000.0,45739.0,坡道平面,36.07,1200000.0,,RPSVMLOLKHMFFBH56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-12F,27.14,住,,,1050617.0,土地2建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,8200000.0,46748.0,坡道平面,36.07,1250000.0,,RPTVMLOLKHMFFBH66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-14F,27.14,住,,,1050522.0,土地2建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,8000000.0,45403.0,坡道平面,36.07,1250000.0,,RPUVMLOLKHMFFBH76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B2-15F,27.14,住,,,1050605.0,土地2建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3.0,2.0,2.0,有,無,8080000.0,46277.0,坡道平面,36.07,1200000.0,,RPVVMLOLKHMFFBH86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-02F,24.29,住,,,1050514.0,土地2建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7050000.0,42942.0,坡道平面,36.07,1300000.0,,RPWVMLOLKHMFFBH96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-03F,24.29,住,,,1050514.0,土地2建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7200000.0,44063.0,坡道平面,36.07,1300000.0,,RPXVMLOLKHMFFBH07CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-04F,24.29,住,,,1050618.0,土地2建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7050000.0,43316.0,坡道平面,36.07,1250000.0,,RPOWMLOLKHMFFBH88CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-05F,24.29,住,,,1050618.0,土地2建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7250000.0,45183.0,坡道平面,36.07,1200000.0,,RPPWMLOLKHMFFBH98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-06F,24.29,住,,,1050722.0,土地2建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7330000.0,45407.0,坡道平面,36.07,1250000.0,,RPQWMLOLKHMFFBH09CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-07F,24.29,住,,,1050430.0,土地2建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7320000.0,45332.0,坡道平面,36.07,1250000.0,,RPRWMLOLKHMFFBH56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-08F,24.29,住,,,1050306.0,土地2建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7500000.0,46303.0,坡道平面,36.07,1300000.0,,RPSWMLOLKHMFFBH66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-09F,24.29,住,,,1050716.0,土地2建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7360000.0,46004.0,坡道平面,36.07,1200000.0,,RPTWMLOLKHMFFBH76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-10F,24.29,住,,,1050730.0,土地2建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7500000.0,46303.0,坡道平面,36.07,1300000.0,,RPUWMLOLKHMFFBH86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-11F,24.29,住,,,1050806.0,土地2建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7360000.0,46004.0,坡道平面,36.07,1200000.0,,RPVWMLOLKHMFFBH96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-12F,24.29,住,,,1050806.0,土地2建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7500000.0,46677.0,坡道平面,36.07,1250000.0,,RPWWMLOLKHMFFBH07CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-13F,24.29,住,,,1051106.0,土地2建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7230000.0,48618.0,坡道平面,36.07,720000.0,,RPXWMLOLKHMFFBH17CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-14F,24.29,住,,,1050730.0,土地2建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7380000.0,45407.0,坡道平面,36.07,1300000.0,,RPONNLOLKHMFFBH08CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 B1-15F,24.29,住,,,1050821.0,土地2建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3.0,2.0,2.0,有,無,7380000.0,45780.0,坡道平面,36.07,1250000.0,,RPPNNLOLKHMFFBH18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-02F,24.29,住,,,1050402.0,土地2建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3.0,2.0,2.0,有,無,6800000.0,42114.0,坡道平面,33.96,1150000.0,,RPQNNLOLKHMFFBH28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-03F,24.29,住,,,1050424.0,土地2建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3.0,2.0,2.0,有,無,7000000.0,43232.0,坡道平面,33.96,1200000.0,,RPRNNLOLKHMFFBH38CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-04F,24.29,住,,,1050710.0,土地2建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3.0,2.0,2.0,有,無,7200000.0,43977.0,坡道平面,36.07,1300000.0,,RPSNNLOLKHMFFBH48CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-05F,24.29,住,,,1050703.0,土地2建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3.0,2.0,2.0,有,無,7300000.0,45095.0,坡道平面,36.07,1250000.0,,RPTNNLOLKHMFFBH58CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-06F,24.29,住,,,1050910.0,土地2建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3.0,2.0,2.0,有,無,7250000.0,45095.0,坡道平面,33.96,1200000.0,,RPUNNLOLKHMFFBH68CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-07F,24.29,住,,,1050501.0,土地2建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3.0,2.0,2.0,有,無,7300000.0,45095.0,坡道平面,36.07,1250000.0,,RPVNNLOLKHMFFBH78CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-08F,24.29,住,,,1050924.0,土地2建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3.0,2.0,2.0,有,無,7400000.0,46586.0,坡道平面,33.96,1150000.0,,RPWNNLOLKHMFFBH88CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-09F,24.29,住,,,1050403.0,土地2建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3.0,2.0,2.0,有,無,7600000.0,46959.0,坡道平面,36.07,1300000.0,,RPXNNLOLKHMFFBH98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-11F,24.29,住,,,1050626.0,土地2建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3.0,2.0,2.0,有,無,7500000.0,46213.0,坡道平面,36.07,1300000.0,,RPOONLOLKHMFFBH18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-12F,24.29,住,,,1051112.0,土地2建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.31,3.0,2.0,2.0,有,無,7450000.0,46558.0,坡道平面,36.07,1200000.0,,RPQONLOLKHMFFBH38CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-13F,24.29,住,,,1050813.0,土地2建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.2,3.0,2.0,2.0,有,無,7530000.0,47527.0,坡道平面,33.96,1150000.0,,RPRONLOLKHMFFBH48CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-14F,24.29,住,,,1050911.0,土地2建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.31,3.0,2.0,2.0,有,無,7580000.0,46782.0,坡道平面,36.07,1300000.0,,RPSONLOLKHMFFBH58CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 C1-15F,24.29,住,,,1050924.0,土地2建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.31,3.0,2.0,2.0,有,無,7500000.0,46186.0,坡道平面,36.07,1300000.0,,RPTONLOLKHMFFBH68CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-02F,24.29,住,,,1050702.0,土地2建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.88,3.0,2.0,2.0,有,無,6950000.0,43635.0,坡道平面,33.96,1150000.0,,RPWOMLSJLHMFFBH56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-03F,24.29,住,,,1050521.0,土地2建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.88,3.0,2.0,2.0,有,無,7750000.0,48902.0,坡道平面,33.96,1250000.0,,RPXOMLSJLHMFFBH66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-04F,24.29,住,,,1050624.0,土地2建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7060000.0,43711.0,坡道平面,36.07,1250000.0,,RPOPMLSJLHMFFBH48CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-05F,24.29,住,,,1050528.0,土地2建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7020000.0,43410.0,坡道平面,36.07,1250000.0,,RPPPMLSJLHMFFBH58CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-06F,24.29,住,,,1050402.0,土地2建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7450000.0,46268.0,坡道平面,36.07,1300000.0,,RPQPMLSJLHMFFBH68CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-07F,24.29,住,,,1050423.0,土地2建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7250000.0,44764.0,坡道平面,36.07,1300000.0,,RPRPMLSJLHMFFBH78CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-08F,24.29,住,,,1050507.0,土地2建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7350000.0,45516.0,坡道平面,36.07,1300000.0,,RPSPMLSJLHMFFBH88CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-09F,24.29,住,,,1050521.0,土地2建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7300000.0,45140.0,坡道平面,36.07,1300000.0,,RPTPMLSJLHMFFBH98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-10F,24.29,住,,,1050326.0,土地2建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7400000.0,45892.0,坡道平面,36.07,1300000.0,,RPUPMLSJLHMFFBH09CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路與龍安五街交叉口 A1-11F,24.29,住,,,1050604.0,土地2建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3.0,2.0,2.0,有,無,7280000.0,45366.0,坡道平面,36.07,1250000.0,,RPVPMLSJLHMFFBH56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
