鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號3樓之3A1-03F,11.22,商,,,1021013,土地1建物1車位1,三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.81,3,2,2,有,無,10140000,78900,坡道平面,29.7,900000,,RPTNMLOJJHMFFBJ38CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號五樓之3A1-05F,12.19,商,,,1030613,土地1建物1車位1,五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.06,3,2,2,有,無,11070000,80399,坡道平面,29.7,750000,,RPTOMLOJJHMFFBJ48CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號七樓之3A1-07F,12.19,商,,,1021110,土地1建物1車位1,七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.06,3,2,2,有,無,11190000,78607,坡道平面,29.7,1100000,,RPVOMLOJJHMFFBJ68CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號九樓之3A1-09F,12.19,商,,,1030629,土地1建物1車位1,九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.06,3,2,2,有,無,10850000,76737,坡道平面,29.7,1000000,,RPXOMLOJJHMFFBJ88CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號十樓之3A1-10F,12.19,商,,,1030313,土地1建物1車位1,十層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.06,3,2,2,有,無,10840000,77049,坡道平面,29.7,950000,,RPPPMLOJJHMFFBJ18CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號十一樓之3A1-11F,13.94,商,,,1030901,土地1建物1車位2,十一層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.76,3,2,2,有,無,12000000,75958,坡道平面,59.4,2250000,,RPSPMLOJJHMFFBJ48CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號十二樓之3A1-12F,13.94,商,,,1030614,土地1建物1車位2,十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.76,3,2,2,有,無,11450000,74400,坡道平面,59.4,1900000,,RPUPMLOJJHMFFBJ68CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號十三樓之3A1-13F,12.19,商,,,1030614,土地1建物1車位1,十三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.06,3,2,2,有,無,10830000,77750,坡道平面,29.7,850000,,RPVPMLOJJHMFFBJ78CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號十四樓之3A1-14F,12.19,商,,,1020927,土地1建物1車位1,十四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.06,3,2,2,有,無,10960000,80321,坡道平面,29.7,650000,,RPWPMLOJJHMFFBJ88CB,106_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市北興里14鄰勝利八街一段227號十五樓之3A1-15F,12.19,商,,,1020927,土地1建物1車位1,十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.06,3,2,2,有,無,11070000,81178,坡道平面,29.7,650000,,RPXPMLOJJHMFFBJ98CB,106_01
