鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
南投市,房地(土地+建物),南投縣南投市南陽路343之5號五樓,16.72,住,,,1050930,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840216.0,135.07999999999998,3,2,2,有,有,3500000,25911.0,,0.0,0,,RPUNMLNJJILFFAM48CA,90.59,1.45,16.18,,,106_01
中寮鄉,土地,福山段251地號,1380.0,,山坡地保育區,農牧用地,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,549240,398.0,,0.0,0,,RPPNMLOJJILFFAM08CA,0.0,0.0,0.0,,,106_01
中寮鄉,土地,福山段254地號,2640.0,,山坡地保育區,農牧用地,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050800,398.0,,0.0,0,,RPSNMLNJJILFFAM28CA,0.0,0.0,0.0,,,106_01
南投市,房地(土地+建物),南投縣南投市振興巷４７弄８０之１號,172.0,住,,,1051005,土地2建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土造,900423.0,70.79,2,2,2,有,無,3000000,42379.0,,0.0,0,,RPRNMLKKJILFFAM97CA,70.79,0.0,0.0,,,106_01
南投市,土地,嘉和段196地號,400.0,住,,,1050830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16450000,41125.0,,0.0,0,,RPVNMLPKJILFFAM88CA,0.0,0.0,0.0,,,106_01
名間鄉,房地(土地+建物),南投縣名間鄉彰南路４０７之１１號,136.23,,鄉村區,乙種建築用地,1051009,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,690201.0,97.52,5,1,3,有,無,3000000,30763.0,,0.0,0,,RPWNMLPKJILFFAM98CA,97.52,0.0,0.0,,,106_01
名間鄉,房地(土地+建物),南投縣名間鄉彰南路５７０巷１５號,110.93,,鄉村區,乙種建築用地,1051019,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050620.0,184.69,5,2,3,有,有,8000000,43316.0,,0.0,0,,RPPOMLQKJILFFAM48CA,168.41,0.0,16.28,,,106_01
名間鄉,房地(土地+建物),南投縣名間鄉彰南路５７０巷８號,89.12,,鄉村區,乙種建築用地,1051019,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050620.0,194.25,5,2,4,有,有,6900000,35521.0,,0.0,0,,RPQOMLQKJILFFAM58CA,177.18,0.0,17.07,,,106_01
草屯鎮,房地(土地+建物),南投縣草屯鎮新富一街123號,217.01,住,,,1050909,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1030616.0,424.86,5,2,5,有,無,38000000,89441.0,,0.0,0,,RPSNMLQKJILFFBM78CA,364.55,0.0,60.31,,,106_01
草屯鎮,土地,新光段2179地號,2221.0,,特定農業區,農牧用地,1050820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21000000,9455.0,,0.0,0,含增建或未登記建物。,RPUNMLPLJILFFBM98CA,0.0,0.0,0.0,,,106_01
