鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
莿桐鄉,土地,樹子腳段2026地號,4206.0,,特定農業區,農牧用地,1050902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9240000,2197.0,,0.0,0,,RPVNMLLJJILFFAP68CA,0.0,0.0,0.0,,,106_01
斗六市,土地,光明段297-1地號,100.0,,工業區,丁種建築用地,1051021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2750000,27500.0,,0.0,0,,RPRNMLMJJILFFAP38CA,0.0,0.0,0.0,,,106_01
斗六市,房地(土地+建物),雲林縣斗六市部子２８之２號,135.48,,鄉村區,乙種建築用地,1050911,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050418.0,216.67,4,3,5,有,無,6500000,30000.0,,0.0,0,,RPPOMLRJJILFFAP78CA,207.03,0.0,9.64,,,106_01
斗南鎮,房地(土地+建物),雲林縣斗南鎮新生一路２１號八樓之九,9.49,住,,,1051019,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890529.0,63.79,2,1,1,有,有,1600000,25082.0,,0.0,0,,RPRNMLNJJILFFBP58CA,42.24,0.0,1.97,,,106_01
斗南鎮,房地(土地+建物),雲林縣斗南鎮信義路２５巷２２弄１８號,114.24,工,,,1051015,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1001011.0,197.06,5,2,4,有,無,6800000,34507.0,,0.0,0,1.含增建或未登記建物。2.包含現況傢俱、家電用品等。3.權利人共二人。,RPTNMLKKJILFFBP58CA,182.9,1.32,12.84,,,106_01
崙背鄉,土地,東興段279地號,2026.24,,特定農業區,農牧用地,1051018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7091840,3500.0,,0.0,0,,RPRNMLMJJILFFCP58CA,0.0,0.0,0.0,,,106_01
崙背鄉,土地,南榮段401-35地號,157.84,住,,,1050923,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,34845.0,,0.0,0,交易含未登記建物,RPUNMLMJJILFFCP88CA,0.0,0.0,0.0,,,106_01
崙背鄉,土地,大豐段196地號,3346.0,,特定農業區,農牧用地,1051017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2342200,700.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLMJJILFFCP09CA,0.0,0.0,0.0,,,106_01
崙背鄉,土地,中勸段1096地號,81.48,住,,,1050823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,739431,9075.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLMJJILFFCP38CA,0.0,0.0,0.0,,,106_01
西螺鎮,房地(土地+建物),雲林縣西螺鎮詔安路２６之３０號,76.8,住,,,1051018,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,810403.0,151.33,5,2,3,有,無,3000000,19824.0,,0.0,0,,RPQNMLKKJILFFCP38CA,151.33,0.0,0.0,,,106_01
西螺鎮,土地,三塊厝段三塊厝小段674-7地號,90.0,,鄉村區,乙種建築用地,1051017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,10000.0,,0.0,0,,RPQNMLOKJILFFCP78CA,0.0,0.0,0.0,,,106_01
崙背鄉,土地,舊庄段668地號,2050.0,,特定農業區,農牧用地,1051011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,634.0,,0.0,0,,RPQNMLTJJILFFCP56CA,0.0,0.0,0.0,,,106_01
虎尾鎮,土地,立仁段488-11地號,28.88,住,,,1050922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1155200,40000.0,,0.0,0,,RPRNMLMJJILFFDP68CA,0.0,0.0,0.0,,,106_01
虎尾鎮,土地,安慶段742地號,878.52,,特定農業區,農牧用地,1051008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,2960.0,,0.0,0,,RPQNMLNJJILFFDP68CA,0.0,0.0,0.0,,,106_01
虎尾鎮,土地,立仁段488-5地號,37.44,住,,,1050927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1497600,40000.0,,0.0,0,,RPSNMLRJJILFFDP66CA,0.0,0.0,0.0,,,106_01
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮林森路二段４３６巷１０３號,132.07,住,,,1051006,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,910301.0,199.43,5,1,3,有,無,6800000,34097.0,,0.0,0,,RPTNMLRJJILFFDP76CA,182.73,16.7,0.0,,,106_01
虎尾鎮,土地,高北段259地號,703.13,其他,,,1050929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22200000,31573.0,,0.0,0,,RPXNMLSJJILFFDP27CA,0.0,0.0,0.0,,,106_01
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西一街５８號,102.89,住,,,1050906,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050819.0,192.4,4,3,3,有,無,6600000,34304.0,,0.0,0,,RPVNMLPKJILFFDP86CA,183.62,0.0,8.78,,,106_01
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西一街５８－１號,121.3,住,,,1050906,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050819.0,197.58,4,3,3,有,無,5900000,29861.0,,0.0,0,,RPWNMLPKJILFFDP96CA,188.8,0.0,8.78,,,106_01
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西一街５８－２號,121.3,住,,,1050906,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050819.0,197.58,4,3,3,有,無,5600000,28343.0,,0.0,0,,RPXNMLPKJILFFDP07CA,188.8,0.0,8.78,,,106_01
