鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮慶安段1290之11.1291之12地號等2筆B2,106.76,住,Unnamed: 5,Unnamed: 6,1060829,土地2建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,148.15,3,2.1,3.1,有,無,6500000,43874,Unnamed: 23,0.0,0,Unnamed: 26,RPQOMLRLJIMFFAG58EB,青沐境,Unnamed: 29,來源資料夾
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之12號,123.07,住,,,1041223.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8380000.0,45054.0,,0.0,0.0,,RPTNMLNLKHMFFAG28DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之12號,119.91,住,,,1041213.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8200000.0,44086.0,,0.0,0.0,,RPUNMLNLKHMFFAG38DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之9號,113.55,住,,,1051118.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8100000.0,43548.0,,0.0,0.0,,RPOPMLNLKHMFFAG97DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之8號,95.11,住,,,1040901.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,158.66,4.0,3.0,4.0,有,無,6980000.0,43993.0,,0.0,0.0,,RPPPMLNLKHMFFAG08DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之6號,113.44,住,,,1050307.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8200000.0,44086.0,,0.0,0.0,,RPRPMLNLKHMFFAG28DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之5號,113.45,住,,,1050806.0,土地1建物1車位0,全,3.0,透天厝,,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8200000.0,44086.0,,0.0,0.0,,RPSPMLNLKHMFFAG38DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之3號,113.45,住,,,1050222.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8300000.0,44624.0,,0.0,0.0,,RPTPMLNLKHMFFAG48DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉17之10號,116.72,住,,,1051217.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8200000.0,44086.0,,0.0,0.0,,RPVOMLOLKHMFFAG68DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之7號,103.87,住,,,1040225.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,171.78,4.0,3.0,4.0,有,無,7300000.0,42496.0,,0.0,0.0,,RPWOMLOLKHMFFAG78DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之2號,123.83,住,,,1050922.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.0,4.0,3.0,4.0,有,無,8200000.0,44086.0,,0.0,0.0,,RPXOMLOLKHMFFAG88DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉村月眉街17之1號,134.77,住,,,1040304.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,199.95,4.0,3.0,4.0,有,無,8880000.0,44411.0,,0.0,0.0,,RPOPMLOLKHMFFAG08DB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康路50號1樓之7對面A8-6F,10.07,其他,,,1040603.0,土地1建物1車位0,六層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0.0,0.0,0.0,無,無,9000000.0,125927.0,,0.0,0.0,,RPOPMLOKLHMFFBG08CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康路50號1樓之7對面A8-8F,10.07,其他,,,1040411.0,土地1建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0.0,0.0,0.0,無,無,9580000.0,134042.0,,0.0,0.0,,RPPPMLOKLHMFFBG18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康路50號1樓之7對面A9-8F,9.01,其他,,,1040402.0,土地1建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,56.88,0.0,0.0,0.0,無,無,7640000.0,134318.0,,0.0,0.0,,RPQPMLOKLHMFFBG28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
