鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
台東市,房地(土地+建物),臺東縣臺東市長沙街４１巷３０．３２．３４號,193.0,住,,,1051001,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,620404.0,100.8,3,2,1,有,無,3280000,32540.0,,0.0,0,,RPSNMLLJJILFFAV98CA,100.8,0.0,0.0,,,106_01
台東市,土地,新生段547地號,50.0,住,,,1051017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3628800,72576.0,,0.0,0,,RPTNMLLJJILFFAV09CA,0.0,0.0,0.0,,,106_01
台東市,土地,東農段79地號,451.2,農,,,1051023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2660.0,,0.0,0,,RPSNMLMJJILFFAV09CA,0.0,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市正氣北路１５２號,100.0,住,,,1050924,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,670929.0,121.22,6,2,6,有,無,12550000,103531.0,,0.0,0,,RPTNMLMJJILFFAV56CA,121.22,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市中興路三段２７５巷４６弄１５號,130.28,住,,,1051020,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050617.0,243.89,5,2,6,有,無,9000000,36902.0,,0.0,0,,RPQNMLNJJILFFAV98CA,225.9,17.99,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市東海里長沙街170巷7弄2號一樓,52.96,住,,,1050926,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,821203.0,113.76,4,1,2,有,有,4500000,39557.0,,0.0,0,,RPSNMLSJJILFFAV07CA,87.15,0.0,12.6,,,106_01
台東市,房地(土地+建物),臺東縣臺東市康樂里康樂路131巷5弄5號2樓,23.41,住,,,1051005,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,840601.0,93.12,3,2,2,有,無,2500000,26847.0,,0.0,0,,RPQNMLSJJILFFAV86CA,63.7,10.26,0.0,,,106_01
台東市,土地,台東段16-9地號,84.0,住,,,1041028,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,714000,8500.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLKMJILFFAV98CA,0.0,0.0,0.0,,,106_01
成功鎮,土地,玉港段212地號,780.33,,風景區,農牧用地,1051025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,433000,555.0,,0.0,0,,RPRNMLRJJILFFBV96CA,0.0,0.0,0.0,,,106_01
池上鄉,土地,福原段121地號,233.4,商,,,1051021,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8472000,36298.0,,0.0,0,含未登記建物一棟,RPPNMLPJJILFFCV66CA,0.0,0.0,0.0,,,106_01
卑南鄉,土地,利吉段557地號,347.23,,山坡地保育區,農牧用地,1050802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,216680,624.0,,0.0,0,向政府機關承購之案件。,RPQOMLKMJILFFAV56DA,0.0,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市正氣路124號二樓之4,13.41,住,,,1051011,土地1建物1車位0,二層,二層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,751007.0,36.61,1,0,1,有,無,500000,13657.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLNJJILFFAV17DA,33.75,0.0,2.86,,,106_01
太麻里鄉,房地(土地+建物)+車位,臺東縣卑南鄉溫泉村20鄰龍泉路６３號,4557.24,其他,,,1051014,土地9建物1車位0,一層，二層,二層,其他,見其他登記事項,見其他登記事項,1020604.0,2154.11,41,1,41,有,無,291273000,135217.0,其他,0.0,0,親友、員工或其他特殊關係間之交易。本案建物內設置法定停車位8格、自行增設停車位27格及其他停車位5格，共計40格停車位，停車位交易總價併入建物交易總價無法拆分，停車位無獨立權狀。,RPRNMLTLJILFFDV57CA,2062.65,91.46,0.0,,,106_01
池上鄉,土地,福原段27-1地號,63.81,商,,,1051019,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1351000,21172.0,,0.0,0,,RPQNMLPJJILFFCV76CA,0.0,0.0,0.0,,,106_01
成功鎮,土地,成功段141地號,313.56,住,,,1051024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,9568.0,,0.0,0,,RPPNMLRJJILFFBV76CA,0.0,0.0,0.0,,,106_01
關山鎮,土地,豐泉段610地號,606.81,住,,,1051013,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14584558,24035.0,,0.0,0,,RPPNMLOJJILFFCV66DA,0.0,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市豐榮路１４５巷４８弄７號,105.3,住,,,1051019,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,730718.0,110.49,3,2,2,有,無,5100000,46158.0,,0.0,0,,RPPNMLKKJILFFAV68CA,0.0,0.0,0.0,,,106_01
台東市,土地,建和段1451-1地號,22.42,住,,,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,8921.0,,0.0,0,畸零地或有合併使用之交易。,RPPNMLRJJILFFAV66CA,0.0,0.0,0.0,,,106_01
台東市,土地,建和段1447-2地號,8.55,住,,,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78000,9123.0,,0.0,0,畸零地或有合併使用之交易。,RPQNMLRJJILFFAV76CA,0.0,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市成功里平等街23巷14號,32.0,住,,,1051020,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,65.58,2,2,1,有,無,1700000,25923.0,,0.0,0,,RPWNMLNJJILFFAV96CA,65.58,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市博愛路６６巷１０號,92.0,住,,,1051025,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,810618.0,119.16,2,1,2,有,無,3700000,31051.0,,0.0,0,,RPPNMLOJJILFFAV98CA,119.16,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市新生里中興路一段252巷27號五樓,21.38,住,,,1051006,土地2建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,830517.0,96.58,3,2,2,有,有,3400000,35204.0,,0.0,0,,RPSNMLOJJILFFAV66CA,62.11,0.0,7.45,,,106_01
台東市,土地,建興段745地號,2741.0,,一般農業區,農牧用地,1051025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,474.0,,0.0,0,受債權債務影響或債務抵償之交易。,RPSNMLRJJILFFAV96CA,0.0,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市衡陽路８５號,131.66,住,,,1051005,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050419.0,229.95,5,2,5,有,無,11500000,50011.0,,0.0,0,,RPPNMLSJJILFFAV76CA,211.51,18.44,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市中興路四段６１０號,465.61,住,,,1050920,土地3建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住商用,見其他登記事項,640701.0,213.3,4,2,2,有,無,13100000,61416.0,,0.0,0,,RPTNMLSJJILFFAV17CA,213.3,0.0,0.0,,,106_01
台東市,房地(土地+建物),臺東縣臺東市仁五街５９號一樓,6.88,住,,,1051024,土地1建物1車位0,一層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,821019.0,37.85,1,1,1,有,無,1300000,34346.0,,0.0,0,,RPXNMLOKJILFFAV27CA,22.95,0.0,4.47,,,106_01
