鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,新竹市,房地(土地+建物)+車位,新竹市新竹市東區介壽路19號旁-A6-2F,19.5,住,Unnamed: 5,Unnamed: 6,1060601,土地13建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,156.19,3,2,2.1,有,無,13110000,98844,坡道平面,37.72,1400000,Unnamed: 26,RPQNMLSLKIMFFAO66CB,國泰禾,Unnamed: 29,來源資料夾
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟11樓,21.63,其他,,,1051222.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.97,3.0,2.0,2.0,有,無,8120000.0,58968.0,坡道平面,26.77,1150000.0,,RPVVMLRJLHMFFAO67CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟14樓,21.68,其他,,,1051227.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,7840000.0,57445.0,坡道平面,27.43,1050000.0,,RPWVMLRJLHMFFAO77CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟13樓,21.68,其他,,,1051222.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,7990000.0,58714.0,坡道平面,27.43,1050000.0,,RPXVMLRJLHMFFAO87CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟12樓,21.68,其他,,,1051226.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,8060000.0,59306.0,坡道平面,27.43,1050000.0,,RPPWMLRJLHMFFAO17CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口M棟8樓,21.09,其他,,,1051221.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.74,3.0,2.0,2.0,有,無,7960000.0,60101.0,坡道平面,27.43,1150000.0,,RPTWMLRJLHMFFAO57CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟8樓,21.68,其他,,,1051223.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,8210000.0,59729.0,坡道平面,27.43,1150000.0,,RPUWMLRJLHMFFAO67CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟6樓,21.68,其他,,,1051222.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,8040000.0,59137.0,坡道平面,27.43,1050000.0,,RPVWMLRJLHMFFAO77CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟9樓,21.68,其他,,,1051223.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,8240000.0,59983.0,坡道平面,27.43,1150000.0,,RPWWMLRJLHMFFAO87CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟2樓,21.68,其他,,,1051221.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,7510000.0,55499.0,坡道平面,27.43,950000.0,,RPXWMLRJLHMFFAO97CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟14樓,22.47,其他,,,1051226.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9140000.0,66311.0,坡道平面,27.43,1050000.0,,RPONNLRJLHMFFAO88CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟3樓,21.68,其他,,,1051222.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,8000000.0,57107.0,坡道平面,27.43,1250000.0,,RPPNNLRJLHMFFAO98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟4樓,21.68,其他,,,1051221.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,7730000.0,56514.0,坡道平面,27.43,1050000.0,,RPQNNLRJLHMFFAO09CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟7樓,21.68,其他,,,1051222.0,土地1建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,8170000.0,59391.0,坡道平面,27.43,1150000.0,,RPRNNLRJLHMFFAO56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟10樓,21.68,其他,,,1051223.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,8280000.0,60321.0,坡道平面,27.43,1150000.0,,RPSNNLRJLHMFFAO66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口H棟5樓,21.68,其他,,,1051226.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.63,3.0,2.0,2.0,有,無,7950000.0,58376.0,坡道平面,27.43,1050000.0,,RPTNNLRJLHMFFAO76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟9樓,22.47,其他,,,1051227.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9650000.0,68852.0,坡道平面,27.43,1250000.0,,RPUNNLRJLHMFFAO86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟13樓,22.47,其他,,,1060103.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9270000.0,66557.0,坡道平面,27.43,1150000.0,,RPVNNLRJLHMFFAO96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟12樓,22.47,其他,,,1051226.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9280000.0,67459.0,坡道平面,27.43,1050000.0,,RPWNNLRJLHMFFAO07CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟5樓,22.47,其他,,,1060103.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9380000.0,67459.0,坡道平面,27.43,1150000.0,,RPOONLRJLHMFFAO98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟11樓,22.47,其他,,,1051222.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9430000.0,67869.0,坡道平面,27.43,1150000.0,,RPPONLRJLHMFFAO09CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟8樓,22.47,其他,,,1060102.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9610000.0,68525.0,坡道平面,27.43,1250000.0,,RPQONLRJLHMFFAO56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟4樓,22.47,其他,,,1060118.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9200000.0,65984.0,坡道平面,27.43,1150000.0,,RPRONLRJLHMFFAO66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟6樓,22.47,其他,,,1051227.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9440000.0,67951.0,坡道平面,27.43,1150000.0,,RPSONLRJLHMFFAO76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
