鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
馬公市,土地,山水北段668-1地號,3.8,,鄉村區,交通用地,1051028,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21530,5666.0,,0.0,0,山水30高地聯外道路拓寬工程協議價購農牧用地3700元/M2、建築用地10200元/M2,RPSNMLMJJILFFAX66CA,0.0,0.0,0.0,,,106_01
望安鄉,土地,望安段323地號,533.0,,一般農業區,農牧用地,1051006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,938.0,,0.0,0,交易總價含代繳土地增值稅過戶相關費用,RPTNMLLKJILFFAX76CA,0.0,0.0,0.0,,,106_01
馬公市,土地,興仁段836地號,1878.55,,一般農業區,農牧用地,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21830000,11621.0,,0.0,0,,RPPNMLRLJILFFAX17DA,0.0,0.0,0.0,,,106_01
西嶼鄉,土地,內垵三段1553地號,289.06,,一般農業區,農牧用地,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660000,2283.0,,0.0,0,,RPPNMLTJJILFFAX07CA,0.0,0.0,0.0,,,106_01
馬公市,土地,東澳段870-1地號,196.62,住,,,1051018,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14060000,71508.0,,0.0,0,含興建房屋價款,RPQNMLTJJILFFAX17CA,0.0,0.0,0.0,,,106_01
馬公市,土地,五福段561地號,279.01,,一般農業區,農牧用地,1051025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5980000,21433.0,,0.0,0,,RPVNMLTJJILFFAX67CA,0.0,0.0,0.0,,,106_01
馬公市,土地,東澳段708-1地號,8.76,其他,,,1051028,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660000,75342.0,,0.0,0,畸零地或有合併使用之交易。,RPQNMLOKJILFFAX76CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,成功南段735地號,379.11,,一般農業區,農牧用地,1051027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,742000,1957.0,,0.0,0,,RPPNMLQJJILFFAX76CA,0.0,0.0,0.0,,,106_01
馬公市,土地,山水北段201地號,664.64,,一般農業區,農牧用地,1051028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6140000,9238.0,,0.0,0,,RPQNMLQJJILFFAX86CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,東石新段140地號,1.26,,一般農業區,交通用地,1051004,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4802,3811.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPPNMLLKJILFFAX98CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市東衛８６之２８號,367.7,,一般農業區,甲種建築用地,1051015,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041005.0,306.14,4,1,4,有,無,8920000,29137.0,,0.0,0,,RPQNMLPLJILFFAX96CA,298.15,7.99,0.0,,,106_01
馬公市,土地,六合段432地號,609.55,,一般農業區,農牧用地,1051020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15857500,26015.0,,0.0,0,,RPQNMLRLJILFFAX27DA,0.0,0.0,0.0,,,106_01
西嶼鄉,土地,竹灣段1428地號,78.06,,鄉村區,乙種建築用地,1051025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,188893,2420.0,,0.0,0,,RPTNMLSJJILFFAX57EA,0.0,0.0,0.0,,,106_01
馬公市,土地,五福段427地號,35.21,,一般農業區,農牧用地,1051011,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,5680.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLRJJILFFAX07DA,0.0,0.0,0.0,,,106_01
西嶼鄉,土地,小池角段879地號,536.0,,一般農業區,農牧用地,1051027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5400000,10075.0,,0.0,0,,RPRNMLPLJILFFAX07CA,0.0,0.0,0.0,,,106_01
西嶼鄉,土地,小池角段882地號,220.0,,一般農業區,農牧用地,1051027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,5909.0,,0.0,0,,SPRNMLPLJILFFAX17CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,湖西北段514-1地號,184.48,,鄉村區,乙種建築用地,1051021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1320000,7155.0,,0.0,0,,RPWNMLSKJILFFAX77CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,鼎灣新段730-1地號,15.12,,一般農業區,農牧用地,1051102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57475,3801.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPQNMLLKJILFFAX09CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,鼎灣新段730-1地號,15.12,,一般農業區,農牧用地,1051102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57475,3801.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPRNMLLKJILFFAX56CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,鼎灣新段674-1地號,5.6,,一般農業區,交通用地,1051103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21269,3798.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPSNMLLKJILFFAX66CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港193號,78.1,住,,,1051017,土地1建物1車位0,全,二層,透天厝,國民住宅,鋼筋混凝土加強磚造,700216.0,78.98,4,1,1,有,無,500000,6331.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLKKJILFFAX98DA,78.98,0.0,0.0,,,106_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市三多路４９號二樓,24.99,住,,,1051027,土地2建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850215.0,169.05,3,1,2,有,無,4600000,27211.0,一樓平面,0.0,0,,RPVNMLKLOHOFFAX67CA,94.89,13.55,0.0,,,106_01
馬公市,土地,興崁段1182地號,271.54,,一般農業區,甲種建築用地,1051028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3660000,13479.0,,0.0,0,,RPRNMLLLOHOFFAX37CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市民裕街36巷15號4樓,49.3,住,,,1051022,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,840119.0,110.5,3,2,2,有,無,3650000,33032.0,,0.0,0,,RPRNMLQKJILFFAX17DA,87.31,10.9,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市五福路138巷23之7號,242.4,,一般農業區,甲種建築用地,1051028,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050603.0,337.31,6,2,7,有,無,13200000,39133.0,,0.0,0,,RPTNMLQKJILFFAX37DA,317.93,19.38,0.0,,,106_01
馬公市,土地,北極段934-8地號,145.49,住,,,1051013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1710000,11753.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLOKJILFFAX66CA,0.0,0.0,0.0,,,106_01
白沙鄉,土地,講美段68地號,1397.1,,風景區,農牧用地,1051012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,940000,673.0,,0.0,0,,RPUNMLSKJILFFAX57CA,0.0,0.0,0.0,,,106_01
白沙鄉,房地(土地+建物),澎湖縣白沙鄉大赤崁３６５之８號,61.38,,鄉村區,乙種建築用地,1051022,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,760209.0,129.99,3,1,3,有,無,1100000,8462.0,,0.0,0,,RPTNMLSLJILFFAX57CA,129.99,0.0,0.0,,,106_01
馬公市,土地,中山段572地號,310.05,住,,,1050929,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11250000,36284.0,,0.0,0,,RPQNMLTLJILFFAX37CA,0.0,0.0,0.0,,,106_01
馬公市,土地,雙湖段834地號,554.7,,一般農業區,農牧用地,1051103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,7211.0,,0.0,0,,RPSNMLRLJILFFAX37CA,0.0,0.0,0.0,,,106_01
馬公市,土地,五福段964地號,75.66,,鄉村區,乙種建築用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,916070,12108.0,,0.0,0,,RPQOMLPLJILFFAX07CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,青螺新段1104地號,386.1,,鄉村區,乙種建築用地,1051104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,5439.0,,0.0,0,,RPVNMLSKJILFFAX67CA,0.0,0.0,0.0,,,106_01
白沙鄉,土地,後寮段1403地號,2616.0,,一般農業區,農牧用地,1051101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12800000,4893.0,,0.0,0,,RPQNMLRKJILFFAX07CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,南寮北段1551地號,711.03,,一般農業區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,860000,1210.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLOKJILFFAX86CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,龍門南段361地號,563.76,,一般農業區,農牧用地,1051103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,3725.0,,0.0,0,,RPSNMLOKJILFFAX96CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市永興街３號,74.0,商,,,1051014,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,581220.0,230.89,5,1,4,有,無,12000000,51973.0,,0.0,0,,RPPNMLQKJILFFAX86CA,230.89,0.0,0.0,,,106_01
湖西鄉,土地,沙港北段563地號,638.59,,一般農業區,農牧用地,1051019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5486000,8591.0,,0.0,0,交通用地未計價共有人2人,RPPNMLSKJILFFAX17DA,0.0,0.0,0.0,,,106_01
西嶼鄉,土地,小池角段4207地號,708.0,,一般農業區,農牧用地,1051109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,367.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLSKJILFFAX47DA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市西文澳92-63號,158.52,農,,,1051107,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,860527.0,259.54,6,2,5,有,無,10200000,39300.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLQKJILFFAX27DA,241.82,17.72,0.0,,,106_01
馬公市,土地,東澳段705-1地號,0.49,其他,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000,0.0,,0.0,0,包含公共設施保留地之交易。,RPUNMLQKJILFFAX37CA,0.0,0.0,0.0,,,106_01
馬公市,土地,山水北段664-1地號,5.3,,鄉村區,交通用地,1051114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19601,3698.0,,0.0,0,山水30高地聯外道路拓寬工程協議價購交通用地3700元/M2,RPPNMLRKJILFFAX96CA,0.0,0.0,0.0,,,106_01
馬公市,土地,五福段964地號,75.67,,鄉村區,乙種建築用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,916190,12108.0,,0.0,0,,RPROMLPLJILFFAX17CA,0.0,0.0,0.0,,,106_01
馬公市,土地,馬公段2088地號,32.78,住,,,1051027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2772000,84564.0,,0.0,0,,RPRNMLRLJILFFAX27CA,0.0,0.0,0.0,,,106_01
西嶼鄉,土地,外垵一段440地號,129.6,,鄉村區,乙種建築用地,1051102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,336968,2600.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLLJKILFFAX66CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市貿商街１２１號六樓之五,26.48,住,,,1051101,土地2建物1車位1,六層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,950710.0,162.8,3,1,2,有,有,2883651,17713.0,坡道平面,0.0,0,向政府機關承購之案件。,RPTNMLPJKILFFAX17CA,88.74,0.0,10.18,,,106_01
西嶼鄉,土地,二崁南段1217地號,505.44,,風景區,農牧用地,1051025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,856184,1694.0,,0.0,0,,RPSNMLQJKILFFAX17CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市文學路347號,94.0,住,,,1050801,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,700914.0,97.6,3,2,2,有,無,4500000,46107.0,,0.0,0,,RPQNMLSLJILFFAX27CA,97.6,0.0,0.0,,,106_01
白沙鄉,土地,講美段455地號,138.9,,鄉村區,乙種建築用地,1051108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,420100,3024.0,,0.0,0,,RPQNMLMJKILFFAX56CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市三多路１４６巷２７號,39.52,住,,,1051025,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強空心磚造,640617.0,55.44,4,2,3,有,無,3980000,71789.0,,0.0,0,,RPPNMLPLJILFFAX86CA,55.44,0.0,0.0,,,106_01
馬公市,土地,烏崁新段1823地號,1115.59,,一般農業區,農牧用地,1051003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,1506.0,,0.0,0,,RPTNMLRLJILFFAX47CA,0.0,0.0,0.0,,,106_01
馬公市,土地,鎖港西段1001地號,443.75,,一般農業區,農牧用地,1051021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2146620,4837.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLPLJILFFAX47CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,成功北段195-1地號,61.86,,一般農業區,交通用地,1051114,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,235068,3800.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購交通用地3800/m2,RPTNMLSKJILFFAX47CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,紅羅段2504地號,194.78,,一般農業區,農牧用地,1051107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,2567.0,,0.0,0,債權債務關係土地經拍賣承受後以原承受價移轉給另一債權人.,RPUNMLLLJILFFAX96CA,0.0,0.0,0.0,,,106_01
馬公市,土地,山水北段935-1地號,7.65,,一般農業區,交通用地,1051114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28305,3700.0,,0.0,0,山水30高地聯外道路拓寬工程協議價購農牧用地3700元/M2,RPPNMLMLJILFFAX56CA,0.0,0.0,0.0,,,106_01
馬公市,土地,五德東段338地號,233.87,,一般農業區,農牧用地,1051107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,38483.0,,0.0,0,變更起造人，含未來興建房屋之價格,RPSNMLPLJILFFAX17CA,0.0,0.0,0.0,,,106_01
馬公市,土地,烏崁新段31地號,669.48,,一般農業區,農牧用地,1051108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2430000,3630.0,,0.0,0,,RPTNMLPLJILFFAX27CA,0.0,0.0,0.0,,,106_01
馬公市,土地,東澳段706地號,32.82,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1010000,30774.0,,0.0,0,,RPPNMLOLJILFFAX76CA,0.0,0.0,0.0,,,106_01
馬公市,建物,澎湖縣馬公市光武街３號、５號,0.0,,,,1051101,土地0建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強空心磚造,570705.0,40.16,6,2,4,有,無,38000,946.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLPKKILFFAX96CA,40.14,0.0,0.0,,,106_01
馬公市,土地,鐵線段490地號,1181.02,,一般農業區,農牧用地,1051103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10003000,8470.0,,0.0,0,,RPQNMLSKJILFFAX27DA,0.0,0.0,0.0,,,106_01
馬公市,土地,東衛段1107地號,205.65,,鄉村區,乙種建築用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3607600,17542.0,,0.0,0,,RPSNMLLLJILFFAX76CA,0.0,0.0,0.0,,,106_01
馬公市,土地,東衛段1111地號,122.32,,鄉村區,乙種建築用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2146000,17544.0,,0.0,0,,RPTNMLLLJILFFAX86CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市永平街３７號,112.0,住,,,1051020,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強空心磚造,600101.0,87.2,4,2,2,有,無,7800000,89450.0,,0.0,0,,RPPNMLLLJILFFAX09CA,87.2,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市五福路１６之４號,116.82,,鄉村區,乙種建築用地,1051111,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,800121.0,143.39,3,2,2,有,無,4000000,27896.0,,0.0,0,,RPXNMLTLJILFFAX08CA,143.39,0.0,0.0,,,106_01
馬公市,土地,山水南段87地號,599.1,,一般農業區,農牧用地,1051104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,250.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLKMJILFFAX56CA,0.0,0.0,0.0,,,106_01
馬公市,土地,東澳段707地號,260.79,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10232000,39235.0,,0.0,0,,RPSOMLPLJILFFAX27CA,0.0,0.0,0.0,,,106_01
馬公市,土地,東澳段705地號,18.83,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,580000,30802.0,,0.0,0,,RPQNMLOLJILFFAX86CA,0.0,0.0,0.0,,,106_01
馬公市,房地(土地+建物),澎湖縣馬公市雞母塢１３０號,886.57,農,,,1051018,土地2建物1車位0,一層，二層，三層，四層，電梯樓梯間,四層,農舍,住家（農舍）,鋼筋混凝土造,990517.0,254.74,8,1,8,有,無,10000000,,,0.0,0,,RPQNMLMKKILFFAX66CA,254.74,0.0,0.0,,,106_01
湖西鄉,土地,鼎灣新段674-1地號,5.6,,一般農業區,交通用地,1051117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21269,3798.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPRNMLOLJILFFAX96CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,東石新段31-1地號,3.15,,一般農業區,農牧用地,1051118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11970,3800.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPSNMLOLJILFFAX07CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,南寮北段1130地號,905.5,,一般農業區,農牧用地,1051114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4656470,5142.0,,0.0,0,,RPUNMLPLJILFFAX37CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,鼎灣新段549地號,2.08,,一般農業區,農牧用地,1051019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7923,3809.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPQNMLMLJILFFAX66CA,0.0,0.0,0.0,,,106_01
湖西鄉,土地,鼎灣新段662-1地號,16.04,,一般農業區,農牧用地,1051019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60971,3801.0,,0.0,0,澎11號線（鼎灣-成功）道路拓寬工程協議價購3800/m2,RPRNMLMLJILFFAX76CA,0.0,0.0,0.0,,,106_01
馬公市,土地,東澳段707地號,27.74,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1072000,38645.0,,0.0,0,,RPVNMLOLJILFFAX37CA,0.0,0.0,0.0,,,106_01
七美鄉,土地,大嶼段4103地號,382.0,,一般農業區,農牧用地,1051114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,374360,980.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLOLJILFFAX47CA,0.0,0.0,0.0,,,106_01
湖西鄉,房地(土地+建物),澎湖縣湖西鄉湖西１４７之２號,81.22,,鄉村區,乙種建築用地,1051110,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,560505.0,111.67,5,1,3,有,無,3800000,34029.0,,0.0,0,,RPUNMLRLJILFFAX57CA,111.67,0.0,0.0,,,106_01
馬公市,土地,馬公段2666-56地號,97.0,商,,,1051102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9682200,99816.0,,0.0,0,,RPPNMLSLJILFFAX17CA,0.0,0.0,0.0,,,106_01
馬公市,土地,山水南段317-1地號,24.1,,一般農業區,水利用地,1051031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,367525,15250.0,,0.0,0,向政府機關承購之案件。,RPPNMLQJKILFFAX96DA,0.0,0.0,0.0,,,106_01
馬公市,土地,埕西段827地號,32.37,住,,,1051115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,69509.0,,0.0,0,向政府機關承購之案件。,RPPNMLNLJILFFAX86EA,0.0,0.0,0.0,,,106_01
