鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
林口區,房地(土地+建物)+車位,新北市林口區A1-5F,15.01,住,,,1040410,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.05,2,2,1,有,無,11360000,102142.0,坡道平面,28.07,1250000,,RPPSMLRLKHNFFBF78CB,長滎晶采,,107_02
林口區,房地(土地+建物)+車位,新北市林口區A2-4F,16.51,住,,,1040622,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.67,2,2,1,有,無,11500000,93522.0,坡道平面,28.07,1250000,,RPQSMLRLKHNFFBF88CB,長滎晶采,,107_02
林口區,房地(土地+建物)+車位,新北市林口區A3-3F,10.99,住,,,1040408,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.64,0,0,0,無,無,8300000,99901.0,坡道平面,28.07,1250000,,RPRSMLRLKHNFFBF98CB,長滎晶采,,107_02
林口區,房地(土地+建物)+車位,新北市林口區A3-4F,10.99,住,,,1040410,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.64,0,0,0,無,無,8450000,102026.0,坡道平面,28.07,1250000,,RPSSMLRLKHNFFBF09CB,長滎晶采,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路  一段  宏盛新世界２  Ａ５棟１３樓,21.05,住,,,1020806,土地1建物1車位1,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.69,3,2,2,有,無,13110000,101413.0,坡道平面,27.25,1200000,,RPTQMLPJLHNFFEF98CB,宏盛新世界二期,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷62號8樓A2-8F,16.47,住,,,1051004,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.78,3,2,2,有,無,9500000,68224.0,坡道平面,30.32,1350000,,RPQNMLQJLHNFFEF48CB,新潤峰采,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路  一段  宏盛新世界２  Ａ３棟８樓,20.87,住,,,1020630,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.64,3,2,2,有,無,12770000,76779.0,坡道平面,27.25,1300000,,RPUOMLQJLHNFFEF98CB,宏盛新世界二期,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路  一段  宏盛新世界２  Ａ１棟２樓,23.04,住,,,1020812,土地1建物1車位2,二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,213.57,3,2,2,有,無,16100000,83611.0,坡道平面,54.5,2800000,,RPVOMLQJLHNFFEF09CB,宏盛新世界二期,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路  一段  宏盛新世界２  Ａ１棟４樓,23.04,住,,,1020630,土地1建物1車位1,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,192.41,3,2,2,有,無,13400000,73868.0,坡道平面,27.25,1200000,,RPWOMLQJLHNFFEF56CB,宏盛新世界二期,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路  一段  宏盛新世界２  Ａ１棟５樓,22.86,住,,,1020630,土地1建物1車位1,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,202.75,3,2,2,有,無,13930000,72536.0,坡道平面,27.25,1200000,,RPXOMLQJLHNFFEF66CB,宏盛新世界二期,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路  一段  宏盛新世界２  Ａ１棟７樓,23.04,住,,,1020702,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.53,3,2,2,有,無,13500000,76861.0,坡道平面,23.5,1200000,,RPPPMLQJLHNFFEF58CB,宏盛新世界二期,,107_02
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路  一段  宏盛新世界２  Ａ１棟８樓,23.04,住,,,1020714,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,192.31,3,2,2,有,無,13740000,75972.0,坡道平面,27.25,1200000,,RPQPMLQJLHNFFEF68CB,宏盛新世界二期,,107_02
