鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
頭屋鄉,土地,外獅潭段894-1地號,8231.75,,山坡地保育區,農牧用地,1070507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4856728,590.0,,0.0,0,依登記簿謄本所載之原因發生日期填載。,RPPOMLTLNHNFFBK66CA,0.0,0.0,0.0,,,107_02
南庄鄉,土地,北獅里興段北獅里興小段8-8地號,19.0,,山坡地保育區,農牧用地,1070502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28000,1474.0,,0.0,0,向政府機關承購之案件。；,RPVNMLMKOHNFFFK96DA,0.0,0.0,0.0,,,107_02
苗栗市,土地,建功段143地號,5.24,住,,,1070403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210000,40076.0,,0.0,0,,RPRNMLRKMHNFFBK98CA,0.0,0.0,0.0,,,107_02
公館鄉,土地,大坑段718-4地號,38255.0,,山坡地保育區,林業用地,1070401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,52.0,,0.0,0,急買急賣。急買急賣。；,RPPNMLSKMHNFFBK88CA,0.0,0.0,0.0,,,107_02
頭份市,土地,永貞段1115-1地號,1119.39,住,,,1070402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44000000,39307.0,,0.0,0,,RPXNMLSKMHNFFFK47CA,0.0,0.0,0.0,,,107_02
頭份市,土地,永貞段636-1地號,23.52,住,,,1070409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1131080,48090.0,,0.0,0,國有地標售,RPUNMLRKNHNFFFK27DA,0.0,0.0,0.0,,,107_02
竹南鎮,土地,東平段78地號,6.57,商,,,1070402,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,695450,105852.0,,0.0,0,,RPPNMLTKMHNFFDK56CA,0.0,0.0,0.0,,,107_02
竹南鎮,車位,苗栗縣竹南鎮正南里２４鄰中正路２１７號,0.0,,,,1070403,土地0建物0車位3,,,其他,,,,81.03,0,0,0,有,有,1500000,,坡道平面,0.0,0,單獨車位交易。,RPQNMLSKMHNFFDK56CA,0.0,0.0,0.0,,,107_02
公館鄉,房地(土地+建物),苗栗縣公館鄉館中村５鄰大同路１２１號,122.36,住,,,1070409,土地1建物1車位0,全,,透天厝,住家用,鋼筋混凝土造,870218.0,365.27,6,3,4,有,無,13000000,35590.0,,0.0,0,,RPUNMLTKMHNFFBK86CA,341.65,0.0,23.62,,,107_02
苗栗市,土地,南勢坑段下南勢坑小段319地號,633.0,,山坡地保育區,農牧用地,1070408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1468000,2319.0,,0.0,0,,RPPNMLNLMHNFFBK48CA,0.0,0.0,0.0,,,107_02
竹南鎮,土地,西崎頂段483-1地號,3.56,,鄉村區,乙種建築用地,1070411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000,14045.0,,0.0,0,依登記簿謄本所載之原因發生日期填載。買方負擔土地增值稅＄7914元整。,RPPOMLSKMHNFFDK56CA,0.0,0.0,0.0,,,107_02
西湖鄉,土地,鴨母坑段1456地號,3173.0,,山坡地保育區,農牧用地,1070405,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,1198.0,,0.0,0,,RPQNMLKLMHNFFEK58CA,0.0,0.0,0.0,,,107_02
大湖鄉,土地,水尾坪段567地號,634.08,,鄉村區,乙種建築用地,1070403,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,4416.0,,0.0,0,,RPRNMLNLMHNFFAK58CA,0.0,0.0,0.0,,,107_02
公館鄉,土地,福基段1055地號,523.8,,特定農業區,農牧用地,1070411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2880900,5500.0,,0.0,0,,RPQNMLPLMHNFFBK78CA,0.0,0.0,0.0,,,107_02
頭份市,車位,苗栗縣頭份鎮民族里７鄰中華路９５１號地下一樓之一,0.0,,,,1070407,土地0建物0車位1,地下層,十三層,其他,商業用,鋼筋混凝土造,840331.0,18.24,0,0,0,有,無,750000,,坡道平面,0.0,0,,RPRNMLKLMHNFFFK78CA,0.0,0.0,0.0,,,107_02
頭份市,房地(土地+建物),苗栗縣頭份鎮民族里１１鄰東興路１２８號五樓,36.96,住,,,1070411,土地4建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050505.0,96.46,3,2,2,有,無,5500000,57018.0,,0.0,0,,RPVNMLOLMHNFFFK96CA,72.3,0.0,11.96,,,107_02
頭份市,房地(土地+建物)+車位,苗栗縣頭份鎮東庄里６鄰昌隆一街３４８號十三樓,21.41,住,,,1070406,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061115.0,126.27,2,2,1,有,有,4770000,39736.0,坡道平面,33.91,1100000,,RPPOMLPLMHNFFFK56CA,56.81,1.93,4.64,,,107_02
頭份市,房地(土地+建物)+車位,苗栗縣頭份鎮東庄里６鄰昌隆一街３４６號十四樓,29.97,住,,,1070406,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061115.0,165.81,3,2,2,有,有,6830000,44200.0,坡道平面,33.91,1000000,,RPQOMLPLMHNFFFK66CA,80.57,1.38,8.88,,,107_02
頭份市,房地(土地+建物)+車位,苗栗縣頭份鎮東庄里６鄰昌隆一街３６６號八樓,25.69,住,,,1070403,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061115.0,151.73000000000002,3,2,2,有,有,5800000,41589.0,坡道平面,33.91,900000,,RPWOMLPLMHNFFFK27CA,70.41,2.84,8.67,,,107_02
頭份市,房地(土地+建物)+車位,苗栗縣頭份鎮東庄里６鄰昌隆一街３６０號六樓,21.41,住,,,1070403,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061115.0,127.37,2,2,1,有,有,4800000,39589.0,坡道平面,33.91,1100000,,RPXOMLPLMHNFFFK37CA,57.44,2.04,4.64,,,107_02
頭份市,房地(土地+建物)+車位,苗栗縣頭份鎮東庄里６鄰昌隆一街３６８號十四樓,24.62,住,,,1070403,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061115.0,140.7,3,2,1,有,有,5400000,41202.0,坡道平面,33.91,1000000,,RPQPMLPLMHNFFFK76CA,65.64,2.89,4.7,,,107_02
造橋鄉,土地,造橋段710-3地號,283.33,,山坡地保育區,丙種建築用地,1070405,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,706.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLQLMHNFFDK98CA,0.0,0.0,0.0,,,107_02
造橋鄉,土地,造橋段1531-1地號,39.0,,山坡地保育區,農牧用地,1070416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000,513.0,,0.0,0,向政府機關承購之案件。,RPSOMLRLMHNFFDK86CA,0.0,0.0,0.0,,,107_02
