鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
六腳鄉,土地,後崩山段159-7地號,4291.0,,一般農業區,農牧用地,1070503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3046610,710.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLQJOHNFFBQ07DA,0.0,0.0,0.0,,,107_02
布袋鎮,土地,貴舍段284-4地號,172.0,,一般農業區,農牧用地,1070403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,68800,400.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPPNMLRKMHNFFBQ76CA,0.0,0.0,0.0,,,107_02
東石鄉,土地,東石段1252-1地號,152.8,,鄉村區,乙種建築用地,1070403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1155550,7562.0,,0.0,0,,RPPNMLSKMHNFFBQ86CA,0.0,0.0,0.0,,,107_02
竹崎鄉,土地,樟樹坪段554地號,2134.0,,山坡地保育區,農牧用地,1070417,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700480,328.0,,0.0,0,,RPPNMLPLMHNFFEQ96CA,0.0,0.0,0.0,,,107_02
六腳鄉,土地,灣內段灣內小段536地號,3018.0,,特定農業區,農牧用地,1070409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,1027.0,,0.0,0,,RPSNMLNLMHNFFBQ86DA,0.0,0.0,0.0,,,107_02
梅山鄉,土地,雙溪段158-25地號,2760.0,,一般農業區,農牧用地,1070402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,435.0,,0.0,0,,RPPNMLTKMHNFFEQ47EA,0.0,0.0,0.0,,,107_02
番路鄉,土地,大湖段91-1地號,132.5,,森林區,農牧用地,1070411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,906.0,,0.0,0,,RPQNMLQLMHNFFEQ17CA,0.0,0.0,0.0,,,107_02
竹崎鄉,土地,瓦厝埔段1158-1地號,6365.67,,山坡地保育區,農牧用地,1070402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,424.0,,0.0,0,,RPRNMLOJNHNFFEQ96CA,0.0,0.0,0.0,,,107_02
民雄鄉,土地,福興段72-6地號,26.11,,鄉村區,乙種建築用地,1070409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,268400,10280.0,,0.0,0,畸零地或有合併使用之交易。畸零地或有合併使用之交易。；,RPQNMLTKMHNFFCQ17CA,0.0,0.0,0.0,,,107_02
朴子市,房地(土地+建物),嘉義縣朴子市文明路１１２巷１９號,137.07,住,,,1070409,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040413.0,198.72,4,3,4,有,無,8300000,41767.0,,0.0,0,,RPSNMLMJNHNFFBQ56CA,183.28,15.44,0.0,,,107_02
