鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
新竹市,房地(土地+建物)+車位,新竹市新竹市東區介壽路19號旁-A1-5F,21.67,住,,,1070207,土地13建物1車位1,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.69,3,2,2,有,無,14200000,96262,坡道平面,37.72,1400000,,RPSNMLLKMHNFFAO88CB,國泰禾,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市東區介壽路19號旁-B1-17F,21.67,住,,,1070310,土地13建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.69,3,2,2,有,無,15980000,109649,坡道平面,37.72,1400000,,RPUNMLLKMHNFFAO09CB,國泰禾,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市東區介壽路19號旁-B7-12F,16.79,住,,,1070317,土地13建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.13,3,2,2,有,無,11660000,104215,坡道平面,37.72,1300000,,RPVNMLLKMHNFFAO56CB,國泰禾,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷35號九樓,30.69,其他,,,1040206,土地1建物1車位3,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,241.6,3,2,2,有,無,13740000,72118,坡道平面,103.77,3800000,,RPTPMLRJNHNFFAO17CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷23號六樓,26.56,其他,,,1031211,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.82,3,2,2,有,無,10360000,76187,坡道平面,34.59,1200000,,RPUPMLRJNHNFFAO27CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷29號七樓,30.62,其他,,,1040316,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.17,3,2,2,有,無,11700000,75047,坡道平面,34.59,1300000,,RPVPMLRJNHNFFAO37CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷27號六樓,23.0,其他,,,1031209,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.64,2,1,1,有,無,8850000,73522,坡道平面,34.59,1200000,,RPWPMLRJNHNFFAO47CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷29號五樓,30.62,其他,,,1050919,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.17,3,2,2,有,無,11550000,74686,坡道平面,34.59,1200000,,RPXPMLRJNHNFFAO57CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷33號五樓,26.56,其他,,,1031217,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.15,3,2,2,有,無,10160000,74941,坡道平面,34.59,1200000,,RPOQMLRJNHNFFAO76CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷29號九樓,30.65,其他,,,1031205,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,207.76,3,2,2,有,無,13300000,77212,坡道平面,69.18,2600000,,RPPQMLRJNHNFFAO86CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷31號九樓,26.56,其他,,,1031204,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.15,3,2,2,有,無,10500000,77785,坡道平面,34.59,1200000,,RPQQMLRJNHNFFAO96CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷33號七樓,26.56,其他,,,1040624,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.15,3,2,2,有,無,10180000,75109,坡道平面,34.59,1200000,,RPRQMLRJNHNFFAO07CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷31號十樓,26.56,其他,,,1040521,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.15,3,2,2,有,無,10500000,77785,坡道平面,34.59,1200000,,RPSQMLRJNHNFFAO17CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷35號六樓,30.62,其他,,,1050418,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.42,3,2,2,有,無,11200000,72553,坡道平面,34.59,1200000,,RPTQMLRJNHNFFAO27CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷31號五樓,26.56,其他,,,1031205,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.15,3,2,2,有,無,10600000,78622,坡道平面,34.59,1200000,,RPVQMLRJNHNFFAO47CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷29號八樓,30.65,其他,,,1031209,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,207.76,3,2,2,有,無,12530000,71655,坡道平面,69.18,2600000,,RPWQMLRJNHNFFAO57CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷35號三樓,30.62,其他,,,1031205,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.42,3,2,2,有,無,11260000,72988,坡道平面,34.59,1200000,,RPXQMLRJNHNFFAO67CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷29號十樓,30.65,其他,,,1040701,土地1建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,207.76,3,2,2,有,無,12580000,73459,坡道平面,69.18,2400000,,RPORMLRJNHNFFAO86CB,美棧,,107_02
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷31號七樓,26.56,其他,,,1031215,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.15,3,2,2,有,無,10470000,77534,坡道平面,34.59,1200000,,RPPRMLRJNHNFFAO96CB,美棧,,107_02
