鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
竹北市,房地(土地+建物)+車位,新竹縣竹北市中正東路２０７號８樓,14.55,商,,,1080503,土地1建物1車位2,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841028.0,126.28,3,2,2,有,有,8000000,63351.0,升降平面,0.0,0,,RPVOMLKMNHOFFBJ56DA,85.03,2.34,9.34,,,108_02
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１２６巷８７弄２１號七樓,25.96,都市：其他:,,,1080510,土地3建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1040325.0,174.45,4,1,2,有,有,7400000,42421.0,坡道平面,0.0,0,贈送冷氣5臺；先送過戶登記再訂定私契，交易日期以私契登載,RPOOMLNKNHOFFCJ78EA,92.32,0.0,8.53,,,108_02
竹北市,房地(土地+建物)+車位,新竹縣竹北市台科路７０號五樓,29.83,住,,,1080403,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001013.0,175.57,3,2,2,有,有,11800000,67210.0,坡道平面,0.0,0,,RPPNMLLKMHOFFBJ18CA,92.46,6.58,11.74,,,108_02
尖石鄉,土地,梅花段40地號,772.5,,山坡地保育區,農牧用地,1080401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,108150,140.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLTJNHOFFCJ56DA,0.0,0.0,0.0,,,108_02
北埔鄉,房地(土地+建物),新竹縣北埔鄉埔心街１０９巷３９弄３號,94.91,住,,,1080408,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1061005.0,207.57,4,2,4,有,無,9500000,45768.0,,0.0,0,,RPUNMLTLMHOFFCJ07CA,189.47,0.0,18.1,,,108_02
尖石鄉,土地,新樂段水田小段601-1地號,244.0,,山坡地保育區,丙種建築用地,1080408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,219600,900.0,,0.0,0,有民情風俗因素之交易。；,RPQNMLOLMHOFFCJ78CA,0.0,0.0,0.0,,,108_02
寶山鄉,房地(土地+建物),新竹縣寶山鄉雙豐二街１１８號三樓,39.74,住,,,1080402,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050929.0,129.26,3,2,2,有,有,8380000,64831.0,,0.0,0,,RPUOMLMLMHOFFCJ09CA,80.86,0.0,8.84,,,108_02
竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路二段３１號５樓,40.13,商,,,1080402,土地1建物1車位2,五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020917.0,364.59,6,2,4,有,有,24750000,72155.0,坡道平面,54.84,2400000,,RPTQMLPLMHOFFBJ76CA,185.91,4.25,18.4,,,108_02
竹北市,土地,舊港段漁寮小段353地號,407.0,,特定農業區,農牧用地,1080411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1599000,3929.0,,0.0,0,,RPSPMLMLMHOFFBJ88CA,0.0,0.0,0.0,,,108_02
芎林鄉,土地,上德段16地號,426.37,住,,,1080416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27244190,63898.0,,0.0,0,特殊交易：芎林都市計畫區段徵收可建築用地標售,RPRNMLNLMHOFFCJ78CA,0.0,0.0,0.0,,,108_02
尖石鄉,土地,新光段191-1地號,94.0,,山坡地保育區,丙種建築用地,1080402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,1915.0,,0.0,0,,RPXOMLMJNHOFFCJ66CA,0.0,0.0,0.0,,,108_02
北埔鄉,土地,庄口段528地號,49.0,,山坡地保育區,農牧用地,1080402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,88000,1796.0,,0.0,0,,RPTNMLQJNHOFFCJ56CA,0.0,0.0,0.0,,,108_02
竹北市,房地(土地+建物),新竹縣竹北市尚義街６５巷１１８號,117.0,,特定農業區,甲種建築用地,1080401,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051230.0,247.22,6,3,4,有,無,9380000,37942.0,,0.0,0,,RPPNMLPJNHOFFBJ58CA,247.22,0.0,0.0,,,108_02
新豐鄉,土地,福興段員山子小段1115地號,1550.0,,特定農業區,農牧用地,1080408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2580000,1665.0,,0.0,0,急買急賣。；,RPQNMLQLMHOFFDJ09CA,0.0,0.0,0.0,,,108_02
新豐鄉,土地,振興段574地號,128.55,住,,,1080409,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,25671.0,,0.0,0,,RPQNMLNLMHOFFDJ78CA,0.0,0.0,0.0,,,108_02
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路二段１９１號,111.0,住,,,1080409,土地1建物1車位0,全,二層,透天厝,商業用,磚造,380101.0,154.66,6,3,4,有,無,6000000,38795.0,,0.0,0,,RPUNMLMLMHOFFDJ09CA,154.66,0.0,0.0,,,108_02
湖口鄉,房地(土地+建物),新竹縣湖口鄉仁興路７６巷３號,85.0,,工業區,丁種建築用地,1080402,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,950215.0,189.71,4,2,4,有,無,8800000,46387.0,,0.0,0,,RPVNMLMLMHOFFDJ56CA,180.92,4.46,4.33,,,108_02
竹北市,土地,台元段1084地號,1014.98,住,,,1080417,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,108483092,106882.0,,0.0,0,向政府機關承購之案件。；,RPWOMLQLMHOFFBJ07DA,0.0,0.0,0.0,,,108_02
湖口鄉,土地,中義段714地號,1152.08,住,,,1080416,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46892549,40703.0,,0.0,0,向政府機關承購之案件。；,RPXNMLMLMHOFFDJ86DA,0.0,0.0,0.0,,,108_02
新埔鎮,土地,福田段242地號,2129.26,住,,,1080416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,111100528,52178.0,,0.0,0,向政府機關承購之案件。；,RPPNMLLJNHOFFBJ18CA,0.0,0.0,0.0,,,108_02
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利八街一段２３１號十五樓之三,8.68,住,,,1080401,土地1建物1車位1,十五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608.0,115.12,2,2,1,有,有,7100000,61675.0,坡道平面,0.0,0,,RPWOMLTLMHOFFBJ27CA,50.57,1.25,6.15,,,108_02
