鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
莿桐鄉,土地,埔南段326地號,3875.68,農,,,1080111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10076755,2600.0,,0.0,0,,RPQNMLMKJHOFFAP58CA,0.0,0.0,0.0,,,108_01
北港鎮,房地(土地+建物),雲林縣北港鎮好收路７之５號,279.0,,鄉村區,乙種建築用地,1080104,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,820717.0,160.69,3,1,2,有,無,1150000,7157.0,,0.0,0,,RPSNMLPKJHOFFEP86CA,160.69,0.0,0.0,,,108_01
北港鎮,土地,頂庄段41地號,1140.76,,特定農業區,農牧用地,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,810000,710.0,,0.0,0,,RPSNMLOLJHOFFEP96DA,0.0,0.0,0.0,,,108_01
麥寮鄉,土地,崙南段1984地號,2032.12,,一般農業區,農牧用地,1080101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,1083.0,,0.0,0,,RPQNMLLKJHOFFFP98CA,0.0,0.0,0.0,,,108_01
四湖鄉,土地,關聖段1205地號,883.0,住,,,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13889000,15729.0,,0.0,0,,RPRNMLPKJHOFFEP86DA,0.0,0.0,0.0,,,108_01
東勢鄉,土地,西安段1310地號,2844.99,,特定農業區,農牧用地,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1991493,700.0,,0.0,0,,RPPNMLPKJHOFFFP86EA,0.0,0.0,0.0,,,108_01
水林鄉,土地,燦林段564地號,1932.06,農,,,1080104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1545648,800.0,,0.0,0,,RPWNMLPKJHOFFEP37DA,0.0,0.0,0.0,,,108_01
二崙鄉,建物,雲林縣二崙鄉安平路１６１之１２號,0.0,,,,1080108,土地0建物1車位0,一層,一層,倉庫,其他,見其他登記事項,1030818.0,873.0,0,0,0,有,無,3355200,,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLRKJHOFFCP27DA,873.0,0.0,0.0,,,108_01
北港鎮,房地(土地+建物)+車位,雲林縣北港鎮文化路３７之２３號八樓３７之２０１號,20.61,商,,,1080103,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840526.0,193.22,3,1,2,有,無,3000000,15526.0,坡道平面,0.0,0,,RPQNMLKMJHOFFEP98CA,152.72,0.0,10.25,,,108_01
斗南鎮,土地,太興段37地號,232.67,住,,,1080103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2530000,10874.0,,0.0,0,,RPTNMLLJKHOFFBP88CA,0.0,0.0,0.0,,,108_01
斗六市,房地(土地+建物),雲林縣斗六市忠孝路１４０巷１２號,102.7,住,,,1080108,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,920804.0,220.17,7,1,7,有,無,8200000,37244.0,,0.0,0,,RPSNMLRKJHOFFAP66CA,0.0,0.0,0.0,,,108_01
北港鎮,土地,口庄段244-1地號,464.32,,鄉村區,乙種建築用地,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2528100,5445.0,,0.0,0,,RPVNMLSLJHOFFEP57CA,0.0,0.0,0.0,,,108_01
北港鎮,土地,福茂段305地號,194.71,,鄉村區,乙種建築用地,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,4109.0,,0.0,0,,RPTNMLTKJHOFFEP37CA,0.0,0.0,0.0,,,108_01
口湖鄉,土地,外埔段16-312地號,1207.0,,一般農業區,農牧用地,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,724200,600.0,,0.0,0,,RPPNMLRKJHOFFEP76CA,0.0,0.0,0.0,,,108_01
口湖鄉,土地,外埔段23-20地號,3167.0,,一般農業區,農牧用地,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900200,600.0,,0.0,0,,RPQNMLRKJHOFFEP86CA,0.0,0.0,0.0,,,108_01
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉後安２２６之１號,214.83,,鄉村區,乙種建築用地,1080104,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,960213.0,301.78,3,2,2,有,無,7600000,25184.0,,0.0,0,,RPPNMLMLJHOFFFP09CA,278.19,0.0,23.59,,,108_01
林內鄉,土地,林內段935地號,1812.24,,山坡地保育區,農牧用地,1080103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,331.0,,0.0,0,,RPTNMLQKJHOFFAP76DA,0.0,0.0,0.0,,,108_01
西螺鎮,土地,社口段1018地號,2304.0,,特定農業區,農牧用地,1080105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6400000,2778.0,,0.0,0,,RPUNMLRKJHOFFCP17DA,0.0,0.0,0.0,,,108_01
古坑鄉,土地,苦苓腳段28地號,606.78,,山坡地保育區,農牧用地,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,303385,500.0,,0.0,0,,RPVNMLSKJHOFFAP27EA,0.0,0.0,0.0,,,108_01
北港鎮,房地(土地+建物),雲林縣北港鎮光明路４３之２號一樓,29.13,住,,,1080104,土地2建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,900809.0,99.42,3,2,1,有,無,2500000,25146.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLSKKHOFFEP17CA,72.8,0.0,0.0,,,108_01
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮工專路１２１巷１號五樓之１５,3.44,商,,,1080104,土地1建物1車位0,五層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,830614.0,29.14,1,0,1,有,有,630000,21620.0,,0.0,0,,RPQNMLNLKHOFFDP56CA,17.57,0.0,3.47,,,108_01
二崙鄉,土地,八角亭段1050地號,1441.0,,特定農業區,農牧用地,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1873300,1300.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLSKJHOFFCP76CA,0.0,0.0,0.0,,,108_01
二崙鄉,土地,八角亭段1049-1地號,2017.0,,特定農業區,農牧用地,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2622100,1300.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLSKJHOFFCP86CA,0.0,0.0,0.0,,,108_01
斗六市,房地(土地+建物),雲林縣斗六市中南路２９０巷６７弄３號,74.8,,鄉村區,乙種建築用地,1080108,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,710802.0,76.82,4,2,2,有,無,3200000,41656.0,,0.0,0,,RPUNMLNLJHOFFAP56CA,76.82,0.0,0.0,,,108_01
西螺鎮,土地,西螺段877-24地號,80.0,住,,,1080108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,20000.0,,0.0,0,,RPSNMLSKJHOFFCP96CA,0.0,0.0,0.0,,,108_01
褒忠鄉,土地,褒忠段65-17地號,5.0,住,,,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,24000.0,,0.0,0,在承買人屋後且面積小,RPQNMLOLJHOFFDP56CA,0.0,0.0,0.0,,,108_01
土庫鎮,土地,秀潭段639地號,297.86,,鄉村區,乙種建築用地,1080107,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,982928,3300.0,,0.0,0,,RPQNMLLLJHOFFDP88CA,0.0,0.0,0.0,,,108_01
四湖鄉,土地,北安段1483地號,438.58,,鄉村區,乙種建築用地,1080103,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,9120.0,,0.0,0,受債權債務影響或債務抵償之交易。；,RPPOMLSLJHOFFEP07CA,0.0,0.0,0.0,,,108_01
北港鎮,土地,復興段720地號,2700.0,,特定農業區,農牧用地,1080111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,1407.0,,0.0,0,,RPVNMLTKJHOFFEP57CA,0.0,0.0,0.0,,,108_01
北港鎮,房地(土地+建物),雲林縣北港鎮太平路５２３號,93.41,住,,,1080107,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,690625.0,123.04,2,2,2,有,無,5000000,40637.0,,0.0,0,,RPQNMLTKJHOFFEP07CA,123.04,0.0,0.0,,,108_01
口湖鄉,土地,牛尿港段36地號,121.33,,鄉村區,乙種建築用地,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,2637.0,,0.0,0,土地增值稅新台幣99086元由買方負擔親友、員工或其他特殊關係間之交易。；,RPRNMLTKJHOFFEP17CA,0.0,0.0,0.0,,,108_01
斗六市,土地,大潭段社口小段85-57地號,30.75,住,,,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,65041.0,,0.0,0,含地上二分之一未保存建物親友、員工或其他特殊關係間之交易。；,RPTNMLTKJHOFFAP07DA,0.0,0.0,0.0,,,108_01
古坑鄉,土地,新園段408地號,73.77,,鄉村區,乙種建築用地,1080110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,4067.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLTKJHOFFAP17DA,0.0,0.0,0.0,,,108_01
西螺鎮,土地,漢北段44-3地號,351.26,農,,,1080117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1053780,3000.0,,0.0,0,向政府機關承購之案件。；,RPRNMLTLJHOFFCP17DA,0.0,0.0,0.0,,,108_01
斗六市,土地,自強段37地號,144.74,住,,,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,48363.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPROMLLLJHOFFAP98EA,0.0,0.0,0.0,,,108_01
元長鄉,土地,潭內段232地號,2413.0,,特定農業區,農牧用地,1080103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2533650,1050.0,,0.0,0,,RPUNMLTKJHOFFEP57DA,0.0,0.0,0.0,,,108_01
水林鄉,土地,大山段2194地號,3182.0,,特定農業區,農牧用地,1080114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2227400,700.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLMLJHOFFEP27DA,0.0,0.0,0.0,,,108_01
北港鎮,房地(土地+建物),雲林縣北港鎮介壽街３７號,106.0,住,,,1080102,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,960404.0,221.66,4,2,3,有,無,8100000,36542.0,,0.0,0,,RPUOMLSLJHOFFEP57CA,210.6,0.0,11.06,,,108_01
水林鄉,土地,順興段113地號,675.08,,特定農業區,農牧用地,1080109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,560000,830.0,,0.0,0,親友特殊關係間之交易含無門牌違章建物,RPPNMLKMJHOFFEP88CA,0.0,0.0,0.0,,,108_01
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮光復路４４６號五樓之２,4.09,商,,,1080104,土地1建物1車位0,五層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,851113.0,36.17,1,0,1,有,有,1210000,33453.0,,0.0,0,,RPRNMLNLJHOFFDP56CA,28.15,0.0,0.0,,,108_01
斗六市,房地(土地+建物),雲林縣斗六市嘉新一路１０１號,110.0,住,,,1080110,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010116.0,194.7,6,3,5,有,無,7000000,35953.0,,0.0,0,含增建或未登記建物。；,RPOOMLMLJHOFFAP58CA,180.23,0.0,14.47,,,108_01
斗南鎮,房地(土地+建物),雲林縣斗南鎮明昌路５６號,24.24,住,,,1080107,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821215.0,117.36,4,2,2,有,有,2100000,17894.0,,0.0,0,,RPPNMLTLJHOFFBP76CA,86.53,8.64,0.0,,,108_01
斗六市,房地(土地+建物)+車位,雲林縣斗六市江厝路１００巷７弄２０號四樓,53.36,,鄉村區,乙種建築用地,1080106,土地1建物1車位1,四層，五層，屋頂突出物,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,880926.0,151.24,4,2,2,有,有,1800000,11902.0,一樓平面,0.0,0,,RPPOMLKMJHOFFAP58CA,96.59,0.0,13.93,,,108_01
斗六市,房地(土地+建物),雲林縣斗六市中華路１００號地下一樓,102.52,商,,,1080110,土地1建物6車位0,地下層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,841218.0,529.95,0,0,0,無,有,17000000,32078.0,,0.0,0,,RPOOMLSLJHOFFAP56CA,382.63,0.0,0.0,,,108_01
