鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1433 、 1438 、 1434 、 1458 地號等4筆,87.3,,鄉村區,乙種建築用地,1061216,土地4建物1車位0,全,4,透天厝,,鋼筋混凝土造,,167.55,4,2,5,有,無,8450000,50433,,0.0,0,,RPUOMLNJKINFFBG58DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1432、1434、1440、1458地號等4筆,85.16,,鄉村區,乙種建築用地,1061225,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.55,4,2,5,有,無,8280000,49418,,0.0,0,,RPVOMLNJKINFFBG68DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1431、1441、1434、1458地號等4筆,85.26,,鄉村區,乙種建築用地,1060621,土地4建物1車位0,全,4,透天厝,住家用,鋼骨混凝土造,,167.55,4,2,5,有,無,8350000,49836,,0.0,0,,RPXOMLNJKINFFBG88DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1430、1445、1434、1458地號等4筆,85.28,,鄉村區,乙種建築用地,1061011,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.55,4,2,5,有,無,8350000,49836,,0.0,0,,RPOPMLNJKINFFBG08DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1429、1447、1434、1458地號等4筆,85.27,,鄉村區,乙種建築用地,1061006,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.55,4,2,5,有,無,8350000,49836,,0.0,0,,RPPPMLNJKINFFBG18DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1428、1449、1434、1458地號等4筆,85.45,,鄉村區,乙種建築用地,1060622,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.55,4,2,5,有,無,8320000,49657,,0.0,0,,RPQPMLNJKINFFBG28DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1424、1457、1434、1458地號等4筆,114.54,,鄉村區,乙種建築用地,1060721,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,171.3,4,2,5,有,無,8900000,51956,,0.0,0,,RPUPMLNJKINFFBG68DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1427、1451、1434、1458地號等4筆,85.28,,鄉村區,乙種建築用地,1060623,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.55,4,2,5,有,無,8350000,49836,,0.0,0,,RPVPMLNJKINFFBG78DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1426、1453、1434、1458地號等4筆,85.28,,鄉村區,乙種建築用地,1061221,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.55,4,2,5,有,無,8850000,52820,,0.0,0,,RPXPMLNJKINFFBG98DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1425、1434、1458地號等3筆,87.62,,鄉村區,乙種建築用地,1060920,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,171.3,4,2,5,有,無,8700000,50788,,0.0,0,,RPSQMLNJKINFFBG58DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1463、1456、1434、1458地號等4筆,101.68,,鄉村區,乙種建築用地,1060815,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,168.1,4,2,5,有,無,8650000,51457,,0.0,0,,RPUQMLNJKINFFBG78DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1464、1455、1434、1458地號等4筆,91.7,,鄉村區,乙種建築用地,1070213,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,168.1,4,2,5,有,無,8550000,50863,,0.0,0,,RPWQMLNJKINFFBG98DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1467、1454、1434、1458地號等4筆,90.56,,鄉村區,乙種建築用地,1061222,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,168.1,4,2,5,有,無,8550000,50863,,0.0,0,,RPXQMLNJKINFFBG09DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1468、1452、1434、1458地號等4筆,87.09,,鄉村區,乙種建築用地,1060624,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,177.23,4,2,5,有,無,8800000,49653,,0.0,0,,RPPRMLNJKINFFBG38DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1470、1450、1434、1458地號等4筆,86.53,,鄉村區,乙種建築用地,1061004,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,176.84,4,2,5,有,無,8770000,49593,,0.0,0,,RPQRMLNJKINFFBG48DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1471、1448、1434、1458地號等4筆,86.49,,鄉村區,乙種建築用地,1060910,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,177.23,4,2,5,有,無,8790000,49597,,0.0,0,,RPRRMLNJKINFFBG58DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1473、1446、1434、1458地號等4筆,86.48,,鄉村區,乙種建築用地,1061217,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,176.84,4,2,5,有,無,9200000,52024,,0.0,0,,RPSRMLNJKINFFBG68DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1474、1443、1434、1458地號等4筆,96.44,,鄉村區,乙種建築用地,1060707,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,177.23,4,2,5,有,無,8900000,50217,,0.0,0,,RPTRMLNJKINFFBG78DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1475、1442、1434、1458地號等4筆,89.93,,鄉村區,乙種建築用地,1060625,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,171.3,4,2,5,有,無,8650000,50496,,0.0,0,,RPVRMLNJKINFFBG98DB,璞建築,,108_01
員山鄉,房地(土地+建物),宜蘭縣員山鄉新三泰段1476、1439、1434、1458地號等4筆,85.74,,鄉村區,乙種建築用地,1060831,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,171.3,4,2,5,有,無,8600000,50204,,0.0,0,,RPXRMLNJKINFFBG56DB,璞建築,,108_01
