鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
秀林鄉,土地,玻士岸段1514地號,1070.37,農,,,1080101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,440000,411.0,,0.0,0,,RPUNMLLKJHOFFAU76CA,0.0,0.0,0.0,,,108_01
玉里鎮,土地,永良段234地號,3295.4,,特定農業區,農牧用地,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2470000,750.0,,0.0,0,,RPQNMLMKJHOFFCU66CA,0.0,0.0,0.0,,,108_01
富里鄉,土地,大里段2186-1地號,40900.0,,山坡地保育區,農牧用地,1080107,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,166.0,,0.0,0,,RPUNMLMLJHOFFCU17CA,0.0,0.0,0.0,,,108_01
吉安鄉,土地,太昌段1892地號,269.5,農,,,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2398550,8900.0,,0.0,0,,RPSNMLQKJHOFFAU07CA,0.0,0.0,0.0,,,108_01
豐濱鄉,土地,靜浦段104-5地號,189.0,,風景區,農牧用地,1080103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37800,200.0,,0.0,0,,RPPNMLRKJHOFFBU07DA,0.0,0.0,0.0,,,108_01
花蓮市,房地(土地+建物),花蓮縣吉安鄉建昌路１９７巷２６號五樓,20.1,住,,,1080102,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820622.0,73.91,2,1,1,有,無,3650000,49384.0,,0.0,0,,RPRNMLSLJHOFFAU27CA,48.89,0.86,4.5,,,108_01
花蓮市,房地(土地+建物),花蓮縣花蓮市中和街１８２之１號,141.0,住,,,1080102,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,790111.0,631.17,12,12,13,有,無,25800000,40876.0,,0.0,0,含增建或未登記建物。；,RPWNMLTLJHOFFAU87CA,596.07,0.0,35.1,,,108_01
秀林鄉,土地,德姆南段771地號,19.67,農,,,1080103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,17794.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLLLJHOFFAU09CA,0.0,0.0,0.0,,,108_01
富里鄉,土地,富南段375地號,1008.47,,特定農業區,農牧用地,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,595.0,,0.0,0,,RPQNMLLKKHOFFCU66CA,0.0,0.0,0.0,,,108_01
光復鄉,房地(土地+建物),花蓮縣光復鄉中正路一段２４３巷４號,137.0,住,,,1080107,土地1建物1車位0,全,一層,透天厝,住家用,磚造,660406.0,68.89,2,1,1,有,無,1600000,23225.0,,0.0,0,,RPPNMLPLJHOFFBU86CA,68.89,0.0,0.0,,,108_01
