鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
嘉義市,土地,湖子內段興安小段224-1地號,2.19,住,,,1080103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,135800,62009.0,,0.0,0,畸零地或有合併使用之交易。；,RPPOMLOKJHOFFAI28EA,0.0,0.0,0.0,,,108_01
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路四段３５０巷２１弄６號,74.0,住,,,1080108,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,690505.0,87.95,3,1,2,有,無,5100000,57987.0,,0.0,0,,RPPNMLLLJHOFFAI97EA,82.44,5.51,0.0,,,108_01
嘉義市,房地(土地+建物),嘉義市嘉義市文雅街１５０巷２９號,112.0,住,,,1080102,土地1建物1車位0,全,三層,透天厝,其他,鋼筋混凝土造,950404.0,278.2,4,2,4,有,無,15000000,53918.0,,0.0,0,含增建或未登記建物。；,RPQPMLSLJHOFFAI78CA,246.06,0.0,32.14,,,108_01
嘉義市,房地(土地+建物),嘉義市嘉義市林森東路６１２巷１弄９號,97.0,住,,,1080107,土地1建物1車位0,全,一層,透天厝,住家用,磚造,650501.0,51.67,3,2,1,有,無,3900000,75479.0,,0.0,0,,RPWOMLLJKHOFFAI48CA,51.67,0.0,0.0,,,108_01
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳２０之７５號,21.76,住,,,1080108,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810828.0,84.91,3,2,2,有,有,2800000,32976.0,,0.0,0,,RPRNMLPLJHOFFAI38CA,70.5,6.22,0.0,,,108_01
嘉義市,房地(土地+建物),嘉義市嘉義市興業西路１３０號十三樓之３,31.27,住,,,1080102,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931101.0,188.65,3,2,2,有,有,5980000,31699.0,,0.0,0,含坡道式車道地下一樓平面式停車位1座,RPTQMLSLJHOFFAI56CA,102.54,0.0,12.86,,,108_01
嘉義市,土地,大溪段703-7地號,10.6,住,,,1080107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,247174,23318.0,,0.0,0,,RPSNMLTKJHOFFAI78CA,0.0,0.0,0.0,,,108_01
嘉義市,土地,下路頭段220-63地號,38.0,住,,,1080108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,5263.0,,0.0,0,畸零地或有合併使用之交易。；,RPPNMLRKJHOFFAI28CA,0.0,0.0,0.0,,,108_01
嘉義市,房地(土地+建物),嘉義市嘉義市永福一街４０號七樓１,15.01,住,,,1080104,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800403.0,105.66,3,1,1,有,有,3500000,33125.0,,0.0,0,,RPSNMLRKJHOFFAI78EA,80.91,0.0,7.11,,,108_01
嘉義市,土地,北門段七小段15-24地號,23.38,商,,,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2337500,99979.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLSKJHOFFAI88EA,0.0,0.0,0.0,,,108_01
