鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
南竿鄉,土地,福沃段514地號,3.99,都市：其他:機關建地,,,1080508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3455,866,,0.0,0,,RPPNMLOKNHOFFAZ57DA,0.0,0.0,0.0,,,108_02
北竿鄉,土地,后沃段441地號,73.13,住,,,1080401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,8205,,0.0,0,,RPPNMLKLNHOFFAZ27DA,0.0,0.0,0.0,,,108_02
南竿鄉,土地,珠螺段76地號,22.48,住,,,1080415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98912,4400,,0.0,0,,RPQNMLOKNHOFFAZ67DA,0.0,0.0,0.0,,,108_02
南竿鄉,土地,珠螺段3-2地號,59.71,住,,,1080415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,262724,4400,,0.0,0,,RPRNMLOKNHOFFAZ77DA,0.0,0.0,0.0,,,108_02
南竿鄉,土地,珠螺段247地號,239.28,都市：其他:機關、住宅,,,1080314,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,723800,3025,,0.0,0,,RPPNMLPKLHOFFAZ47DA,0.0,0.0,0.0,,,108_02
南竿鄉,土地,津沙段422地號,35.71,住,,,1080319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,146411,4100,,0.0,0,,RPPNMLKMMHOFFAZ27DA,0.0,0.0,0.0,,,108_02
北竿鄉,土地,塘岐段719-2地號,81.94,商,,,1080315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,245820,3000,,0.0,0,,RPPNMLRLLHOFFAZ77DA,0.0,0.0,0.0,,,108_02
南竿鄉,土地,珠螺段299-1地號,7.41,住,,,1080329,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32604,4400,,0.0,0,,RPPNMLLKMHOFFAZ17DA,0.0,0.0,0.0,,,108_02
南竿鄉,土地,清水段398地號,9.1,住,,,1080308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,60440,,0.0,0,,RPPNMLKKNHOFFAZ17DA,0.0,0.0,0.0,,,108_02
南竿鄉,土地,珠螺段71地號,57.84,住,,,1080226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,254496,4400,,0.0,0,,RPPNMLQLKHOFFAZ57DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段456-1地號,18.3,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40260,2200,,0.0,0,,RPPNMLLKLHOFFAZ07DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段453-1地號,18.63,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40986,2200,,0.0,0,,RPQNMLLKLHOFFAZ17DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段447-2地號,17.77,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39094,2200,,0.0,0,,RPPNMLTKLHOFFAZ87DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段452-1地號,19.26,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42372,2200,,0.0,0,,RPQNMLTKLHOFFAZ97DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段448-1地號,17.75,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39050,2200,,0.0,0,,RPUNMLTKLHOFFAZ38DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段450-1地號,18.02,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39644,2200,,0.0,0,,RPVNMLTKLHOFFAZ48DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段458-1地號,35.85,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78870,2200,,0.0,0,,RPWNMLTKLHOFFAZ58DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段455地號,34.34,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75537,2200,,0.0,0,,RPOOMLTKLHOFFAZ87DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段454-1地號,19.52,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42944,2200,,0.0,0,,RPPOMLTKLHOFFAZ97DA,0.0,0.0,0.0,,,108_02
東引鄉,土地,東引西段457-1地號,20.18,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44396,2200,,0.0,0,,RPTNMLTKLHOFFAZ28DA,0.0,0.0,0.0,,,108_02
