鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
中正區,房地(土地+建物)+車位,臺北市中正區福和段一小段78，91，92，294地號,16.22,住,,,1060225,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,混凝土造,,135.61,2,2,2,有,無,32400000,269394.0,升降機械,24.62,2500000,,RPSOMLLKKHPFFAA67DB,璞園學豐,,109_02
中正區,房地(土地+建物)+車位,臺北市中正區福和段一小段78，91，92，294地號,18.51,住,,,1060225,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,混凝土造,,152.07,3,2,2,有,無,40000000,294233.0,升降機械,24.62,2500000,,RPTOMLLKKHPFFAA77DB,璞園學豐,,109_02
北投區,房地(土地+建物),臺北市北投區三合街一段82巷106號7FB1-7F,18.59,住,,,1040913,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.96,2,2,1,有,無,15550000,183027.0,,0.0,0,,RPVOMLLLKHPFFEA38CB,國美大奇,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄１３號２樓之３,24.44,住,,,1080607,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.37,3,2,2,有,無,21180000,147721.0,坡道機械,16.5,1700000,,RPSNMLNLLHPFFCA08CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄１３號４樓之３,27.25,住,,,1080623,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,24100000,153993.0,坡道機械,16.5,1500000,,RPVNMLNLLHPFFCA38CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄１３號１１樓之３,27.25,住,,,1080705,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,25000000,160807.0,坡道機械,16.5,1400000,,RPWNMLNLLHPFFCA48CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄１３號１３樓之３,27.25,住,,,1081030,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,25700000,163532.0,坡道機械,16.5,1700000,,RPOOMLNLLHPFFCA77CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄１３號１４樓之３,27.25,住,,,1080919,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,25350000,163192.0,坡道機械,16.5,1400000,,RPPOMLNLLHPFFCA87CB,富貴莊園,,109_02
內湖區,房地(土地+建物),臺北市內湖區康樂街１３６巷３０弄１３號２樓之２,27.5,住,,,1080615,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.07,4,2,2,有,無,21830000,147430.0,,0.0,0,,RPROMLNLLHPFFCA08CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄５號２樓之１,27.25,住,,,1080704,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,23250000,148201.0,坡道機械,16.5,1500000,,RPUOMLNLLHPFFCA38CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄５號３樓之１,27.25,住,,,1080925,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,24000000,153312.0,坡道機械,16.5,1500000,,RPOPMLNLLHPFFCA87CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄５號５樓之１,27.25,住,,,1080616,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,24500000,155356.0,坡道機械,16.5,1700000,,RPPPMLNLLHPFFCA97CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄５號１２樓之１,27.25,住,,,1080620,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,25540000,163805.0,坡道機械,16.5,1500000,,RPSPMLNLLHPFFCA28CB,富貴莊園,,109_02
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄５號１３樓之１,27.25,住,,,1080609,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,4,2,2,有,無,25740000,163805.0,坡道機械,16.5,1700000,,RPTPMLNLLHPFFCA38CB,富貴莊園,,109_02
