鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
學甲區,房地(土地+建物),臺南市學甲區裕農街,89.73,住,,,1110813,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.42,4,2,3,有,無,9750000,57891.0,,0.0,0,,RPSNMLPKQHHGFGD78DB,寬薪園10,A15號,109_01
永康區,房地(土地+建物)+車位,臺南市永康區永興段440地號,30.85,住,,,1110813,土地1建物1車位1,十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.87,3,2,2,有,無,16470000,113869.0,坡道平面,33.72,1650000,,RPXNMLPKQHHGFKD96CB,皇龍天晴,A6棟0號,109_01
仁德區,房地(土地+建物)+車位,臺南市仁德區太子路193巷,34.22,住,,,1110814,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.63,3,2,2,有,無,9540000,79897.0,一樓平面,15.0,1500000,車位編號：13,RPPNMLQKQHHGFID68CB,鄰語堂3期,B棟2號,109_01
善化區,房地(土地+建物)+車位,臺南市善化區中華路152號及中興路158號交岔口,19.66,商,,,1110816,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.54,3,2,2,有,無,14880000,100811.0,坡道平面,29.32,1450000,,RPPNMLQKQHHGFHD58CB,常慶天目,A棟5號,109_01
善化區,房地(土地+建物)+車位,臺南市善化區中華路152號及中興路158號交岔口,15.82,商,,,1110817,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.42,2,2,2,有,無,12630000,105322.0,坡道平面,29.32,1350000,,RPUNMLRKQHHGFHD56CB,常慶天目,C棟5號,109_01
佳里區,房地(土地+建物),臺南市佳里區番子寮122-12號旁,71.09,,特定農業區,甲種建築用地,1110814,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.44,4,2,3,有,無,8550000,57599.0,,0.0,0,,RPPNMLRKQHHGFGD58CB,幸福成家II,A棟08號,109_01
安南區,房地(土地+建物)+車位,臺南市安南區樂活五街,23.4,住,,,1110811,土地1建物1車位1,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.75,3,2,2,有,無,15000000,104737.0,坡道平面,40.81,1600000,,RPPNMLRKQHHGFBD08CB,河睦,A1棟0號,109_01
仁德區,房地(土地+建物)+車位,臺南市仁德區太子路193巷,31.02,住,,,1110814,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.22,3,2,2,有,無,8580000,78711.0,一樓平面,15.0,1400000,車位編號：10,RPRNMLSKQHHGFID09CB,鄰語堂3期,E棟1號,109_01
麻豆區,房地(土地+建物)+車位,臺南市麻豆區新生南路,32.79,住,,,1110811,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.07,2,2,2,有,無,11880000,85793.0,坡道平面,29.75,1300000,,RPXNMLSKQHHGFFD86DB,諧作悅,E棟1號,109_01
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁五路與站后一路,26.9,住,,,1110811,土地1建物1車位2,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.23,3,2,2,有,無,14330000,106122.0,坡道平面,52.88,3150000,,RPPNMLTKQHHGFID98CB,春福天?,D2-12F號,109_01
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁五路與站后一路,19.2,住,,,1110811,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.65,2,2,1,有,無,9900000,108508.0,坡道平面,27.54,1750000,,RPQNMLTKQHHGFID09CB,春福天?,D3-14F號,109_01
安南區,房地(土地+建物),臺南市安南區安佃五街與安佃七街交接口,81.63,住,,,1110813,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.07,5,2,3,有,無,13600000,76374.0,,0.0,0,,RPPNMLTKQHHGFBD28CB,富裕人生18,A10號,109_01
北區,房地(土地+建物)+車位,臺南市北區西門路四段與文成路口,17.85,住,,,1110811,土地2建物1車位1,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.0,2,2,2,有,無,18180000,137845.0,坡道平面,17.01,1640000,,RPPNMLKLQHHGFAD37CB,藏美表參道,A棟8號,109_01
北區,房地(土地+建物)+車位,臺南市北區西門路四段與文成路口,18.09,住,,,1110812,土地2建物1車位2,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.87,2,2,2,有,無,18640000,127041.0,坡道平面,34.02,3160000,,RPQNMLKLQHHGFAD47CB,藏美表參道,B棟1號,109_01
安南區,房地(土地+建物)+車位,臺南市安南區生態街跟宜居三路交叉口,18.55,住,,,1110815,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.59,3,2,2,有,無,13660000,88968.0,坡道平面,21.35,1450000,,RPPNMLLLQHHGFBD57CB,永龍羅馬VA5,B棟5號,109_01
六甲區,房地(土地+建物)+車位,臺南市六甲區自由街/進化街口,41.08,住,,,1110814,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.32,3,2,2,有,無,7460000,66044.0,一樓平面,13.75,950000,,RPPNMLLLQHHGFFD97CB,風光合2-日光寓,C-2號,109_01
南區,房地(土地+建物),臺南市南區金華路一段352巷141弄,32.5,住,,,1110820,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.64,3,2,2,有,無,8250000,97472.0,,0.0,0,,RPPNMLMLQHHGFCD77CB,敦煌．時坴,C棟1號,109_01
安定區,房地(土地+建物)+車位,臺南市安定區港口42-1號旁邊基地,25.48,,鄉村區,乙種建築用地,1110815,土地1建物1車位1,五層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,117.59,2,2,2,有,無,9880000,95119.0,坡道平面,29.49,1500000,,RPTNMLNLQHHGFHD78CB,陶喜LiHo5,A棟2號,109_01
