鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
大寮區,房地(土地+建物)+車位,高雄市大寮區大智街,27.07,住,,,1110813,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.18,3,2,2,有,無,8220000,68260.0,坡道平面,21.0,1450000,,RPPNMLOKQHHGFLE88CB,大橘新加坡3,B棟2號,109_01
大寮區,房地(土地+建物)+車位,高雄市大寮區大智街,27.07,住,,,1110813,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.18,3,2,2,有,無,8020000,66747.0,坡道平面,21.0,1400000,,RPQNMLOKQHHGFLE98CB,大橘新加坡3,D棟1號,109_01
岡山區,房地(土地+建物)+車位,高雄市岡山區白米路10巷,26.08,,鄉村區,乙種建築用地,1110814,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.42,3,2,2,有,無,8170000,84675.0,坡道平面,18.42,1650000,,RPPNMLPKQHHGFFE38CB,藏逸6,A2棟0號,109_01
彌陀區,房地(土地+建物),高雄市彌陀區中正東路,113.77,住,,,1110814,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,180.4,5,2,3,有,無,13800000,76497.0,,0.0,0,,RPQNMLPKQHHGFFE48CB,路科苑,B22棟0號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,13.42,商,,,1110814,土地7建物1車位1,二十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.78,3,2,2,有,無,26740000,132500.0,坡道平面,26.95,2250000,,RPPNMLQKQHHGFDE28CB,國泰頤河,B棟1號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,13.42,商,,,1110814,土地7建物1車位1,二十一層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.68,3,2,2,有,無,26340000,129254.0,坡道平面,30.85,2450000,,RPQNMLQKQHHGFDE38CB,國泰頤河,B棟1號,109_01
三民區,房地(土地+建物)+車位,高雄市三民區建國三路和市中一路口,10.61,商,,,1110813,土地7建物1車位1,二十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.1,3,2,2,有,無,19370000,128429.0,坡道平面,30.85,2000000,,RPTNMLQKQHHGFDE68CB,國泰頤河,B棟5號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區保安二街,20.79,住,,,1110812,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.47,2,2,2,有,無,14200000,101313.0,坡道平面,22.57,1850000,,RPPNMLQKQHHGFGE58CB,悅讀VIP,A棟3號,109_01
左營區,房地(土地+建物)+車位,高雄市左營區左屏段2地號,8.58,住,,,1110815,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.71,2,1,1,有,無,8450000,91452.0,坡道機械,12.98,1250000,,RPPNMLQKQHHGFEE38CB,諾金,A11棟8號,109_01
楠梓區,房地(土地+建物),高雄市楠梓區大學南路&大學二十九路&大學五十六街,19.01,住,,,1110814,土地2建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.92,0,0,0,無,無,13100000,96380.0,,0.0,0,,RPRNMLQKQHHGFEE58CB,崑庭馥御,S棟20號,109_01
