鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中興街55巷,23.18,住,,,1110811,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.87,2,2,1,有,無,9510000,83521.0,坡道平面,36.17,1350000,,RPPNMLOKQHHGFDJ58CB,湖適居,A5棟13F號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中興街55巷,23.18,住,,,1110812,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.87,2,2,1,有,無,9520000,84647.0,坡道平面,36.17,1250000,,RPQNMLOKQHHGFDJ68CB,湖適居,B5棟13F號,109_01
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮朝陽路,30.31,住,,,1110812,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.69,3,2,2,有,無,15950000,98408.0,坡道平面,28.36,1550000,,RPTNMLPKQHHGFCJ98CB,沐朝陽,A棟3號,109_01
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新七街,44.19,住,,,1110812,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.68,3,1,2,有,無,10900000,84053.0,,0.0,0,,RPWNMLRKQHHGFBJ76CB,青?,C棟4號,109_01
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉明新八街,35.39,住,,,1110815,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,177.29,3,2,2,有,無,16870000,93543.0,坡道平面,18.86,2050000,,RPRNMLSKQHHGFDJ56CB,昌昕/明新首席2,E棟4號,109_01
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉振興街139巷之1號旁,28.66,,特定農業區,甲種建築用地,1110813,土地2建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.65,3,2,2,有,無,7750000,64384.0,坡道平面,23.14,1150000,,RPVNMLSKQHHGFDJ96CB,康禾晴園,D棟2號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,35.02,,一般農業區,甲種建築用地,1110813,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,157.47,4,2,2,有,無,10750000,73663.0,坡道平面,21.31,720000,,RPQNMLNLQHHGFDJ68CB,弘峻理享城,I1-05F號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,23.03,,一般農業區,甲種建築用地,1110814,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,111.85,2,2,2,有,無,7850000,79177.0,坡道平面,22.43,770000,,RPUNMLNLQHHGFDJ09CB,弘峻理享城,H1-09F號,109_01
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉明新十街.明新八街.明新五街.明新三街,20.04,住,,,1110822,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.99,3,2,2,有,無,11860000,115141.0,坡道平面,29.75,1700000,,RPWNMLNLQHHGFDJ66CB,富宇明星樂,A7棟7號,109_01
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉明新十街.明新八街.明新五街.明新三街,24.53,住,,,1110822,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.75,3,2,2,有,無,13890000,113796.0,坡道平面,29.75,1600000,,RPOOMLNLQHHGFDJ58CB,富宇明星樂,B1棟7號,109_01
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉明新十街.明新八街.明新五街.明新三街,24.1,住,,,1110822,土地1建物1車位2,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.87,3,2,2,有,無,13990000,116755.0,坡道機械,29.75,1600000,,RPQOMLNLQHHGFDJ78CB,富宇明星樂,B3棟9號,109_01
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉明新十街.明新八街.明新五街.明新三街,20.04,住,,,1110822,土地1建物1車位2,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.99,3,2,2,有,無,11680000,114234.0,坡道機械,29.75,1600000,,RPROMLNLQHHGFDJ88CB,富宇明星樂,B6棟6號,109_01
竹東鎮,房地(土地+建物),新竹縣竹東鎮資源段900地號,21.71,住,,,1110813,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.64,2,2,1,有,無,6980000,80563.0,,0.0,0,,RPPNMLNLQHHGFCJ48CB,臻研臻心,C棟3號,109_01
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮資源段900地號,28.85,住,,,1110816,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.21,3,2,2,有,無,10650000,80302.0,坡道平面,31.02,1400000,,RPQNMLNLQHHGFCJ58CB,臻研臻心,F棟5號,109_01
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.92,商,,,1110820,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.04,2,2,1,有,無,9720000,102825.0,坡道機械,31.61,730000,,RPPNMLOLQHHGFBJ48CB,竹科臻邦,C6棟12F號,109_01
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.95,商,,,1110813,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.21,2,2,1,有,無,10110000,99258.0,坡道平面,27.66,1420000,,RPQNMLOLQHHGFBJ58CB,竹科臻邦,C1棟8F號,109_01
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,15.96,商,,,1110813,土地1建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.1,3,2,2,有,無,15000000,100915.0,坡道機械,59.27,2100000,,RPRNMLOLQHHGFBJ68CB,竹科臻邦,B5棟6F號,109_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路,28.95,住,,,1110815,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.94,3,2,2,有,無,19900000,136415.0,坡道平面,25.99,1900000,,RPUNMLOLQHHGFBJ98CB,佳陞禾樂B區,A2-05F號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉綠園段279-78地號,79.48,,特定農業區,甲種建築用地,1110822,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,125.43,4,2,3,有,無,11410000,90967.0,,0.0,0,,RPPNMLOLQHHGFDJ68CB,悅時代,H棟22號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉綠園段288-22地號,99.42,,特定農業區,甲種建築用地,1110811,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.18,4,2,4,有,無,14140000,86653.0,,0.0,0,,RPTOMLOLQHHGFDJ56CB,悅時代,I棟3號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉綠園段288-23地號,99.42,,特定農業區,甲種建築用地,1110820,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.6,4,2,4,有,無,14380000,88438.0,,0.0,0,,RPUOMLOLQHHGFDJ66CB,悅時代,I棟3-1號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉綠園段288-24地號,99.42,,特定農業區,甲種建築用地,1110813,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.18,4,2,4,有,無,14580000,89349.0,,0.0,0,,RPVOMLOLQHHGFDJ76CB,悅時代,I棟5號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉長威段1677、1678地號,80.4,,鄉村區,乙種建築用地,1110815,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,181.56,4,2,4,有,無,12100000,66645.0,,0.0,0,,RPXNMLPLQHHGFDJ96CB,海德莊園,A棟A3號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉長威段1677、1678地號,80.4,,鄉村區,乙種建築用地,1110815,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,181.56,4,2,4,有,無,12460000,68627.0,,0.0,0,,RPOOMLPLQHHGFDJ78CB,海德莊園,A棟A5號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉長威段1677、1678地號,80.23,,鄉村區,乙種建築用地,1110815,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,181.56,4,2,4,有,無,11850000,65268.0,,0.0,0,,RPPOMLPLQHHGFDJ88CB,海德莊園,A棟A19號,109_01
