鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
馬公市,房地(土地+建物),澎湖縣馬公市重光里3鄰後窟潭12號,28.16,,鄉村區,乙種建築用地,1110826,土地3建物1車位0,六層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,101.64,3,2,2,有,無,8000000,78709.0,,0.0,0,,RPQNMLLLRHHGFAX17DB,泰然御勝,A棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市重光里3鄰後窟潭12號,20.86,,鄉村區,乙種建築用地,1110818,土地3建物1車位0,二層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,75.41,2,2,2,有,無,5050000,66967.0,,0.0,0,,RPPNMLMLRHHGFAX17DB,泰然御勝,D棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市重光里3鄰後窟潭12號,20.8,,鄉村區,乙種建築用地,1110829,土地3建物1車位0,四層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,75.19,2,2,2,有,無,5050000,67163.0,,0.0,0,,RPPNMLQLRHHGFAX57DB,泰然御勝,C棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市重光里3鄰後窟潭12號,20.86,,鄉村區,乙種建築用地,1110829,土地3建物1車位0,四層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,75.41,2,2,2,有,無,5100000,67630.0,,0.0,0,,RPQNMLQLRHHGFAX67DB,泰然御勝,D棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市文康街,8.07,商,,,1110921,土地13建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.94,1,2,1,有,無,5660000,82100.0,,0.0,0,申報人全名 : 澎湖縣馬公市馬公段1621-80地號等13筆土地更新單元都市更新會,RPPNMLRLRHHGFAX67DB,文康首席,A5棟4F號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市文康街,8.09,商,,,1110921,土地13建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.05,1,2,1,有,無,5660000,81970.0,,0.0,0,申報人全名 : 澎湖縣馬公市馬公段1621-80地號等13筆土地更新單元都市更新會,RPQNMLRLRHHGFAX77DB,文康首席,A7棟4F號,109_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,20.8,,鄉村區,乙種建築用地,1110831,土地3建物1車位1,五層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,75.19,2,2,2,有,無,6320000,0.0,坡道平面,254.0,900000,,RPPNMLSLRHHGFAX77DB,泰然御勝,C棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市重光里3鄰後窟潭12號,20.8,,鄉村區,乙種建築用地,1110831,土地3建物1車位0,二層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,75.19,2,2,2,有,無,5000000,66498.0,,0.0,0,,RPQNMLSLRHHGFAX87DB,泰然御勝,C棟0號,109_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,22.28,,鄉村區,乙種建築用地,1110903,土地3建物1車位1,二層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,80.45,2,2,2,有,無,6560000,94966.0,坡道平面,20.85,900000,,RPPNMLTLRHHGFAX87DB,泰然御勝,B棟0號,109_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,19.02,,鄉村區,乙種建築用地,1110902,土地3建物1車位1,四層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,68.67,2,2,1,有,無,5780000,102049.0,坡道平面,20.85,900000,,RPQNMLTLRHHGFAX97DB,泰然御勝,A棟0號,109_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,19.33,,鄉村區,乙種建築用地,1110906,土地3建物1車位1,五層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,69.74,2,2,1,有,無,6000000,105339.0,坡道平面,20.85,850000,,RPRNMLTLRHHGFAX08DB,泰然御勝,E棟0號,109_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,20.86,,鄉村區,乙種建築用地,1110924,土地3建物1車位1,五層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,75.41,2,2,2,有,無,6230000,98607.0,坡道平面,20.85,850000,,RPPNMLMKIIHGFAX88DB,泰然御勝,D棟0號,109_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,22.28,,鄉村區,乙種建築用地,1110928,土地3建物1車位1,五層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,80.45,2,2,2,有,無,6920000,101007.0,坡道平面,20.85,900000,,RPQNMLMKIIHGFAX98DB,泰然御勝,B棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市重光里3鄰後窟潭12號,27.06,,鄉村區,乙種建築用地,1110929,土地3建物1車位0,六層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,97.62,3,2,2,有,無,8000000,81950.0,,0.0,0,,RPRNMLMKIIHGFAX09DB,泰然御勝,B棟0號,109_01
馬公市,房地(土地+建物)+車位,澎湖縣馬公市重光里3鄰後窟潭12號,28.05,,鄉村區,乙種建築用地,1110929,土地3建物1車位1,六層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,101.36,3,2,2,有,無,8600000,96261.0,坡道平面,20.85,850000,,RPSNMLMKIIHGFAX56DB,泰然御勝,C棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市重光里3鄰後窟潭12號,22.28,,鄉村區,乙種建築用地,1111015,土地3建物1車位0,四層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,80.45,2,2,2,有,無,5630000,69981.0,,0.0,0,,RPPNMLOLIIHGFAX56DB,泰然御勝,B棟0號,109_01
馬公市,房地(土地+建物),澎湖縣馬公市安宅段,21.26,,鄉村區,乙種建築用地,1110607,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.44,2,1,1,有,無,4650000,59281.0,,0.0,0,,RPQNMLMLOHHGFAX86CB,勝笠宴,A3棟2F號,109_02
馬公市,房地(土地+建物),澎湖縣馬公市文康街,12.49,商,,,1110223,土地13建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.62,2,2,2,有,無,10320000,96792.0,,0.0,0,,RPPNMLRKLHHGFAX86CB,文康首席,A8棟14F號,109_03
