鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1100111,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,9200000,68627.0,坡道平面,39.23,750000,,RPTPMLRKKHGGFIB48CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1090109,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,8580000,64241.0,坡道平面,39.23,670000,,RPUPMLRKKHGGFIB58CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1081210,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,8500000,63591.0,坡道平面,39.23,670000,,RPVPMLRKKHGGFIB68CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1081231,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,8600000,64403.0,坡道平面,39.23,670000,,RPWPMLRKKHGGFIB78CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1091007,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,8700000,64566.0,坡道平面,39.23,750000,,RPXPMLRKKHGGFIB88CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1091006,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,8620000,63916.0,坡道平面,39.23,750000,,RPPQMLRKKHGGFIB18CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1090930,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,8950000,67246.0,坡道平面,39.23,670000,,RPQQMLRKKHGGFIB28CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.52,住,,,1091019,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,9000000,67002.0,坡道平面,39.23,750000,,RPSQMLRKKHGGFIB48CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.53,住,,,1090220,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,9330000,67733.0,坡道平面,39.23,990000,,RPTQMLRKKHGGFIB58CB,德金豐綻,,110_02
大里區,房地(土地+建物)+車位,臺中市大里區成功段911地號,0.53,住,,,1091027,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.36,3,2,2,有,無,9250000,69033.0,坡道平面,39.23,750000,,RPUQMLRKKHGGFIB68CB,德金豐綻,,110_02
