鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文峰段591，592地號,34.11,住,,,1100815,土地2建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.94,3,2,2,有,無,9000000,67700,坡道平面,23.42,0,,RPQNMLQKQHGGFBK68CB,四季,C5棟9F號,110_01
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市國華路,42.65,住,,,1100815,土地1建物1車位2,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,207.72,4,2,3,有,無,11060000,52491,坡道平面,27.5,1600000,,RPPNMLSKQHGGFBK78CB,璀璨,A-8F號,110_01
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市國華路,43.18,住,,,1100815,土地1建物1車位2,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,209.73,4,2,3,有,無,11350000,56248,一樓平面,27.5,1100000,,RPQNMLSKQHGGFBK88CB,璀璨,A-5F號,110_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮海口里開元路759巷,34.39,住,,,1100818,土地2建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.29,3,2,2,有,無,6620000,47283,其他,32.26,850000,,RPPNMLSKQHGGFDK98CB,承家2,A1棟3F號,110_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮海口里開元路759巷,34.39,住,,,1100815,土地2建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.29,3,2,2,有,無,7360000,53348,其他,32.26,850000,,RPQNMLSKQHGGFDK09CB,承家2,A1棟8F號,110_01
公館鄉,房地(土地+建物),苗栗縣公館鄉館興段324地號,34.26,住,,,1100814,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.96,2,2,1,有,無,3930000,51065,,0.0,0,,RPUNMLOLQHGGFBK98CB,輕井澤NO.10恬靜,B棟3號,110_01
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市國華路,14.7,住,,,1100813,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.46,2,1,1,有,無,4790000,54562,坡道平面,12.5,700000,,RPTNMLQLQHGGFBK09CB,璀璨,A-7F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,12.06,商,,,1100818,土地4建物1車位1,二十二層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,149.82,3,2,2,有,無,9880000,71864,坡道平面,28.34,1150000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，0.89964平方公尺）。土地權利範圍含車位,RPPNMLQLQHGGFFK09CB,昕見築,A8-22F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,14.17,商,,,1100815,土地4建物1車位1,九層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,171.78,3,2,2,有,無,10920000,68629,坡道平面,29.42,1150000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，1.05651平方公尺）。土地權利範圍含車位,RPSNMLQLQHGGFFK76CB,昕見築,A7-09F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,14.17,商,,,1100818,土地4建物1車位1,十七層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,170.7,3,2,2,有,無,11570000,73195,坡道平面,28.34,1150000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，1.05651平方公尺）。土地權利範圍含車位,RPTNMLQLQHGGFFK86CB,昕見築,A7-17F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,14.17,商,,,1100815,土地4建物1車位1,十層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,171.78,3,2,2,有,無,10900000,69542,坡道平面,29.42,1000000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，1.05651平方公尺）。土地權利範圍含車位,RPUNMLQLQHGGFFK96CB,昕見築,A7-10F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,14.17,商,,,1100818,土地4建物1車位1,二十二層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,179.03,3,2,2,有,無,12130000,75021,坡道平面,36.67,1450000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，1.05651平方公尺）。土地權利範圍含車位,RPWNMLQLQHGGFFK17CB,昕見築,A7-22F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,10.09,商,,,1100816,土地4建物1車位1,十四層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,129.57,3,2,2,有,無,8350000,71125,坡道平面,28.34,1150000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，0.75222平方公尺）。土地權利範圍含車位,RPXNMLQLQHGGFFK27CB,昕見築,A6-14F號,110_01
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市英才段1042-1地號,42.9,住,,,1100821,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.96,3,2,2,有,無,8600000,60157,一樓平面,0.0,0,,RPQNMLRLQHGGFBK88CB,鑫美麗NO.3,B棟5號,110_01
頭屋鄉,房地(土地+建物)+車位,苗栗縣頭屋鄉尖豐路56號旁,30.75,住,,,1100813,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.04,3,1,2,有,無,6500000,47912,升降機械,16.81,500000,,RPRNMLRLQHGGFBK09DB,元邦建設-元邦好境,C棟C5號,110_01
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔六街,97.09,住,,,1100817,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,200.22,4,2,4,有,無,14880000,74318,,0.0,0,,RPQNMLRLQHGGFDK56DB,富比興,A棟1號,110_01
頭屋鄉,房地(土地+建物)+車位,苗栗縣頭屋鄉尖豐路56號旁,30.75,住,,,1100823,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.04,3,1,2,有,無,6000000,44718,升降機械,16.81,400000,,RPPNMLTLQHGGFBK09DB,元邦建設-元邦好境,C棟C5號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園段43地號,14.98,商,,,1100823,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,169.1,3,2,2,有,無,9260000,60087,坡道平面,29.47,870000,,RPSNMLLJRHGGFFK88DB,藝文公園,B棟1號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園段43地號,14.82,商,,,1100823,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,167.63,3,2,2,有,無,8450000,54864,坡道平面,29.47,870000,,RPTNMLLJRHGGFFK98DB,藝文公園,A棟1號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園段43地號,14.82,商,,,1100813,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,167.63,3,2,2,有,無,8200000,53778,坡道平面,29.47,770000,,RPOOMLLJRHGGFFK58DB,藝文公園,D棟1號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園段43地號,17.53,商,,,1100816,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,193.11,4,2,2,有,無,10450000,59154,坡道平面,29.47,770000,,RPPOMLLJRHGGFFK68DB,藝文公園,C棟3號,110_01
竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍山里13鄰龍山路二段285巷5號,102.65,住,,,1100831,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,192.81,3,2,4,有,無,13980000,72507,,0.0,0,,RPPNMLLJRHGGFDK28CB,龍山湛,D棟1號,110_01
造橋鄉,房地(土地+建物)+車位,苗栗縣造橋鄉仁愛路,28.93,,特定農業區,甲種建築用地,1100812,土地2建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.91,2,1,2,有,無,4980000,51527,坡道平面,33.4,780000,,RPPNMLMJRHGGFDK38CB,協奏曲,6C號,110_01
造橋鄉,房地(土地+建物),苗栗縣造橋鄉仁愛路,88.34,,特定農業區,甲種建築用地,1100811,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,121.51,4,2,3,有,無,7030000,57855,,0.0,0,,RPQNMLMJRHGGFDK48CB,協奏曲,C棟1號,110_01
造橋鄉,房地(土地+建物),苗栗縣造橋鄉仁愛路,81.34,,特定農業區,甲種建築用地,1100816,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,113.15,4,2,3,有,無,7200000,63632,,0.0,0,,RPRNMLMJRHGGFDK58CB,協奏曲,E棟12號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,14.17,商,,,1100822,土地4建物1車位2,二十一層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,205.2,3,2,2,有,無,13480000,75021,坡道平面,62.84,2800000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，1.05651平方公尺）。土地權利範圍含車位,RPQNMLMJRHGGFFK68CB,昕見築,A7-21F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,10.09,商,,,1100816,土地4建物1車位1,十三層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,133.55,3,2,2,有,無,9310000,77545,坡道平面,32.19,1450000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，0.75222平方公尺）。土地權利範圍含車位,RPRNMLMJRHGGFFK78CB,昕見築,A3-13F號,110_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園一街公園段12，13，14，15地號,14.17,商,,,1100821,土地4建物1車位1,十二層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,171.78,3,2,2,有,無,11240000,70174,坡道平面,29.42,1250000,本筆交易含竹南藝文段13、14地號共兩筆土地持分，1.05651平方公尺）。土地權利範圍含車位,RPSNMLMJRHGGFFK88CB,昕見築,A7-12F號,110_01
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維祥街1巷15弄,33.28,,鄉村區,乙種建築用地,1100825,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.36,2,1,1,有,無,4500000,45586,坡道機械,10.42,400000,,RPPNMLNJRHGGFBK38DB,桐芯園,A棟5號,110_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大同段1164-9,106.09,住,,,1100904,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,259.8,3,2,3,有,無,17600000,67744,一樓平面,0.0,0,,RPSNMLPJRHGGFDK98CB,兆德常佇,A棟3號,110_01
