鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,28.38,住,,,1110211,土地2建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.46,3,2,2,有,無,9980000,64980,坡道平面,29.88,1300000,,RPQNMLNKKHHGFDN38CB,合陽鼎峰,A1棟13F號,111_02
員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,28.38,住,,,1110213,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.46,3,2,2,有,無,9960000,65579,坡道平面,29.88,1200000,,RPRNMLNKKHHGFDN48CB,合陽鼎峰,A1棟10F號,111_02
芬園鄉,房地(土地+建物),彰化縣芬園鄉清水段708地號,53.55,住,,,1110213,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,145.85,3,2,2,有,無,10520000,72129,,0.0,0,本地號尚未分割 登記以分割後面積為主,RPTOMLOKKHHGFAN68DB,豐悅,D棟5號,111_02
彰化市,房地(土地+建物)+車位,彰化縣彰化市華山路,12.5,住,,,1110215,土地2建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.77,2,2,1,有,無,6500000,87745,坡道機械,13.0,1080000,,RPQNMLQKKHHGFAN38CB,華山苑,10D號,111_02
員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,20.5,住,,,1110212,土地2建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.8,2,2,1,有,無,7200000,62552,坡道平面,29.88,1200000,土地持分面積為20.50平方公尺,RPQNMLTKKHHGFDN98CB,合陽鼎峰,G3棟8F號,111_02
員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,27.59,住,,,1110213,土地2建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3,2,2,有,無,9150000,62282,坡道平面,29.88,1300000,,RPRNMLTKKHHGFDN09CB,合陽鼎峰,B1棟5F號,111_02
員林市,房地(土地+建物)+車位,彰化縣員林市三多七街,20.5,住,,,1110216,土地2建物1車位1,八層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.81,2,2,1,有,無,7380000,64422,坡道平面,29.88,1200000,土地持分面積為20.50平方公尺,RPSNMLTKKHHGFDN56CB,合陽鼎峰,I1棟8F號,111_02
員林市,房地(土地+建物)+車位,彰化縣員林市龍富二街,24.88,住,,,1110211,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.66,3,2,2,有,無,8560000,72380,坡道機械,20.83,900000,坐落土地:彰化縣員林市和平段1188、1189、1190、1191、1192地號等5筆土地，經合併後為1188地號1筆土地。,RPPNMLKLKHHGFDN08CB,昌祐信義大廈,B棟4F號,111_02
和美鎮,房地(土地+建物),彰化縣和美鎮和泰路,45.05,住,,,1110212,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.45,4,2,2,有,無,11300000,81033,,0.0,0,,RPRNMLLLKHHGFBN18CB,卡里善一期,A棟4I號,111_02
二林鎮,房地(土地+建物),彰化縣二林鎮西平街,110.0,住,,,1110213,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,225.79,5,2,5,有,無,15880000,70331,,0.0,0,,RPPNMLMLKHHGFGN58CB,勝龍中央公園,B棟5號,111_02
北斗鎮,房地(土地+建物),彰化縣北斗鎮舜耕路,99.0,,鄉村區,乙種建築用地,1110219,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,198.99,4,3,5,有,無,10800000,54274,,0.0,0,,RPPNMLNLKHHGFFN58CB,觀美墅NO.10,A棟3號,111_02
北斗鎮,房地(土地+建物),彰化縣北斗鎮民族路88巷,90.25,住,,,1110221,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,194.21,4,2,5,有,無,11300000,58184,,0.0,0,,RPPNMLNLKHHGFFN68DB,展源新天地,B5號,111_02
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿興路,108.16,住,,,1110223,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,328.8,4,2,6,有,無,30500000,92762,,0.0,0,,RPPNMLOLKHHGFCN38CB,巨匠傳奇,B棟5號,111_02
二林鎮,房地(土地+建物),彰化縣二林鎮永祥街,86.13,住,,,1110223,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,180.66,6,2,5,有,無,10620000,58784,,0.0,0,,RPQNMLOLKHHGFGN88CB,勝龍東方明珠,A棟3號,111_02
線西鄉,房地(土地+建物),彰化縣線西鄉重振段107-20地號,77.15,住,,,1110219,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,185.9,4,1,4,有,無,8500000,45724,,0.0,0,,RPPNMLPLKHHGFBN48DB,伊豆中山,B棟5號,111_02
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和東段428，428-1，428-2，428-3,85.9,住,,,1110219,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,197.95,5,2,5,有,無,17300000,87396,坡道平面,41.05,0,,RPPNMLPLKHHGFBN38CB,和美御所NO1,住A棟5號,111_02
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和東段428，428-1，428-2，428-3 地號,85.9,住,,,1110212,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,204.94,5,2,6,有,無,19900000,97102,坡道平面,41.05,0,,RPQNMLPLKHHGFBN48CB,和美御所NO1,住B棟5號,111_02
秀水鄉,房地(土地+建物),彰化縣秀水鄉大厝巷,71.63,,特定農業區,甲種建築用地,1110215,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土加強磚造,,170.28,4,2,5,有,無,9600000,56378,,0.0,0,,RPRNMLPLKHHGFAN48CB,信義之星,A棟8號,111_02
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,29.69,,特定農業區,甲種建築用地,1110213,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.93,3,2,2,有,無,9080000,62356,坡道平面,23.36,1250000,,RPPNMLSLKHHGFAN58CB,盛好大苑,A5棟4號,111_02
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,28.7,,特定農業區,甲種建築用地,1110220,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.53,3,2,2,有,無,8880000,62855,坡道平面,22.14,1250000,,RPQNMLSLKHHGFAN68CB,盛好大苑,C2棟2號,111_02
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,28.7,,特定農業區,甲種建築用地,1110220,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.47,3,2,2,有,無,9500000,67172,坡道平面,22.14,1350000,,RPRNMLSLKHHGFAN78CB,盛好大苑,C3棟6號,111_02
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,28.7,,特定農業區,甲種建築用地,1110220,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.47,3,2,2,有,無,9500000,67996,坡道平面,22.14,1250000,,RPSNMLSLKHHGFAN88CB,盛好大苑,C3棟7號,111_02
秀水鄉,房地(土地+建物),彰化縣秀水鄉民意街２６６巷旁,116.45,住,,,1110220,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,154.43,4,3,4,有,無,11730000,75957,,0.0,0,公司保留339地號29分之4持分,RPPNMLLJLHHGFAN77CB,品慕夏,A棟2號,111_02
社頭鄉,房地(土地+建物),彰化縣社頭鄉社斗路一段735巷,131.47,其他,,,1110223,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,192.59,4,2,4,有,無,9600000,49847,,0.0,0,,RPPNMLLJLHHGFEN28DB,仁美綠園墅,A1棟1號,111_02
