鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
埔里鎮,房地(土地+建物),南投縣埔里鎮三勰路,233.02,,特定農業區,甲種建築用地,1101115,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,204.2,3,2,4,有,無,12800000,62684,,0.0,0,,RPPNMLTKJIGGFCM58CB,逸境,A棟1號,111_01
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮中華路,20.36,住,,,1101114,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.57,3,2,2,有,無,8500000,72600,坡道平面,27.33,1150000,,RPPNMLMLJIGGFCM97CB,博克萊,B棟9號,111_01
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮梅林三街,24.08,住,,,1101120,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.43,2,2,1,有,無,5900000,68207,坡道平面,29.59,1000000,,RPPNMLQLJIGGFCM48DB,梅林匯,F棟6號,111_01
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮梅林三街,24.88,住,,,1101120,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.8,2,2,1,有,無,5800000,63334,一樓平面,29.59,1100000,,RPQNMLQLJIGGFCM58DB,梅林匯,E棟4號,111_01
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中山街,22.5,商,,,1101114,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,148.26,3,2,2,有,無,10520000,75785,坡道平面,28.58,1450000,,RPQNMLRLJIGGFBM48CB,富宇中山溱邸,B棟5號,111_01
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中山街,22.5,商,,,1101114,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,148.35,3,2,2,有,無,9680000,69550,坡道平面,28.58,1350000,,RPSNMLRLJIGGFBM68CB,富宇中山溱邸,C棟6號,111_01
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮梅林三街,30.85,住,,,1101114,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.61,2,2,2,有,無,7600000,71724,坡道平面,29.59,1000000,,RPPNMLTLJIGGFCM78DB,梅林匯,C棟2號,111_01
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮北平街,19.81,商,,,1101121,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.01,3,2,2,有,無,9500000,70582,坡道平面,25.0,1100000,,RPWNMLLJKIGGFCM58DB,寬心璽玥,C棟5號,111_01
草屯鎮,房地(土地+建物),南投縣草屯鎮富春路,8.77,住,,,1101115,土地2建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.68,1,1,1,有,無,3770000,64247,,0.0,0,1.本戶建築執照基地位於草屯鎮新富功段坐落於49~49-21等22筆地號。,RPRNMLMJKIGGFBM08DB,陸禾誠也,B棟3號,111_01
草屯鎮,房地(土地+建物),南投縣草屯鎮富春路,106.68,住,,,1101121,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,174.08,4,3,5,有,無,15380000,88350,,0.0,0,1.本戶建築執照基地位於草屯鎮新富功段坐落於49~49-21等22筆地號。,RPSNMLMJKIGGFBM18DB,陸禾誠也,D棟3號,111_01
草屯鎮,房地(土地+建物),南投縣草屯鎮富春路,11.02,住,,,1101126,土地2建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,68.13,1,1,1,有,無,4430000,65023,,0.0,0,1.本戶建築執照基地位於草屯鎮新富功段坐落於49~49-21等22筆地號。,RPTNMLMJKIGGFBM28DB,陸禾誠也,B棟5號,111_01
草屯鎮,房地(土地+建物),南投縣草屯鎮富春路,102.11,住,,,1101118,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,165.26,4,3,5,有,無,14580000,88225,,0.0,0,1.本戶建築執照基地位於草屯鎮新富功段坐落於49~49-21等22筆地號。,RPUNMLMJKIGGFBM38DB,陸禾誠也,D棟7號,111_01
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉中寮路與八德街交叉口,21.31,住,,,1101116,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.43,2,2,2,有,無,5350000,65094,坡道平面,34.14,1100000,,RPQNMLMJKIGGFDM08CB,自在溪頭,A棟6號,111_01
竹山鎮,房地(土地+建物),南投縣竹山鎮昭德街,94.88,商,,,1101120,土地2建物1車位0,全,4,透天厝,住家用,見其他登記事項,,174.69,4,3,4,有,無,10700000,61251,,0.0,0,,RPSNMLMJKIGGFDM28CB,山水富築,B棟9號,111_01
竹山鎮,房地(土地+建物),南投縣竹山鎮昭德街,92.88,商,,,1101127,土地2建物1車位0,全,4,透天厝,住家用,見其他登記事項,,167.95,4,3,4,有,無,11200000,66687,,0.0,0,,RPTNMLMJKIGGFDM38CB,山水富築,B棟7號,111_01
埔里鎮,房地(土地+建物),南投縣埔里鎮隆生路111巷,36.7,農,,,1101123,土地1建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.26,2,1,1,有,無,6200000,70247,,0.0,0,,RPPNMLNJKIGGFCM08DB,洄謙城,B棟3號,111_01
埔里鎮,房地(土地+建物),南投縣埔里鎮隆生路111巷,36.7,農,,,1101130,土地1建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.26,2,1,1,有,無,6260000,70927,,0.0,0,,RPQNMLNJKIGGFCM18DB,洄謙城,B棟3號,111_01
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮石川路,16.02,,鄉村區,乙種建築用地,1101120,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.21,2,2,2,有,無,6820000,68038,坡道平面,45.2,900000,,RPPNMLNJKIGGFBM87CB,幸福流域,G棟6號,111_01
