鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,30.88,,特定農業區,甲種建築用地,1110211,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.7,3,1,2,有,無,7000000,56782.0,坡道平面,31.51,800000,,RPPNMLLKKHHGFAP97CB,璞樸莊園Twin House,B棟B5號,111_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,12.42,商,,,1110213,土地11建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,121.27,2,2,2,有,無,9150000,88630.0,坡道平面,32.7,1300000,,RPPNMLOKKHHGFDP58CB,鎧將雲鼎,A棟7F-B號,111_02
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮光復西路,36.54,住,,,1110211,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.06,3,1,2,有,無,6100000,63450.0,一樓平面,16.53,800000,,RPPNMLQKKHHGFCP68CB,幸福誠家,1棟2B號,111_02
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉瓦?村霄仁路上門牌尚未申請,128.0,,鄉村區,乙種建築用地,1110216,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.13,5,2,4,有,無,9100000,49964.0,,0.0,0,,RPPNMLRKKHHGFFP09CB,明成臻品,A棟2號,111_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,24.79,,特定農業區,甲種建築用地,1110219,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.16,2,1,1,有,無,5900000,58186.0,坡道平面,31.51,800000,,RPPNMLKLKHHGFAP97CB,璞樸莊園Twin House,B棟B3號,111_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義六街,24.06,住,,,1110214,土地2建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.32,2,2,1,有,無,5720000,90335.0,一樓平面,0.0,0,車位為法定空地停車車位,RPPNMLLLKHHGFAP28EB,正心A+家,C棟4號,111_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東二路,99.49,住,,,1110221,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,211.15,4,2,5,有,無,17290000,81885.0,,0.0,0,,RPQNMLMLKHHGFDP58CB,寬庭大學9,A棟2號,111_02
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮成功路,36.13,住,,,1110213,土地2建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.54,2,2,2,有,無,6000000,51439.0,一樓平面,26.45,800000,,RPQNMLNLKHHGFDP68CB,愛家,C棟5號,111_02
土庫鎮,房地(土地+建物),雲林縣土庫鎮成功路,33.23,住,,,1110212,土地2建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.98,2,2,2,有,無,4900000,52700.0,,0.0,0,,RPUNMLNLKHHGFDP09CB,愛家,D棟3號,111_02
土庫鎮,房地(土地+建物),雲林縣土庫鎮成功路,123.33,住,,,1110211,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.93,4,2,4,有,無,9880000,58486.0,,0.0,0,,RPWNMLNLKHHGFDP66CB,愛家,C棟11號,111_02
