鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
民雄鄉,房地(土地+建物),嘉義縣民雄鄉鄉道嘉107線,97.8,,鄉村區,乙種建築用地,1110211,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,148.84,4,2,4,有,無,10200000,68530,,0.0,0,,RPRNMLKLKHHGFCQ48CB,千葉里,A棟03號,111_02
民雄鄉,房地(土地+建物),嘉義縣民雄鄉鄉道嘉107線,115.13,,鄉村區,乙種建築用地,1110216,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,185.82,5,2,4,有,無,13200000,71036,,0.0,0,,RPSNMLKLKHHGFCQ58CB,千葉里,A棟15號,111_02
朴子市,房地(土地+建物)+車位,嘉義縣朴子市光復新路212號旁,43.48,住,,,1110219,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.77,3,2,2,有,無,8580000,69160,坡道平面,21.0,850000,,RPPNMLLLKHHGFBQ28CB,達爾文華廈,D棟5號,111_02
六腳鄉,房地(土地+建物),嘉義縣六腳鄉蒜頭村,151.34,住,,,1110213,土地2建物1車位0,全,3,透天厝,住家用,鋼骨鋼筋混凝土造,,174.07,5,2,4,有,無,8300000,47682,,0.0,0,,RPPNMLOLKHHGFBQ68DB,御珍寶,D棟0號,111_02
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵七路,24.61,住,,,1110215,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.21,3,2,2,有,無,8990000,74617,坡道平面,16.82,1350000,,RPQNMLOLKHHGFDQ88CB,高鐵國際城,E棟5號,111_02
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵七路,17.72,住,,,1110211,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.21,2,2,1,有,無,6860000,74069,坡道平面,16.82,1350000,,RPUNMLOLKHHGFDQ66CB,高鐵國際城,B棟3號,111_02
水上鄉,房地(土地+建物)+車位,嘉義縣水上鄉水德路,36.14,住,,,1110219,土地4建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.1,2,2,1,有,無,5800000,66590,一樓平面,0.0,600000,,RPPNMLLJLHHGFDQ38CB,東唐聚  華廈區,A棟6號,111_02
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵七路,30.52,住,,,1110211,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.43,3,2,2,有,無,10130000,70297,坡道平面,16.82,1300000,,RPTOMLLJLHHGFDQ88CB,高鐵國際城,K棟2號,111_02
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵七路,30.52,住,,,1110211,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.43,3,2,2,有,無,10660000,74118,坡道平面,16.82,1350000,,RPUOMLLJLHHGFDQ98CB,高鐵國際城,F棟2號,111_02
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵七路,17.72,住,,,1110214,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.65,2,2,1,有,無,6750000,73935,坡道平面,14.26,1250000,,RPVOMLLJLHHGFDQ09CB,高鐵國際城,B棟3號,111_02
