鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭路與新源街口,22.11,商,,,1110211,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.09,3,2,2,有,無,7200000,55443.0,坡道平面,20.87,1200000,,RPQNMLMKKHHGFAT58CB,聯協敦峰,D棟2號,111_02
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭路與新源街口,16.78,商,,,1110211,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.0,2,2,2,有,無,6080000,59418.0,坡道平面,20.87,1200000,,RPRNMLMKKHHGFAT68CB,聯協敦峰,F棟2號,111_02
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭路與新源街口,28.44,商,,,1110213,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.03,4,2,2,有,無,8980000,54470.0,坡道平面,20.87,1400000,,RPRNMLOKKHHGFAT88CB,聯協敦峰,A棟2號,111_02
屏東市,房地(土地+建物)+車位,屏東縣屏東市崇勝三街,32.09,住,,,1110211,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.7,3,2,2,有,無,6400000,65507.0,一樓平面,13.32,0,,RPSNMLQKKHHGFAT56CB,小倆口7,B3棟3號,111_02
屏東市,房地(土地+建物)+車位,屏東縣屏東市崇勝三街,31.26,住,,,1110213,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.53,3,2,2,有,無,6250000,65424.0,一樓平面,13.32,0,,RPROMLQKKHHGFAT56CB,小倆口7,B5棟2號,111_02
屏東市,房地(土地+建物),屏東縣屏東市廣勝路,90.2,住,,,1110213,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,194.85,6,2,5,有,無,14790000,75905.0,,0.0,0,,RPRPMLQKKHHGFAT66CB,小倆口7,A棟3號,111_02
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭路與新源街口,23.9,商,,,1110217,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.9,3,2,2,有,無,8180000,58788.0,坡道平面,20.87,1300000,,RPWNMLRKKHHGFAT07CB,聯協敦峰,E棟2號,111_02
屏東市,房地(土地+建物)+車位,屏東縣屏東市崇勝三街,31.26,住,,,1110211,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.53,3,2,2,有,無,6250000,65424.0,一樓平面,13.32,0,,RPXNMLRKKHHGFAT17CB,小倆口7,B5棟5號,111_02
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,25.16,,鄉村區,乙種建築用地,1110221,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.15,3,2,2,有,無,6650000,57573.0,坡道平面,13.75,1100000,,RPPNMLLLKHHGFAT48CB,萬丹印象,A棟3號,111_02
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞中街瑞華街口G15棟3樓,27.84,住,,,1110213,土地4建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.55,2,2,2,有,無,8780000,82784.0,坡道平面,16.61,1500000,,RPRNMLLLKHHGFAT68CB,甲山林花園帝寶,G棟15號,111_02
屏東市,房地(土地+建物),屏東縣屏東市瑞中街瑞華街口G16棟5樓,25.98,住,,,1110212,土地4建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.86,2,2,1,有,無,6630000,80992.0,,0.0,0,,RPSNMLLLKHHGFAT78CB,甲山林花園帝寶,G棟16號,111_02
屏東市,房地(土地+建物),屏東縣屏東市瑞中街瑞華街口G18棟4樓,28.01,住,,,1110213,土地4建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.25,3,2,1,有,無,7010000,79433.0,,0.0,0,,RPVNMLLLKHHGFAT09CB,甲山林花園帝寶,G棟18號,111_02
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞中街瑞華街口H12棟5樓,26.83,住,,,1110212,土地4建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.25,2,2,2,有,無,8480000,82467.0,坡道平面,16.61,1500000,,RPWNMLLLKHHGFAT56CB,甲山林花園帝寶,H棟12號,111_02
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞中街瑞華街口I18棟3樓,28.01,住,,,1110212,土地4建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.86,3,2,1,有,無,8540000,79773.0,坡道平面,16.61,1500000,,RPPOMLLLKHHGFAT58CB,甲山林花園帝寶,I棟18號,111_02
