鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
冬山鄉,土地,廣興段119地號,58.04,,鄉村區,乙種建築用地,1110503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1317508,22700.0,,0.0,0,母女關係親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTJNHHGFAG98EA,0.0,0.0,0.0,無,,111_02
壯圍鄉,土地,五美段31-2地號,83.17,,特定農業區,甲種建築用地,1110502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2390000,28736.0,,0.0,0,畸零地或有合併使用效益；,RPQNMLKKNHHGFBG47DA,0.0,0.0,0.0,無,,111_02
五結鄉,房地(土地+建物),宜蘭縣五結鄉三結二路１２８號,1559.21,,特定農業區,農牧用地,1110502,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1110311.0,446.29,6,2,7,有,無,17000000,38092.0,,0.0,0,,RPRNMLMKNHHGFAG77EA,427.14,0.0,19.15,有,,111_02
員山鄉,土地,新金山段626地號,3390.97,,特定農業區,農牧用地,1110506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,4424.0,,0.0,0,親屬間買賣親友、員工、共有人或其他特殊關係間之交易；,RPVNMLRKNHHGFBG68DA,0.0,0.0,0.0,無,,111_02
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮環鎮東路二段６８５巷１１號,108.64,住,,,1110504,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050620.0,213.1,5,2,5,有,無,13000000,61004.0,,0.0,0,,RPSNMLQKNHHGFBG28DA,190.66,8.85,13.59,無,,111_02
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔中路２６５巷１８弄３６號,79.26,,鄉村區,乙種建築用地,1110502,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040721.0,142.43,4,2,3,有,無,7550000,53008.0,,0.0,0,,RPVOMLRKNHHGFAG68DA,125.29,1.65,15.49,無,,111_02
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔中路２６９之１號,138.77,,鄉村區,乙種建築用地,1110508,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050704.0,192.79,4,2,5,有,無,11050000,57316.0,,0.0,0,,RPOPMLRKNHHGFAG08DA,185.27,0.0,7.52,無,,111_02
宜蘭市,土地,凱旋一段416地號,1359.81,,特定農業區,農牧用地,1110503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21940000,16135.0,,0.0,0,,RPWNMLOJNHHGFBG38DA,0.0,0.0,0.0,無,,111_02
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉公園路３２號四樓之三,8.94,都市：其他:健康休閒專用區五,,,1110506,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,720226.0,47.260000000000005,1,0,1,有,有,2050000,43377.0,,0.0,0,陽台外推；,RPSNMLLKNHHGFBG77DA,27.06,0.0,4.13,有,,111_02
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉冬山路三段３０１巷４７號,82.9,,特定農業區,甲種建築用地,1110506,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051207.0,262.11,6,2,7,有,無,13550000,51696.0,,0.0,0,溫泉宅，附設露天湯池2座,RPTNMLSKNHHGFAG58EA,229.5,2.65,23.9,有,,111_02
