鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
台東市,土地,豐橋段14地號,104.63,都市：其他:道路用地,,,1110608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,143552,1372.0,,0.0,0,協議價購；,RPRNMLRLMHHGFAV07DA,0.0,0.0,0.0,無,,111_02
台東市,土地,光明段675地號,1540.0,農,,,1110502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,2727.0,,0.0,0,,RPSNMLPJNHHGFAV86DA,0.0,0.0,0.0,無,,111_02
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷３號三樓之２７,8.08,商,,,1110505,土地2建物1車位0,三層,八層,套房(1房1廳1衛),其他,鋼筋混凝土造,830930.0,36.99,1,1,1,有,有,750000,20276.0,,0.0,0,,RPPNMLLKNHHGFDV56DA,27.74,0.0,3.8,有,,111_02
長濱鄉,土地,長光段85-1地號,5358.38,,風景區,農牧用地,1110502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,896.0,,0.0,0,農作物；,RPQNMLQKNHHGFBV96DA,0.0,0.0,0.0,無,,111_02
長濱鄉,土地,中濱段掃別小段467地號,10830.0,,風景區,農牧用地,1110512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,139.0,,0.0,0,,RPRNMLNKNHHGFBV76DA,0.0,0.0,0.0,無,,111_02
台東市,房地(土地+建物),臺東縣臺東市富貴街６９號六樓之１１,10.56,住,,,1110503,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821027.0,44.43,1,1,1,有,無,500000,11254.0,,0.0,0,目前電梯不提供使用,RPQNMLOJNHHGFAV56DA,29.06,0.0,0.0,有,,111_02
關山鎮,土地,豐泉段587-3地號,109.85,住,,,1110503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,31862.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNKNHHGFCV76DA,0.0,0.0,0.0,無,,111_02
成功鎮,土地,北都歷段11地號,1441.33,,風景區,農牧用地,1110506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1650000,1145.0,,0.0,0,,RPPNMLKLNHHGFBV98DA,0.0,0.0,0.0,無,,111_02
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷３號五樓之１８,8.08,商,,,1110509,土地2建物1車位0,五層,八層,套房(1房1廳1衛),其他,鋼筋混凝土造,830930.0,36.99,1,0,1,有,有,900000,24331.0,,0.0,0,,RPRNMLQKNHHGFDV27DA,27.74,0.0,3.8,有,,111_02
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號八樓之１１,15.01,商,,,1110503,土地2建物1車位0,八層,八層,套房(1房1廳1衛),其他,鋼筋混凝土造,840714.0,37.81,1,1,1,有,有,1000000,26448.0,,0.0,0,含傢俱設備費；,RPSNMLNJNHHGFDV96DA,27.07,3.8,0.0,有,,111_02
