鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
中正區,房地(土地+建物)+車位,基隆市中正區中正路,50.02,住,,,1101112,土地1建物1車位2,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,263.68,4,2,2,有,無,20000000,89390.0,坡道平面,74.62,3100000,,RPPNMLMKJIGGFDC07DB,御景硯,B2棟5號,111_01
中正區,房地(土地+建物)+車位,基隆市中正區中正路,17.44,商,,,1101116,土地1建物1車位1,十三層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,223.28,3,2,2,有,無,26550000,127053.0,坡道平面,28.48,1800000,,RPQNMLMLJIGGFDC27DB,港都明珠,c棟0號,111_01
中正區,房地(土地+建物)+車位,基隆市中正區豐稔街,48.34,住,,,1101114,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.72,3,2,2,有,無,11880000,68263.0,坡道平面,41.66,1500000,,RPPNMLOLJIGGFDC27CB,中正藏馥,B棟B-05號,111_01
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,42.26,住,,,1101114,土地1建物0車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,198.58,3,2,2,有,無,13170000,73015.0,坡道平面,41.49,1700000,,RPQNMLOLJIGGFDC37CB,宏貿臻璽,B棟3-4F號,111_01
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,24.81,住,,,1101114,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.66,2,1,1,有,無,8280000,71390.0,坡道平面,41.49,1700000,,RPRNMLOLJIGGFDC47CB,宏貿臻璽,A棟4-4F號,111_01
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,24.81,住,,,1101120,土地1建物0車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.66,2,1,1,有,無,8400000,71607.0,坡道平面,41.49,1800000,,RPTNMLOLJIGGFDC67CB,宏貿臻璽,A棟4-6F號,111_01
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,22.74,住,,,1101111,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.54,2,2,1,有,無,7750000,76341.0,坡道平面,26.98,1600000,,RPVNMLOLJIGGFDC87CB,萬隆青青二期,B2棟7號,111_01
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,39.51,住,,,1101121,土地1建物1車位2,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,229.91,3,2,2,有,無,14550000,74525.0,坡道平面,82.98,3600000,,RPWNMLOLJIGGFDC97CB,宏貿臻璽,A棟1-5F號,111_01
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,39.51,住,,,1101120,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,188.42,3,2,2,有,無,12800000,74866.0,坡道平面,41.49,1800000,,RPXNMLOLJIGGFDC08CB,宏貿臻璽,A棟1-8F號,111_01
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,54.72,住,,,1101127,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,198.23,3,2,3,有,無,12880000,70826.0,坡道平面,34.73,1300000,,RPSNMLTLJIGGFDC08CB,田園調布2-B2區,C棟C2-1+2F號,111_01
