鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
嘉義市,房地(土地+建物),嘉義市嘉義市東區興安里興美二路,154.37,住,,,1101112,土地1建物1車位0,全,4,透天厝,住家用,見其他登記事項,,324.22,4,2,5,有,無,29880000,92160,,0.0,0,,RPPNMLMKJIGGFAI27CB,全景樽月,A棟6號,111_01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市臺林街120巷,31.5,住,,,1101113,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.81,2,1,1,有,無,7330000,75814,坡道機械,12.7,650000,,RPUNMLPKJIGGFAI08CB,臻品 舞,5F棟C2號,111_01
嘉義市,房地(土地+建物),嘉義市嘉義市大統路,117.95,住,,,1101112,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,258.77,4,3,5,有,無,24580000,94988,,0.0,0,,RPPNMLQKJIGGFAI67CB,金石成大砌,D棟1號,111_01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十六街,34.67,住,,,1101115,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.68,3,1,2,有,無,8280000,76761,坡道機械,9.28,650000,,RPPNMLRKJIGGFAI77CB,聯儀新天地2「臻愛」,A棟2號,111_01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十六街,34.67,住,,,1101115,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.68,3,1,2,有,無,8230000,76258,坡道機械,9.28,650000,,RPQNMLRKJIGGFAI87CB,聯儀新天地2「臻愛」,A棟3號,111_01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十六街,34.67,住,,,1101111,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.68,3,1,2,有,無,8220000,76157,坡道機械,9.28,650000,,RPSNMLRKJIGGFAI08CB,聯儀新天地2「臻愛」,A棟5號,111_01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市民生南路,34.01,住,,,1101117,土地9建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.07,2,2,1,有,無,8460000,75374,坡道平面,13.75,1200000,,RPUNMLTKJIGGFAI48CB,金石龍悅,A棟3號,111_01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.4,住,,,1101117,土地1建物1車位2,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.95,3,1,2,有,無,10770000,67483,坡道平面,53.4,2500000,,RPVNMLTKJIGGFAI58CB,未來樹,L3棟11F號,111_01
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路798巷,21.6,住,,,1101113,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.11,3,1,2,有,無,5960000,66141,,0.0,0,,RPWNMLTKJIGGFAI68CB,未來樹,M5棟2F號,111_01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.36,住,,,1101112,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.19,3,1,2,有,無,9450000,66944,坡道平面,26.7,1250000,,RPXNMLTKJIGGFAI78CB,未來樹,L1棟5F號,111_01
