鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,6.03,住,Unnamed: 5,Unnamed: 6,1120512,土地4建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,30.07,1,1.1,1.2,有,無,11080000,368474,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCA17CB,松江ONE,D-13F號,Unnamed: 30,來源資料夾,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.53,1120813,土地3建物1車位1,十二層,15,134.11,3,2,2.1,29180000,269508,坡道平面,36.97,3000000,RPPNMLNKQHIGFDA67CB,中研首席,A2-12F號,中正區,臺北市中正區臨沂街33巷,24.77,1121111,土地1建物1車位1,六層,12,157.79,60080000,461488,35.62,3700000,RPPNMLLKJIIGFBA66CB,日健邸,6F-A3號
中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,10.24,住,,,1120214.0,土地4建物1車位0,七層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,51.09,1.0,1.0,1.0,有,無,18000000.0,352319.0,,0.0,0.0,,RPPNMLPKKHIGFCA17CB,松江ONE,B-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區振華里東陽街,37.47,住,,,1120211.0,土地16建物1車位1,十一層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,231.97,3.0,2.0,2.0,有,無,69700000.0,342872.0,坡道平面,38.02,3200000.0,,RPQNMLPKKHIGFEA57DB,璞園?里東,B-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區公館路350巷28號,13.85,住,,,1120214.0,土地9建物1車位1,七層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.84,2.0,2.0,1.0,有,無,19920000.0,244979.0,坡道平面,37.14,2600000.0,,RPRNMLQKKHIGFEA67CB,欣聯奇岩,F-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區光輝路134巷3弄1號,12.71,住,,,1120211.0,土地1建物1車位1,四層,11.0,住宅大樓(11層含以上有電梯),住家用,混凝土造,,106.71,2.0,2.0,1.0,有,無,17000000.0,228003.0,坡道機械,41.36,2100000.0,,RPPNMLQKKHIGFAA07CB,文山萃,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物),臺北市北投區中央北路二段215號,22.86,住,,,1120216.0,土地7建物1車位0,二層,11.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,117.82,3.0,2.0,2.0,有,無,21000000.0,178238.0,,0.0,0.0,,RPPNMLRKKHIGFEA67DB,品嘉-馥御中央,E-2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士林區,房地(土地+建物),臺北市士林區中山北路五段609號,22.81,商,,,1120214.0,土地22建物1車位0,十層,21.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,183.69,0.0,0.0,0.0,無,無,69950000.0,380805.0,,0.0,0.0,,RPRNMLRKKHIGFEA87DB,築觀,A2-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物),臺北市北投區文林北路,43.78,住,,,1120215.0,土地2建物1車位0,十二層,24.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,200.94,0.0,0.0,0.0,無,無,68680000.0,341794.0,,0.0,0.0,,RPPNMLSKKHIGFEA77DB,樸園璞開石,12F-A4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,44.57,住,,,1120217.0,土地2建物1車位1,五層,24.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,241.4,0.0,0.0,0.0,無,無,69600000.0,325821.0,坡道平面,37.3,3100000.0,,RPQNMLSKKHIGFEA87DB,樸園璞開石,5F-A2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,21.77,住,,,1120218.0,土地1建物1車位1,五層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.17,3.0,2.0,2.0,有,無,36600000.0,303909.0,坡道平面,40.32,2000000.0,,RPRNMLSKKHIGFEA97DB,隆雲心仝聚,D-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松山區,房地(土地+建物),臺北市松山區南京東路五段251巷26號,15.12,住,,,1120213.0,土地3建物1車位0,六層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.38,2.0,2.0,1.0,有,無,27370000.0,358340.0,,0.0,0.0,,RPPNMLKLKHIGFDA96DB,詠綸湛,B-6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松山區,房地(土地+建物),臺北市松山區中崙里復興南路一段47巷9弄17、19號,7.22,住,,,1120212.0,土地3建物1車位0,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,29.4,0.0,0.0,0.0,無,無,13880000.0,472109.0,,0.0,0.0,,RPPNMLMLKHIGFDA17DB,勝輝馥敦,C-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松山區,房地(土地+建物),臺北市松山區中崙里復興南路一段47巷9弄17、19號,7.22,住,,,1120215.0,土地3建物1車位0,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,29.4,0.0,0.0,0.0,無,無,13880000.0,472109.0,,0.0,0.0,,RPQNMLMLKHIGFDA27DB,勝輝馥敦,C-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士林區,房地(土地+建物)+車位,臺北市士林區文林路,13.76,住,,,1120217.0,土地1建物1車位1,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.5,2.0,1.0,1.0,有,無,24500000.0,315672.0,坡道機械,15.59,1800000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLKHIGFEA17CB,恆合芝山,A1-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區振華里東陽街,35.57,住,,,1120218.0,土地16建物1車位1,十二層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,222.78,3.0,2.0,2.0,有,無,67850000.0,347748.0,坡道平面,38.02,3600000.0,,RPQNMLNLKHIGFEA47DB,璞園?里東,B-12F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萬華區,房地(土地+建物),臺北市萬華區環河南路二段,5.2,商,,,1120215.0,土地6建物1車位0,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,49.5,1.0,0.0,1.0,有,無,10260000.0,207273.0,,0.0,0.0,雨遮記坪不計價,RPPNMLNLKHIGFBA96CB,首傅晴海.,B號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
