鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新市區,房地(土地+建物)+車位,臺南市新市區大社段2094地號,25.48,Unnamed: 4,鄉村區,乙種建築用地,1120511,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,126.31,3,2,2.1,有,無,9900000,80257,坡道平面,20.4,1400000,Unnamed: 26,RPUNMLLKNHIGFHD38CB,高第璞璞2,B棟5F-B3號,Unnamed: 30,來源資料夾,安南區,房地(土地+建物),臺南市安南區樂活二街,93.61,住,Unnamed: 5,Unnamed: 6,1120811,土地5建物1車位0,全,4,透天厝,見其他登記事項,231.85,5,26500000,114298,Unnamed: 23,0.0,0,內含停車位1個,RPSNMLLKQHIGFBD87CB,邰欣地堡100期,A棟3號,東區,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,1121111,十二層,15,住宅大樓(11層含以上有電梯),112.24,2.2,11300000,116874,26.25,1250000,RPTNMLNKJIIGFCD67CB,松丹達麗,D棟3號
新市區,房地(土地+建物),臺南市新市區富林路,17.13,住,,,1120212.0,土地2建物1車位0,二層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,89.47,2.0,2.0,2.0,有,無,8120000.0,90757.0,,0.0,0.0,,RPQNMLPKKHIGFHD08CB,邰欣地堡65期,B棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,房地(土地+建物)+車位,臺南市北區西門路四段533巷,37.72,住,,,1120211.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.42,3.0,2.0,2.0,有,無,13110000.0,114320.0,一樓平面,17.05,1750000.0,,RPPNMLPKKHIGFAD37DB,席揚琉白,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽水區,房地(土地+建物),臺南市鹽水區義稠110之19號對面,106.93,住,,,1120215.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,168.02,4.0,2.0,4.0,有,無,9900000.0,58922.0,,0.0,0.0,,RPPNMLQKKHIGFDD77DB,福砌,D棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物),臺南市安南區安和路一段478巷2弄,80.15,住,,,1120213.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,183.96,4.0,2.0,5.0,有,無,19100000.0,103827.0,,0.0,0.0,,RPPNMLQKKHIGFBD47CB,御見旺第,A棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區安富街133巷與安富一街交叉路口,24.24,住,,,1120213.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.87,3.0,2.0,2.0,有,無,14990000.0,119358.0,坡道平面,29.43,1450000.0,,RPQNMLQKKHIGFBD57CB,遠雄藏萃,B棟B01F11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
關廟區,房地(土地+建物),臺南市關廟區深坑三街25巷17號東側,100.11,,鄉村區,乙種建築用地,1120216.0,土地2建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,166.6,4.0,2.0,3.0,有,無,11000000.0,66026.0,,0.0,0.0,,RPQNMLQKKHIGFID28CB,靜宜美墅,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻豆區,房地(土地+建物),臺南市麻豆區謝厝寮,115.86,,鄉村區,乙種建築用地,1120213.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,210.84,5.0,2.0,4.0,有,無,13880000.0,65832.0,,0.0,0.0,,RPQNMLQKKHIGFFD08DB,臺邦優悅,B棟21號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區大社310旁,22.83,,鄉村區,乙種建築用地,1120217.0,土地5建物1車位1,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.15,2.0,2.0,2.0,有,無,7470000.0,84412.0,坡道機械,9.91,950000.0,,RPPNMLRKKHIGFHD18CB,南科富境,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區大社310旁,22.83,,鄉村區,乙種建築用地,1120217.0,土地5建物1車位1,六層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.15,2.0,2.0,2.0,有,無,7470000.0,84412.0,坡道機械,9.91,950000.0,,RPQNMLRKKHIGFHD28CB,南科富境,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區大社310旁,23.6,,鄉村區,乙種建築用地,1120217.0,土地5建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.76,2.0,2.0,2.0,有,無,7350000.0,78898.0,坡道機械,9.91,1050000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRKKHIGFHD38CB,南科富境,C棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
