鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.41,商,Unnamed: 5,Unnamed: 6,1120512,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,136.12,3,1,2,有,無,13000000,101345,坡道平面,27.58,2000000,Unnamed: 26,RPPNMLMKNHIGFDE67CB,鑫天地二期,A棟5號,Unnamed: 30,來源資料夾,小港區,房地(土地+建物),高雄市小港區達德街115號3樓,26.2,住,1120812,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),84.39,2.1,2.2,7930000,93968,Unnamed: 23,0.0,0,RPPNMLMKQHIGFCE87CB,綠舟,A2棟115號
左營區,房地(土地+建物),高雄市左營區左屏段2地號,6.3,住,,,1111113.0,土地1建物1車位0,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.42,0.0,0.0,0.0,無,無,5800000.0,101010.0,,0.0,0.0,,RPPNMLNKJIHGFEE47CB,諾金,A8棟15號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區過埤路51巷附近道路尚未開闢,46.61,住,,,1111113.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,152.22,3.0,2.0,2.0,有,無,10250000.0,66385.0,一樓平面,17.4,1300000.0,,RPPNMLOKJIHGFGE77CB,旭日東昇,A7棟4號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茄萣區,房地(土地+建物),高雄市茄萣區文化路86巷,15.02,商,,,1111112.0,土地2建物1車位0,二層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,66.09,2.0,2.0,2.0,有,無,4070000.0,61583.0,,0.0,0.0,,RPPNMLPKJIHGFJE18CB,藍天白雲,2F-B2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁武區,房地(土地+建物)+車位,高雄市仁武區澄觀路201號旁,24.27,住,,,1111111.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.04,3.0,2.0,2.0,有,無,11000000.0,92686.0,坡道平面,26.78,1800000.0,,RPPNMLQKJIHGFIE18CB,欣澄,A棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區過埤路51巷附近道路尚未開闢,40.92,住,,,1111115.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.79,3.0,2.0,2.0,有,無,9000000.0,65039.0,一樓平面,17.4,1300000.0,,RPPNMLQKJIHGFGE97CB,旭日東昇,A2棟5號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路A11棟13樓,6.97,商,,,1111112.0,土地1建物1車位1,十三層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.64,2.0,2.0,1.0,有,無,17230000.0,144726.0,坡道平面,30.89,2070000.0,預售屋雨遮不計價,RPQNMLSKJIHGFAE67CB,遠雄PARK 16,A棟A11F13號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山區,房地(土地+建物)+車位,高雄市岡山區中山北路67號旁,11.66,商,,,1111111.0,土地1建物1車位1,十層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.1,3.0,2.0,2.0,有,無,15250000.0,107267.0,坡道平面,21.78,1700000.0,,RPXNMLSKJIHGFFE88CB,達麗雙子星,B6-10F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山區,房地(土地+建物)+車位,高雄市岡山區中山北路67號旁,6.3,商,,,1111111.0,土地1建物1車位1,十層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.4,2.0,2.0,1.0,有,無,8290000.0,112575.0,坡道機械,8.09,600000.0,,RPOOMLSKJIHGFFE08CB,達麗雙子星,B7-10F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山區,房地(土地+建物)+車位,高雄市岡山區中山北路67號旁,9.04,商,,,1111111.0,土地1建物1車位1,七層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.97,2.0,2.0,2.0,有,無,11470000.0,109522.0,坡道機械,8.09,750000.0,,RPPOMLSKJIHGFFE18CB,達麗雙子星,A2-07F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山區,房地(土地+建物)+車位,高雄市岡山區中山北路67號旁,11.72,商,,,1111112.0,土地1建物1車位1,六層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.67,3.0,2.0,2.0,有,無,14980000.0,104658.0,坡道平面,21.78,1700000.0,,RPQOMLSKJIHGFFE28CB,達麗雙子星,A3-06F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.28,商,,,1111117.0,土地1建物1車位1,六層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.07,3.0,2.0,2.0,有,無,13400000.0,103131.0,坡道平面,27.47,2200000.0,,RPPNMLSKJIHGFDE87CB,鑫天地二期,B5棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三民區,房地(土地+建物)+車位,高雄市三民區建國三路與市中一路口,12.36,商,,,1111112.0,土地7建物1車位1,十九層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.19,3.0,2.0,2.0,有,無,23660000.0,128668.0,坡道平面,30.85,2000000.0,,RPQNMLSKJIHGFDE97CB,國泰頤河,B02F棟19號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小港區,房地(土地+建物),高雄市小港區高松路和松直街交叉路口,9.94,商,,,1111111.0,土地2建物1車位0,二層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.09,2.0,2.0,1.0,有,無,6200000.0,80425.0,,0.0,0.0,,RPOOMLSKJIHGFCE77CB,Power City,D棟D11-2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
