鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,24.05,其他,Unnamed: 5,Unnamed: 6,1120511,土地2建物1車位1,十一層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,Unnamed: 14,153.94,3,1,2,有,無,15190000,115127,坡道平面,34.42,1430000,Unnamed: 26,RPPNMLPKNHIGFCJ38CB,星都?C區,3D棟11F號,Unnamed: 30,來源資料夾,新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,312.86,Unnamed: 4,鄉村區,國土保安用地,1120813,土地2建物1車位0,全,4,透天厝,住家用,278.29,4.1,4.2,39890000,143340,Unnamed: 23,0.0,0,RPVNMLNKQHIGFBJ98CB,壹山2K,K棟5號,187.52,乙種建築用地,1121112,287.1,39970000,139220,RPUNMLNKJIIGFBJ28CB,壹山2D,D棟1號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,16.27,其他,,,1120211.0,土地2建物1車位1,五層,14.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,115.14,2.0,1.0,1.0,有,無,10690000.0,115337.0,坡道平面,34.42,1380000.0,,RPQNMLOKKHIGFCJ08CB,星都?C區,3Q棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街二段88號旁,26.61,住,,,1120212.0,土地2建物1車位2,二層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,212.92,3.0,2.0,2.0,有,無,27000000.0,178461.0,坡道平面,83.48,3900000.0,,RPPNMLPKKHIGFBJ97CB,嘉頤家宜,C棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,16.27,其他,,,1120215.0,土地2建物1車位1,十四層,14.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,115.14,2.0,1.0,1.0,有,無,10640000.0,116576.0,坡道平面,34.42,1230000.0,,RPPNMLQKKHIGFCJ18CB,星都?C區,5B棟14F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉嘉興路一段,21.39,,特定農業區,甲種建築用地,1120212.0,土地1建物1車位0,八層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.51,2.0,1.0,1.0,有,無,5500000.0,75852.0,,0.0,0.0,,RPPNMLQKKHIGFDJ28CB,讚時代,8C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新豐鄉,房地(土地+建物),新竹縣新豐鄉福興段十一股小段523-0、523-1~523-16地號,103.0,,特定農業區,甲種建築用地,1120213.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,193.9,4.0,2.0,4.0,有,無,14000000.0,72202.0,,0.0,0.0,,RPPNMLKLKHIGFDJ77CB,廣僑樹No.3,B棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,48.77,,山坡地保育區,丙種建築用地,1120213.0,土地8建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.3,3.0,2.0,2.0,有,無,18260000.0,132749.0,坡道平面,17.67,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之20.02,RPRNMLKLKHIGFCJ87CB,宏道新竹帝寶8區3號,A2棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芎林鄉,房地(土地+建物),新竹縣芎林鄉金獅段1041-0地號,122.75,,鄉村區,乙種建築用地,1120217.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,325.76,4.0,3.0,5.0,有,無,35600000.0,109283.0,,0.0,0.0,,RPPNMLLLKHIGFCJ77CB,植美,A棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉寶新路一段,36.34,住,,,1120213.0,土地1建物1車位1,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.88,3.0,2.0,2.0,有,無,15560000.0,112778.0,坡道平面,34.21,1500000.0,,RPSNMLLLKHIGFCJ08CB,吉韻,A3棟02號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉寶新路一段,41.34,住,,,1120213.0,土地1建物1車位1,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,174.69,3.0,2.0,2.0,有,無,17150000.0,111404.0,坡道平面,34.21,1500000.0,,RPTNMLLLKHIGFCJ18CB,吉韻,B7棟02號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市臺元段669地號,475.32,工,,,1120213.0,土地1建物1車位20,六層,18.0,廠辦,工業用,鋼筋混凝土造,,2020.48,0.0,0.0,0.0,無,無,135300000.0,80137.0,坡道平面,631.6,24000000.0,共有部分面積含車位總面積,RPPNMLLLKHIGFBJ67CB,台元科技園區第九期,X棟X1-6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
