鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華路607巷,45.82,住,Unnamed: 5,Unnamed: 6,1120511,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,Unnamed: 14,135.71,3,2,2.1,有,無,8004750,63475,一樓平面,20.63,700000,車位:汽車、機車各1,RPPNMLMKNHIGFBK18DB,賞美,G棟5號,Unnamed: 30,來源資料夾,苗栗縣苗栗市中正路1218巷,30.22,1120811,土地1建物1車位1,七層,10,鋼筋混凝土造,174.2,9600000,61484,坡道平面,34.0,980000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOKQHIGFBK56CB,勝觀苑,A棟7號,頭份市,苗栗縣頭份市中正路463巷,48.03,1121111,四層,鋼骨混凝土造,147.26,11280000,76599,12.41,0,Unnamed: 26,RPPNMLNKJIIGFFK28CB,星苑,E棟4F號
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮龍山路2段32巷30號旁,37.76,住,,,1120212.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.03,3.0,2.0,2.0,有,無,8950000.0,77806.0,一樓平面,16.68,0.0,,RPPNMLOKKHIGFDK18CB,炬嘉築誠,D棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物),苗栗縣後龍鎮造豐路,94.32,農,,,1120212.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,155.42,4.0,2.0,3.0,有,無,10980000.0,70647.0,,0.0,0.0,,RPQNMLOKKHIGFDK28CB,富學市,D棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段36地號,26.33,住,,,1120213.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.96,3.0,2.0,2.0,有,無,13800000.0,102345.0,坡道平面,28.29,1450000.0,,RPRNMLOKKHIGFFK58CB,昌隆廣場-上禾旺,B7棟09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段36地號,19.15,住,,,1120213.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.28,2.0,2.0,1.0,有,無,10250000.0,102600.0,坡道平面,29.51,1450000.0,,RPSNMLOKKHIGFFK68CB,昌隆廣場-上禾旺,C5棟15F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苑裡鎮,房地(土地+建物)+車位,苗栗縣苑裡鎮田心45之1號旁,25.73,,特定農業區,甲種建築用地,1120211.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.24,2.0,2.0,2.0,有,無,5780000.0,61318.0,升降機械,6.87,300000.0,,RPPNMLOKKHIGFCK08CB,綠意秧然二期,1棟5D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅一路,33.59,住,,,1120211.0,土地1建物1車位1,五層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.2,2.0,2.0,1.0,有,無,5650000.0,62112.0,升降機械,7.7,650000.0,,RPUNMLOKKHIGFDK78DB,幸福雄郡6,A棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅一路,33.59,住,,,1120211.0,土地1建物1車位1,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.2,2.0,2.0,1.0,有,無,5500000.0,60248.0,升降機械,7.7,650000.0,,RPVNMLOKKHIGFDK88DB,幸福雄郡6,A棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅一路,32.88,住,,,1120211.0,土地1建物1車位1,四層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.35,2.0,2.0,1.0,有,無,5500000.0,61666.0,升降機械,7.7,650000.0,,RPWNMLOKKHIGFDK98DB,幸福雄郡6,B棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅一路,33.59,住,,,1120211.0,土地1建物1車位1,二層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.2,2.0,2.0,1.0,有,無,5500000.0,60248.0,升降機械,7.7,650000.0,,RPXNMLOKKHIGFDK09DB,幸福雄郡6,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅一路,32.88,住,,,1120211.0,土地1建物1車位1,二層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.35,2.0,2.0,1.0,有,無,5550000.0,62301.0,升降機械,7.7,650000.0,,RPOOMLOKKHIGFDK28DB,幸福雄郡6,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
