鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.02,Unnamed: 4,一般農業區,甲種建築用地,1120513,土地2建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,94.59,2,1,1.1,有,無,7400000,95927,坡道平面,31.0,1300000,Unnamed: 26,RPPNMLOKNHIGFCN68CB,富旺艾美莊園,A棟7號,Unnamed: 30,來源資料夾,和美鎮,房地(土地+建物),彰化縣和美鎮北辰路,101.42,鄉村區,乙種建築用地,1120812,土地4建物1車位0,全,3,透天厝,162.06,4,3.1,13080000,80711,Unnamed: 23,0.0,0,RPQNMLQKQHIGFBN56CB,觀美墅NO.13,Ｃ棟10號,彰化市,彰化縣彰化市中正路二段190巷,10.76,商,Unnamed: 5,Unnamed: 6,1121111,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),117.87,2.1,2.2,10280000,104891,坡道機械,24.63,500000,RPPNMLNKJIIGFAN08CB,中正琢越,D-7F號
二林鎮,房地(土地+建物),彰化縣二林鎮儒田段252-16，252-18，252-21，252-22地號等4筆土地,98.82,住,,,1120211.0,土地4建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,159.83,4.0,2.0,5.0,有,無,11500000.0,71951.0,,0.0,0.0,,RPPNMLSKKHIGFGN56CB,雲起二林,C棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮東昇段691-5、691-6地號,103.46,,特定農業區,甲種建築用地,1120220.0,土地2建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,169.23,4.0,2.0,5.0,有,無,11880000.0,70200.0,,0.0,0.0,,RPQNMLKLKHIGFCN18CB,豪居1,B棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,住,,,1120219.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.61,3.0,2.0,2.0,有,無,12050000.0,91610.0,坡道平面,26.81,1350000.0,,RPTNMLKLKHIGFDN58CB,昌祐時代,G棟11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,住,,,1120219.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.61,3.0,2.0,2.0,有,無,11910000.0,90411.0,坡道平面,26.81,1350000.0,,RPUNMLKLKHIGFDN68CB,昌祐時代,H棟11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花壇鄉,房地(土地+建物),彰化縣花壇鄉明德街,102.1,,鄉村區,乙種建築用地,1120217.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,177.82,5.0,2.0,4.0,有,無,12500000.0,70296.0,,0.0,0.0,,RPPNMLLLKHIGFAN97CB,閱花壇,A棟A2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花壇鄉,房地(土地+建物),彰化縣花壇鄉明德街,111.41,,鄉村區,乙種建築用地,1120211.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,192.0,5.0,2.0,3.0,有,無,13100000.0,68229.0,,0.0,0.0,,RPQNMLLLKHIGFAN08CB,閱花壇,E棟E8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秀水鄉,房地(土地+建物),彰化縣秀水鄉宋厝巷旁,93.66,,特定農業區,甲種建築用地,1120213.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,174.7,5.0,3.0,4.0,有,無,13300000.0,76131.0,,0.0,0.0,,RPSNMLLLKHIGFAN28CB,富匯,C棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和美鎮,房地(土地+建物),彰化縣和美鎮平原路,36.54,住,,,1120212.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.39,3.0,2.0,2.0,有,無,10400000.0,96843.0,,0.0,0.0,,RPPNMLLLKHIGFBN08CB,卡里善二期,C棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田中鎮,房地(土地+建物),彰化縣田中鎮建國路,32.32,住,,,1120211.0,土地2建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.27,3.0,2.0,2.0,有,無,6680000.0,65317.0,,0.0,0.0,,RPPNMLMLKHIGFEN58DB,新天地,B棟2B1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田中鎮,房地(土地+建物),彰化縣田中鎮建國路,38.3,住,,,1120221.0,土地2建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.4,3.0,2.0,2.0,有,無,7700000.0,64489.0,,0.0,0.0,,RPQNMLMLKHIGFEN68DB,新天地,A棟5A1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
