鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
南投市,建物,南投縣南投市彰南路一段７３５巷２４號,0.0,,,,1120301,土地0建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,690205.0,115.75,3,1,2,無,無,1000000,8639.0,,0.0,0,,RPPNMLSJLHIGFAM58EA,115.75,0.0,0.0,無,,112_01
集集鎮,土地,中溝段209地號,84.12,商,,,1120204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,715020,8500.0,,0.0,0,未登記建物；,RPRNMLOJKHIGFEM68EA,0.0,0.0,0.0,無,,112_01
魚池鄉,土地,中池段310地號,505.97,,特定農業區,農牧用地,1120203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1186.0,,0.0,0,,RPPNMLRJKHIGFCM48DA,0.0,0.0,0.0,無,,112_01
草屯鎮,土地,上林段98-8地號,47.29,農,,,1120201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,297956,6301.0,,0.0,0,雙方為堂姊弟親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLJKHIGFBM77DA,0.0,0.0,0.0,無,1.0,112_01
鹿谷鄉,土地,內樹皮段33地號,6.61,,鄉村區,乙種建築用地,1120204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21228,3211.0,,0.0,0,含土地增值稅或其他稅費1228元；,RPPNMLTJKHIGFDM78DA,0.0,0.0,0.0,無,2.0,112_01
中寮鄉,土地,長安段7地號,1280.11,,山坡地保育區,農牧用地,1120205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,508.0,,0.0,0,,RPPNMLTJKHIGFAM48DA,0.0,0.0,0.0,無,,112_01
埔里鎮,土地,水尾段189-1地號,4238.0,,特定農業區,農牧用地,1120203,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6500000,1534.0,,0.0,0,,RPTNMLOKKHIGFCM68DA,0.0,0.0,0.0,無,,112_01
埔里鎮,土地,小埔社段368地號,3230.0,,山坡地保育區,林業用地,1120201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,217.0,,0.0,0,農作物；,RPVNMLOKKHIGFCM88DA,0.0,0.0,0.0,無,,112_01
埔里鎮,土地,福興段1949地號,2275.0,,特定農業區,農牧用地,1120206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11696000,5141.0,,0.0,0,,RPWNMLKKKHIGFCM58DA,0.0,0.0,0.0,無,,112_01
南投市,房地(土地+建物),南投縣南投市彰南路三段９８８號,62.65,農,,,1120205,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,690412.0,88.2,2,1,2,無,無,4500000,51020.0,,0.0,0,,RPPNMLNKKHIGFAM08EA,88.2,0.0,0.0,無,3.0,112_01
鹿谷鄉,土地,內樹皮段33地號,17.41,,鄉村區,乙種建築用地,1120209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,67657,3886.0,,0.0,0,含土地增值稅或其他稅費15657元；,RPXNMLQKKHIGFDM86EA,0.0,0.0,0.0,無,2.0,112_01
竹山鎮,土地,鯉魚尾段320-1409地號,2713.0,,山坡地保育區,林業用地,1120204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,133.0,,0.0,0,,RPTNMLMLKHIGFDM78EA,0.0,0.0,0.0,無,,112_01
草屯鎮,房地(土地+建物),南投縣草屯鎮玉成路７０巷７１號,214.39,,山坡地保育區,丙種建築用地,1120214,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,691201.0,98.5,3,2,2,無,無,3550000,36041.0,,0.0,0,,RPTNMLOKKHIGFBM68EA,98.5,0.0,0.0,無,5.0,112_01
埔里鎮,房地(土地+建物),南投縣埔里鎮七賢一街３０巷４號,112.3,,鄉村區,乙種建築用地,1120202,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,690522.0,75.74,3,2,1,無,無,4560000,60206.0,,0.0,0,屋內壁飾包括在買賣範圍內,RPQOMLOKKHIGFCM48DA,75.74,0.0,0.0,無,6.0,112_01
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路１１０７之２號,232.01,,鄉村區,乙種建築用地,1120203,土地4建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造、磚造,631029.0,210.15,5,3,3,無,無,13000000,61861.0,,0.0,0,,RPSNMLOKKHIGFBM48DA,207.0,0.0,3.15,無,,112_01
埔里鎮,房地(土地+建物),南投縣埔里鎮西安路三段３３８號,444.2,,鄉村區,乙種建築用地,1120205,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,701210.0,184.11,4,1,2,有,無,14500000,78757.0,,0.0,0,,RPPNMLOKKHIGFCM28DA,184.11,0.0,0.0,無,7.0,112_01
竹山鎮,土地,溪尾段588-4地號,144.41,,一般農業區,農牧用地,1120210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2180000,15096.0,,0.0,0,,RPUNMLPKKHIGFDM09EA,0.0,0.0,0.0,無,,112_01
