鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,南投市,房地(土地+建物),南投縣南投市文化路707巷,82.82,住,Unnamed: 5,Unnamed: 6,1120511,土地5建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,Unnamed: 14,162.25,4,2,3.1,有,無,11380000,70139,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFAM18CB,文化一綻,B棟41號,Unnamed: 30,來源資料夾,草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮加老東路,32.08,Unnamed: 4,鄉村區,乙種建築用地,1120813,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,168.24,2.1,10240000,78531,坡道平面,52.49,1150000,RPPNMLOKQHIGFBM78CB,幸福時光,C棟8號,南投縣南投市振興巷,44.1,1121113,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),99.45,2.2,7000000,70387,RPPNMLRKJIIGFAM38CB,知寓,B棟3號
南投市,房地(土地+建物)+車位,南投縣南投市文化路707巷,26.62,住,,,1120213.0,土地6建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.29,2.0,2.0,2.0,有,無,7530000.0,79493.0,坡道平面,30.66,1200000.0,,RPQNMLPKKHIGFAM28CB,英倫天琴,E3棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路二段630巷,21.68,住,,,1120213.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,82.32,2.0,1.0,1.0,有,無,6450000.0,81552.0,一樓平面,19.17,1300000.0,,RPPNMLKLKHIGFAM87DB,福崗晴園,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮大同一街,27.41,住,,,1120211.0,土地2建物1車位1,七層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.77,3.0,2.0,2.0,有,無,10380000.0,73338.0,坡道平面,25.96,1300000.0,,RPPNMLLLKHIGFCM08CB,?園大樓,1棟7A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市華陽路,129.49,住,,,1120219.0,土地5建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,179.0,4.0,3.0,4.0,有,無,15580000.0,87039.0,,0.0,0.0,,RPPNMLMLKHIGFAM97CB,首富森境,A棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹山鎮,房地(土地+建物),南投縣竹山鎮東鄉路11巷3號,88.23,住,,,1120221.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,178.1,4.0,0.0,5.0,有,無,7700000.0,43234.0,,0.0,0.0,,RPPNMLMLKHIGFDM28CB,東興雅居,C棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹山鎮,房地(土地+建物),南投縣竹山鎮東鄉路11巷9號,89.07,住,,,1120222.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,178.1,4.0,0.0,5.0,有,無,7500000.0,42111.0,,0.0,0.0,,RPQNMLMLKHIGFDM38CB,東興雅居,F棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮英六街,25.14,住,,,1120214.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.15,2.0,2.0,2.0,有,無,6200000.0,73864.0,一樓平面,13.75,1000000.0,,RPPNMLMLKHIGFCM28DB,遇見幸福,A1棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮英六街,25.14,住,,,1120218.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.15,2.0,2.0,2.0,有,無,6210000.0,74006.0,一樓平面,13.75,1000000.0,,RPQNMLMLKHIGFCM38DB,遇見幸福,A1棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹山鎮,房地(土地+建物),南投縣竹山鎮集山路三段175巷,35.29,住,,,1120211.0,土地1建物1車位0,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.48,2.0,1.0,2.0,有,無,4620000.0,56014.0,,0.0,0.0,,RPRNMLNLKHIGFDM58CB,聖德淳風竹山一期,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮集山路三段175巷,36.52,住,,,1120211.0,土地1建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.15,2.0,1.0,2.0,有,無,5600000.0,56831.0,一樓平面,20.81,750000.0,,RPSNMLNLKHIGFDM68CB,聖德淳風竹山一期,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮集山路三段175巷,35.29,住,,,1120216.0,土地1建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.3,2.0,1.0,2.0,有,無,5560000.0,57711.0,一樓平面,20.82,800000.0,,RPTNMLNLKHIGFDM78CB,聖德淳風竹山一期,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮集山路三段175巷,35.29,住,,,1120211.0,土地1建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.3,2.0,1.0,2.0,有,無,5620000.0,58438.0,一樓平面,20.82,800000.0,,RPUNMLNLKHIGFDM88CB,聖德淳風竹山一期,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段1161巷,41.67,住,,,1120211.0,土地3建物1車位1,六層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,141.03,3.0,2.0,2.0,有,無,7700000.0,58385.0,坡道平面,27.13,1050000.0,,RPPNMLNLKHIGFAM08CB,萬景山河,B棟B5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投市,房地(土地+建物),南投縣南投市文化南路,92.5,住,,,1120213.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,178.89,4.0,3.0,3.0,有,無,13100000.0,73229.0,,0.0,0.0,,RPPNMLOLKHIGFAM18CB,微好森活,B棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
