鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路64巷9號旁,102.33,住,Unnamed: 5,Unnamed: 6,1120511,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,204.6,4,2,5,有,無,12200000,59629,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCP68CB,寬庭恆美,A棟15號,Unnamed: 30,來源資料夾,斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,1120813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),163.82,1,12460000,86393,坡道平面,35.8,1400000,RPQNMLNKQHIGFAP98CB,品風華,4FE棟3號,古坑鄉,雲林縣古坑鄉廣濟路,132.99,Unnamed: 4,鄉村區,乙種建築用地,1121111,土地4建物1車位0,171.18,4.1,10350000,60463,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLLKJIIGFAP18DB,荷翠,D棟5號
斗六市,房地(土地+建物),雲林縣斗六市楓湖路,44.97,,鄉村區,乙種建築用地,1120212.0,土地2建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.92,3.0,2.0,2.0,有,無,7930000.0,61992.0,,0.0,0.0,,RPQNMLPKKHIGFAP58CB,薪禮寓,5B號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二崙鄉,房地(土地+建物),雲林縣二崙鄉成功路,89.62,,鄉村區,乙種建築用地,1120213.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,183.51,5.0,3.0,3.0,有,無,9800000.0,53403.0,,0.0,0.0,,RPPNMLPKKHIGFCP68CB,晴森院,A棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮高南段60地號,22.92,住,,,1120213.0,土地1建物1車位1,六層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.09,2.0,2.0,1.0,有,無,6570000.0,71168.0,坡道平面,29.23,1100000.0,,RPQNMLSKKHIGFDP56CB,沐晴3期,713號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮高南段410地號,39.45,住,,,1120211.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.69,2.0,2.0,2.0,有,無,6500000.0,66478.0,一樓平面,9.46,1100000.0,,RPTNMLSKKHIGFDP86CB,沐晴2期,B棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮高南段60地號,23.34,住,,,1120218.0,土地1建物1車位1,五層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.53,2.0,2.0,1.0,有,無,6550000.0,69604.0,一樓平面,29.23,1100000.0,,RPUNMLSKKHIGFDP96CB,沐晴3期,607號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮自強街,39.03,住,,,1120213.0,土地2建物1車位1,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,120.66,3.0,2.0,2.0,有,無,6580000.0,59835.0,一樓平面,22.39,700000.0,,RPPNMLKLKHIGFCP28CB,築夢十五期,A1棟A107號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,127.0,,鄉村區,乙種建築用地,1120220.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,188.63,4.0,2.0,4.0,有,無,9250000.0,49038.0,,0.0,0.0,,RPPNMLLLKHIGFFP68CB,福安三期,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,125.0,,鄉村區,乙種建築用地,1120214.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,178.63,4.0,2.0,4.0,有,無,9780000.0,54750.0,,0.0,0.0,,RPQNMLLLKHIGFFP78CB,福安三期,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,128.0,,鄉村區,乙種建築用地,1120215.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,178.63,4.0,2.0,4.0,有,無,9750000.0,54582.0,,0.0,0.0,,RPRNMLLLKHIGFFP88CB,福安三期,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,131.0,,鄉村區,乙種建築用地,1120215.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,178.63,5.0,1.0,4.0,有,無,9200000.0,51503.0,,0.0,0.0,,RPSNMLLLKHIGFFP98CB,福安三期,A棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
