鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,91.67,Unnamed: 4,鄉村區,乙種建築用地,1120517,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,149.35,4,2,4.1,有,無,8580000,57449,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMLNHIGFBQ78CB,上荷院8期,8C區棟13號,Unnamed: 30,來源資料夾,民雄鄉,嘉義縣民雄鄉正義二街,169.25,住,Unnamed: 5,Unnamed: 6,1120813,土地4建物1車位0,242.18,5,25800000,106532,RPPNMLOKQHIGFCQ66CB,中正-森學院,A棟10號,大林鎮,嘉義縣大林鎮林頭,118.37,1121111,173.42,3.1,10580000,61008,RPQNMLPKJIIGFCQ88CB,新社團三期,A棟2號
太保市,房地(土地+建物),嘉義縣太保市過溝,148.85,住,,,1120214.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,200.67,6.0,1.0,3.0,有,無,13460000.0,67075.0,,0.0,0.0,,RPPNMLPKKHIGFDQ88CB,元福居,特1棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,106.29,,鄉村區,乙種建築用地,1120214.0,土地8建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,149.35,4.0,2.0,4.0,有,無,9000000.0,60261.0,,0.0,0.0,,RPPNMLPKKHIGFBQ68CB,上荷院8期,8B區棟01號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,70.0,,鄉村區,乙種建築用地,1120214.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,179.17,4.0,2.0,4.0,有,無,10000000.0,55813.0,,0.0,0.0,,RPQNMLPKKHIGFBQ78CB,上荷院8期,8A區棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,121.82,,鄉村區,乙種建築用地,1120212.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,157.18,4.0,2.0,4.0,有,無,8450000.0,53760.0,,0.0,0.0,,RPRNMLRKKHIGFCQ66DB,新社團二期,B棟27號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,121.83,,鄉村區,乙種建築用地,1120215.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,154.51,4.0,2.0,4.0,有,無,8500000.0,55013.0,,0.0,0.0,,RPSNMLRKKHIGFCQ76DB,新社團二期,B棟28號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,75.0,,鄉村區,乙種建築用地,1120215.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,163.9,4.0,2.0,4.0,有,無,9760000.0,59549.0,,0.0,0.0,,RPPNMLLLKHIGFBQ38CB,上荷院8期,8A區棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵七路,32.32,住,,,1120213.0,土地1建物1車位1,一層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.91,3.0,2.0,3.0,有,無,10860000.0,72582.0,坡道平面,16.82,1200000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLKHIGFDQ88CB,高鐵國際城,F7棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太保市,房地(土地+建物),嘉義縣太保市後庄段151地號,79.52,,鄉村區,乙種建築用地,1120226.0,土地4建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,178.42,4.0,3.0,5.0,有,無,10200000.0,57168.0,,0.0,0.0,,RPPNMLLJLHIGFDQ48CB,合原月色,A棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉三興一街及三興二街附近,108.55,住,,,1120212.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,193.2,5.0,2.0,6.0,有,無,12100000.0,62629.0,,0.0,0.0,,RPQNMLLJLHIGFCQ48CB,星視界,B7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市八德路,25.95,住,,,1120213.0,土地4建物1車位0,六層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.94,2.0,1.0,2.0,有,無,6000000.0,70638.0,,0.0,0.0,,RPPNMLMJLHIGFBQ38CB,大人物,6B7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
