鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
屏東市,土地,公興段90地號,139.44,,鄉村區,乙種建築用地,1120301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,21515.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLLJLHIGFAT98DA,0.0,0.0,0.0,無,,112_01
萬巒鄉,土地,佳和段318-2地號,9.01,,一般農業區,農牧用地,1120301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11713,1300.0,,0.0,0,協議價購；,RPSNMLNJLHIGFCT56DA,0.0,0.0,0.0,無,,112_01
萬巒鄉,土地,佳和段329-2地號,127.32,,一般農業區,農牧用地,1120301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,165516,1300.0,,0.0,0,協議價購；,RPTNMLNJLHIGFCT66DA,0.0,0.0,0.0,無,,112_01
萬巒鄉,土地,佳和段390-1地號,19.87,,一般農業區,農牧用地,1120301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,26626,1340.0,,0.0,0,協議價購；,RPUNMLNJLHIGFCT76DA,0.0,0.0,0.0,無,,112_01
鹽埔鄉,土地,維新段290-1地號,44.46,住,,,1120303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,5623.0,,0.0,0,畸零地或有合併使用效益；,RPPNMLTJLHIGFBT76DA,0.0,0.0,0.0,無,,112_01
崁頂鄉,房地(土地+建物),屏東縣崁頂鄉新厝路６８巷１２號,72.82,,鄉村區,乙種建築用地,1120303,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,710227.0,81.46,3,1,2,無,無,800000,9821.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJLHIGFDT96EA,81.46,0.0,0.0,無,,112_01
里港鄉,土地,中和段197地號,345.36,,鄉村區,乙種建築用地,1120202,土地1建物0車位0,,,其他,,,,0.0,2,1,1,有,無,3060000,8860.0,,0.0,0,叔姪之間買賣親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPVNMLMJKHIGFBT56DA,0.0,0.0,0.0,無,,112_01
枋寮鄉,土地,海鷗段665-8地號,63.36,,一般農業區,農牧用地,1120202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000,316.0,,0.0,0,,RPPNMLTJKHIGFFT17EA,0.0,0.0,0.0,無,,112_01
琉球鄉,土地,大南段172地號,33.83,住,,,1120201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,555150,16410.0,,0.0,0,政府機關標讓售；,RPVNMLTJKHIGFDT57EA,0.0,0.0,0.0,無,,112_01
屏東市,房地(土地+建物),屏東縣屏東巿清世街４６號三樓之三,19.12,住,,,1120201,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820423.0,107.28,3,2,2,有,有,3250000,30295.0,,0.0,0,,RPVNMLLJKHIGFAT98DA,72.32,0.0,8.59,有,1.0,112_01
新園鄉,土地,五房段10地號,569.93,,一般農業區,農牧用地,1120204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3509.0,,0.0,0,,RPSNMLSJKHIGFDT07DA,0.0,0.0,0.0,無,,112_01
竹田鄉,土地,新街段316地號,232.25,,鄉村區,乙種建築用地,1120202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,2153.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLSJKHIGFCT27DA,0.0,0.0,0.0,無,,112_01
潮州鎮,房地(土地+建物),屏東縣潮州鎮永信街４號,71.48,住,,,1120201,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,760320.0,114.0,4,1,2,有,無,3000000,26316.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSJKHIGFCT96DA,114.0,0.0,0.0,無,2.0,112_01
琉球鄉,土地,大南段203地號,47.14,住,,,1120201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,773567,16410.0,,0.0,0,政府機關標讓售；,RPXNMLTJKHIGFDT77EA,0.0,0.0,0.0,無,,112_01
里港鄉,土地,春林段762-11地號,9.96,,,,1120203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,510000,51205.0,,0.0,0,包含公共設施保留地用地；,RPSNMLKKKHIGFBT88EA,0.0,0.0,0.0,無,,112_01
東港鎮,房地(土地+建物),屏東縣東港鎮興和路１６１號,37.26,,鄉村區,乙種建築用地,1120206,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,690927.0,88.2,3,2,2,有,無,1000000,11338.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKKKHIGFDT66EA,85.2,3.0,0.0,無,,112_01
琉球鄉,土地,本漁段120-13地號,132.31,住,,,1120206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2322432,17553.0,,0.0,0,,RPQNMLQJKHIGFDT66DA,0.0,0.0,0.0,無,,112_01
恆春鎮,房地(土地+建物),屏東縣恆春鎮省北路二段１９６之１７號,166.57,,一般農業區,甲種建築用地,1120203,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1110125.0,223.3,4,1,3,有,無,12700000,56874.0,,0.0,0,,RPPNMLKKKHIGFET78DA,207.4,0.0,15.9,無,,112_01
萬丹鄉,土地,香社段921-12地號,337.0,,鄉村區,乙種建築用地,1120201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,10386.0,,0.0,0,,RPXNMLTJKHIGFAT37DA,0.0,0.0,0.0,無,,112_01
