鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,五結鄉,房地(土地+建物),宜蘭縣五結鄉傳藝路一段56巷,82.75,Unnamed: 4,特定農業區,甲種建築用地,1120513,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,139.36,4,2,5,有,無,9080000,65155,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLQKNHIGFAG97CB,鳳凰愛買第7期,Unnamed: 29,Unnamed: 30,來源資料夾,冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉鹿埔路524巷,51.13,1120813,土地1建物1車位1,四層,華廈(10層含以下有電梯),131.93,2.1,7450000,56469,一樓平面,RPRNMLOKQHIGFAG28CB,上好居
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉 富農路1段383巷,24.07,,特定農業區,甲種建築用地,1111112.0,土地2建物1車位1,三層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.77,1.0,1.0,1.0,有,無,3930000.0,63648.0,一樓平面,13.88,500000.0,,RPQNMLMKJIHGFAG27CB,華薌禾綵,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路,101.61,,特定農業區,甲種建築用地,1111112.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,203.54,5.0,2.0,5.0,有,無,11200000.0,55026.0,,0.0,0.0,,RPPNMLOKJIHGFAG37CB,富登新8,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路,142.95,,特定農業區,甲種建築用地,1111112.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,249.12,5.0,2.0,5.0,有,無,13800000.0,55395.0,,0.0,0.0,,RPQNMLOKJIHGFAG47CB,富登新8,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物)+車位,宜蘭縣壯圍鄉大福路二段256巷59弄,33.65,,特定農業區,甲種建築用地,1111111.0,土地2建物1車位1,一層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.33,2.0,2.0,1.0,有,無,8930000.0,91440.0,升降平面,24.7,1100000.0,,RPPNMLOKJIHGFBG47CB,築山樂園生活村,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市女中路三段59巷1弄,126.78,農,,,1111112.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,174.91,5.0,2.0,4.0,有,無,15350000.0,87759.0,,0.0,0.0,,RPPNMLOKJIHGFBG57DB,宜大Life,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路,122.33,,特定農業區,甲種建築用地,1111116.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,201.33,5.0,2.0,5.0,有,無,11500000.0,57120.0,,0.0,0.0,,RPPNMLSKJIHGFAG77CB,富登新8,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮海山東路,16.97,住,,,1111111.0,土地1建物1車位1,二層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.37,1.0,1.0,1.0,有,無,4220000.0,56967.0,坡道平面,31.58,700000.0,,RPPNMLTKJIHGFAG87CB,The Aries 牡羊座,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮和平路旁,25.7,商,,,1111120.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.17,2.0,2.0,1.0,有,無,3960000.0,47048.0,,0.0,0.0,,RPPNMLLLJIHGFAG17CB,靚圓滿,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮和平路旁,27.57,商,,,1111120.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.01,2.0,2.0,2.0,有,無,3984000.0,47423.0,,0.0,0.0,,RPQNMLLLJIHGFAG27CB,靚圓滿,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮海山東路,14.55,住,,,1111111.0,土地1建物1車位1,八層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.31,1.0,1.0,1.0,有,無,3800000.0,59927.0,坡道平面,31.58,700000.0,,RPUNMLLLJIHGFAG67CB,The Aries 牡羊座,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
